model,batch_size,variant,max_ok_context,first_failed_context,ok_rows,failed_rows,mesh,tpu,chips
Gemma3 12B,1,cce,1024,2048,2,2,fsdp8/tp1,v5litepod-8,8
Gemma3 12B,1,default,1024,2048,2,2,fsdp8/tp1,v5litepod-8,8
Gemma3 12B,2,cce,512,1024,1,3,fsdp8/tp1,v5litepod-8,8
Gemma3 12B,2,default,512,1024,1,3,fsdp8/tp1,v5litepod-8,8
Gemma3 12B,4,cce,0,512,0,4,fsdp8/tp1,v5litepod-8,8
Gemma3 12B,4,default,0,512,0,4,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,1,cce,512,1024,1,2,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,1,default,512,1024,1,2,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,2,cce,0,512,0,3,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,2,default,0,512,0,3,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,4,cce,0,512,0,3,fsdp8/tp1,v5litepod-8,8
Gemma3 27B,4,default,0,512,0,3,fsdp8/tp1,v5litepod-8,8
