model,batch_size,max_length,mesh,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_gib_per_chip,xla_reduction_pct,step_time_multiplier_cce_vs_default
Gemma3 12B,1,512,fsdp8/tp1,1.8865981101989744,1.8685094118118288,0.3401184889999058,0.335859072000062,320.47655015905406,324.5408836238905,9.19,9.43,0.2400000000000002,2.545068928950156,1.012682155567449
Gemma3 12B,1,1024,fsdp8/tp1,1.5159187316894531,1.51521098613739,0.6068825480001578,0.4488248469999689,179.6064170228399,242.85642991598357,12.4,12.91,0.5099999999999998,3.9504260263361735,1.352158981519577
Gemma3 12B,1,2048,fsdp8/tp1,,,,,,,20.47,22.29,1.8200000000000003,8.165096455809785,
Gemma3 12B,1,4096,fsdp8/tp1,,,,,,,47.46,50.56,3.1000000000000014,6.131329113924055,
Gemma3 12B,2,512,fsdp8/tp1,1.4553240537643433,1.455889344215393,0.4653984230003516,0.433844666999903,468.4158545157668,502.4839915804445,12.64,13.14,0.5,3.8051750380517557,1.0727305379103709
Gemma3 12B,2,1024,fsdp8/tp1,,,,,,,20.12,21.92,1.8000000000000007,8.211678832116787,
Gemma3 12B,2,2048,fsdp8/tp1,,,,,,,47.43,50.92,3.490000000000002,6.853888452474477,
Gemma3 12B,2,4096,fsdp8/tp1,,,,,,,137.42,143.85,6.430000000000007,4.469933958985061,
Gemma3 12B,4,512,fsdp8/tp1,,,,,,,17.31,19.01,1.7000000000000028,8.942661756970027,
Gemma3 12B,4,1024,fsdp8/tp1,,,,,,,35.53,39.06,3.530000000000001,9.0373783922171,
Gemma3 12B,4,2048,fsdp8/tp1,,,,,,,89.64,96.71,7.069999999999993,7.310515975597143,
Gemma3 12B,4,4096,fsdp8/tp1,,,,,,,274.38,291.76,17.379999999999995,5.956950918563198,
Gemma3 27B,1,512,fsdp8/tp1,2.3228461742401123,2.178900718688965,0.524622618999274,0.5153388090002409,207.76839589554723,211.51133603048524,14.26,14.52,0.2599999999999998,1.7906336088154284,1.0180149638197127
Gemma3 27B,1,1024,fsdp8/tp1,,,,,,,23.82,24.66,0.8399999999999999,3.406326034063256,
Gemma3 27B,1,2048,fsdp8/tp1,,,,,,,41.58,43.06,1.480000000000004,3.437064561077574,
Gemma3 27B,2,512,fsdp8/tp1,,,,,,,23.62,24.38,0.759999999999998,3.1173092698933424,
Gemma3 27B,2,1024,fsdp8/tp1,,,,,,,41.26,42.91,1.6499999999999986,3.8452575157305935,
Gemma3 27B,2,2048,fsdp8/tp1,,,,,,,102.36,105.65,3.2900000000000063,3.114055844770469,
Gemma3 27B,4,512,fsdp8/tp1,,,,,,,33.81,35.5,1.6899999999999977,4.760563380281679,
Gemma3 27B,4,1024,fsdp8/tp1,,,,,,,71.22,74.69,3.469999999999999,4.645869594323204,
Gemma3 27B,4,2048,fsdp8/tp1,,,,,,,198.36,204.8,6.439999999999998,3.1445312499999933,
