model,size,chip_type,tpu,chips,batch_size,max_length,variant,status,aggregate_xla_hbm_gib,xla_peak_gib_per_chip
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,512,cce-lora,ok,1.640674114227295,1.640674114227295
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,1024,cce-lora,ok,2.2145915031433105,2.2145915031433105
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,2048,cce-lora,ok,3.621917247772217,3.621917247772217
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,4096,cce-lora,ok,7.600249290466309,7.600249290466309
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,8192,cce-lora,oom,16.97911024093628,16.97911024093628
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,512,default-lora,ok,5.658413410186768,5.658413410186768
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,1024,default-lora,ok,10.227814197540283,10.227814197540283
270M,270m,Cloud TPU v5e,v5litepod-1,1,8,2048,default-lora,oom,18.971718311309814,18.971718311309814
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,512,cce-lora,ok,2.2148661613464355,2.2148661613464355
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,1024,cce-lora,ok,3.438037395477295,3.438037395477295
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,2048,cce-lora,ok,6.535948753356934,6.535948753356934
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,4096,cce-lora,ok,14.05253553390503,14.05253553390503
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,8192,cce-lora,oom,17.310139656066895,17.310139656066895
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,512,default-lora,ok,10.213928699493408,10.213928699493408
270M,270m,Cloud TPU v5e,v5litepod-1,1,16,1024,default-lora,oom,18.938305377960205,18.938305377960205
270M,270m,Cloud TPU v5e,v5litepod-1,1,32,512,cce-lora,ok,3.423766613006592,3.423766613006592
270M,270m,Cloud TPU v5e,v5litepod-1,1,32,1024,cce-lora,ok,5.902529716491699,5.902529716491699
270M,270m,Cloud TPU v5e,v5litepod-1,1,32,2048,cce-lora,ok,11.926913738250732,11.926913738250732
270M,270m,Cloud TPU v5e,v5litepod-1,1,32,4096,cce-lora,oom,24.202361583709717,24.202361583709717
270M,270m,Cloud TPU v5e,v5litepod-1,1,32,512,default-lora,oom,18.90277910232544,18.90277910232544
270M,270m,Cloud TPU v5e,v5litepod-1,1,64,512,cce-lora,ok,5.915816307067871,5.915816307067871
270M,270m,Cloud TPU v5e,v5litepod-1,1,64,1024,cce-lora,ok,10.932300090789795,10.932300090789795
