activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,ok,mesh
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc4096,True,4,synthetic,False,1.310535907745361,33.28587917099867,16,13.749863117027644,512,4,2.357240468263626,60.5096932906672,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc4096,65.352087552,67.637338112,2.28525056,60.57395762899978,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,64,v5litepod-4,29.350669345962853,cce,4096,289.3524621100005,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc4096/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc8192,True,4,synthetic,False,1.3577287197113037,33.13053734999994,16,27.31283676023431,512,4,2.391901671886444,30.46186697133332,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc8192,65.350447104,67.637338112,2.286891008,30.526723536000645,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,64,v5litepod-4,58.30240154588478,cce,8192,168.42787688500175,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc16384,True,4,synthetic,False,1.3166359663009644,33.274417627999355,16,53.94534725859086,512,4,2.3666744232177734,15.423016854664942,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc16384,65.3499904,67.637338112,2.287347712,15.487982768998336,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,64,v5litepod-4,115.1525681866074,cce,16384,108.44902857400302,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc16384/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc32768,True,4,synthetic,False,1.4039713144302368,33.051489665998815,16,105.28618434559056,512,4,2.3891395032405853,7.902271367998765,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc32768,65.350100992,67.637338112,2.28723712,7.965939945999708,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,64,v5litepod-4,224.74550889154904,cce,32768,78.7452786879985,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc64_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc4096,True,4,synthetic,False,1.310535907745361,33.504120997997234,16,27.349797225305345,512,4,2.357240378856659,30.420700860999204,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc4096,65.350770688,67.637338112,2.286567424,30.485735629001283,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,128,v5litepod-4,58.38129792324795,cce,4096,169.1010676400001,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc4096/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc8192,True,4,synthetic,False,1.3577284812927246,33.18075977400076,16,54.05759798757733,512,4,2.391901731491089,15.390990923999198,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc8192,65.349801984,67.637338112,2.287536128,15.454003891998582,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,128,v5litepod-4,115.39218031963622,cce,8192,108.5518627240017,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc16384,True,4,synthetic,False,1.3153165578842163,33.177196646000084,16,105.81664425400952,512,4,2.3561322689056396,7.862657201666782,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc16384,65.349603328,67.637338112,2.287734784,7.926370749002672,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,128,v5litepod-4,225.87783677298188,cce,16384,78.24910049000027,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc16384/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc32768,True,4,synthetic,False,1.3311998844146729,33.09912178900049,16,202.66674076213783,512,4,2.3778433203697205,4.10526165700018,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc32768,65.349322752,67.637338112,2.28801536,4.1711992919990735,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,128,v5litepod-4,432.61554278071736,cce,32768,63.291966680997575,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc128_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc4096,True,4,synthetic,False,1.310535907745361,33.29135975800091,16,54.117739724849,512,4,2.357240378856659,15.373886718664531,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc4096,65.34976512,67.637338112,2.287572992,15.438637839997682,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,256,v5litepod-4,115.52055979727383,cce,4096,108.37255123499926,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc4096/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc8192,True,4,synthetic,False,1.3577284812927246,33.599934162000864,16,105.89037881949773,512,4,2.391901731491089,7.857182203665919,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc8192,65.348943872,67.637338112,2.28839424,7.920312918999116,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,256,v5litepod-4,226.0352317108509,cce,8192,78.61479135100308,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
