mesh,mesh_fsdp,mesh_tp,batch_size,variant,max_ok_context,first_failed_context,ok_rows,failed_rows
fsdp1/tp4,1,4,1,cce,4096,,5,0
fsdp1/tp4,1,4,1,default,4096,,5,0
fsdp1/tp4,1,4,4,cce,4096,,5,0
fsdp1/tp4,1,4,4,default,4096,,5,0
fsdp1/tp4,1,4,8,cce,4096,,5,0
fsdp1/tp4,1,4,8,default,4096,,5,0
fsdp1/tp4,1,4,16,cce,2048,4096,4,1
fsdp1/tp4,1,4,16,default,2048,4096,4,1
fsdp1/tp4,1,4,32,cce,2048,4096,4,1
fsdp1/tp4,1,4,32,default,1024,2048,3,2
fsdp1/tp4,1,4,64,cce,1024,2048,3,2
fsdp1/tp4,1,4,64,default,512,1024,2,3
fsdp1/tp4,1,4,128,cce,512,1024,2,3
fsdp1/tp4,1,4,128,default,256,512,1,4
fsdp2/tp2,2,2,1,cce,4096,,10,0
fsdp2/tp2,2,2,1,default,4096,,10,0
fsdp2/tp2,2,2,4,cce,4096,,10,0
fsdp2/tp2,2,2,4,default,4096,,10,0
fsdp2/tp2,2,2,8,cce,4096,,10,0
fsdp2/tp2,2,2,8,default,2048,4096,8,2
fsdp2/tp2,2,2,16,cce,2048,4096,8,2
fsdp2/tp2,2,2,16,default,1024,2048,6,4
fsdp2/tp2,2,2,32,cce,1024,2048,6,4
fsdp2/tp2,2,2,32,default,512,1024,4,6
fsdp2/tp2,2,2,64,cce,512,1024,4,6
fsdp2/tp2,2,2,64,default,256,512,2,8
fsdp2/tp2,2,2,128,cce,512,1024,4,6
fsdp2/tp2,2,2,128,default,0,256,0,10
fsdp4/tp1,4,1,1,cce,4096,,5,0
fsdp4/tp1,4,1,1,default,4096,,5,0
fsdp4/tp1,4,1,4,cce,4096,,5,0
fsdp4/tp1,4,1,4,default,2048,4096,4,1
fsdp4/tp1,4,1,8,cce,2048,4096,4,1
fsdp4/tp1,4,1,8,default,1024,2048,3,2
fsdp4/tp1,4,1,16,cce,1024,2048,3,2
fsdp4/tp1,4,1,16,default,512,1024,2,3
fsdp4/tp1,4,1,32,cce,1024,2048,3,2
fsdp4/tp1,4,1,32,default,256,512,1,4
fsdp4/tp1,4,1,64,cce,512,1024,2,3
fsdp4/tp1,4,1,64,default,0,256,0,5
fsdp4/tp1,4,1,128,cce,256,512,1,4
fsdp4/tp1,4,1,128,default,0,256,0,5
