suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,failure_type,oom_used_gib,oom_limit_gib,oom_exceeded_gib,xla_train_step_gib_per_chip,xla_report,source_csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc4096,cce,16,2048,16,64,4096,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc8192,cce,16,2048,16,64,8192,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc16384,cce,16,2048,16,64,16384,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc32768,cce,16,2048,16,64,32768,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc4096,cce,16,2048,16,128,4096,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc8192,cce,16,2048,16,128,8192,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc16384,cce,16,2048,16,128,16384,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc32768,cce,16,2048,16,128,32768,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc4096,cce,16,2048,16,256,4096,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc8192,cce,16,2048,16,256,8192,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc16384,cce,16,2048,16,256,16384,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc32768,cce,16,2048,16,256,32768,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc4096,cce,16,2048,16,512,4096,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc8192,cce,16,2048,16,512,8192,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc16384,cce,16,2048,16,512,16384,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc32768,cce,16,2048,16,512,32768,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc4096,cce,16,4096,16,64,4096,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc8192,cce,16,4096,16,64,8192,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc16384,cce,16,4096,16,64,16384,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc32768,cce,16,4096,16,64,32768,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc128_vc4096,cce,16,4096,16,128,4096,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv
