suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,status,failure_type,tpu,chips,xla_train_step_gib_per_chip,runtime_peak_hbm_gb,runtime_hbm_limit_gb,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,wall_time_sec,xla_report
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc64_vc4096,cce,16,512,16,64,4096,ok,,v5litepod-1,1,4.98,1.41906176,16.909336064,0.3783912150000219,4693.555055182497,57.380594412999926,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc64_vc8192,cce,16,512,16,64,8192,ok,,v5litepod-1,1,4.98,1.41898752,16.909336064,0.3396411504999719,5229.048357025121,45.545739222000066,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc64_vc16384,cce,16,512,16,64,16384,ok,,v5litepod-1,1,4.98,1.41916928,16.909336064,0.3267794105000234,5434.858938274119,48.371651251,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc64_vc32768,cce,16,512,16,64,32768,ok,,v5litepod-1,1,4.98,1.41912576,16.909336064,0.3441095650000534,5161.146857396203,44.85351891999994,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc128_vc4096,cce,16,512,16,128,4096,ok,,v5litepod-1,1,4.98,1.419364352,16.909336064,0.2658838209999885,6679.609136503558,45.03439700600006,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc128_vc8192,cce,16,512,16,128,8192,ok,,v5litepod-1,1,4.98,1.419352064,16.909336064,0.2163391650000221,8209.33186092226,45.367687855999975,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc128_vc16384,cce,16,512,16,128,16384,ok,,v5litepod-1,1,4.98,1.419375104,16.909336064,0.2059267700000191,8624.425080817977,44.704275671000005,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc128_vc32768,cce,16,512,16,128,32768,ok,,v5litepod-1,1,4.98,1.419480064,16.909336064,0.2268378284999244,7829.381949847892,44.9694726470002,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc256_vc4096,cce,16,512,16,256,4096,ok,,v5litepod-1,1,4.98,1.419839488,16.909336064,0.2035971784998764,8723.107132848001,44.887545188000104,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc256_vc8192,cce,16,512,16,256,8192,ok,,v5litepod-1,1,4.98,1.419826688,16.909336064,0.1573292535000519,11288.428315077554,45.22205306700016,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc256_vc16384,cce,16,512,16,256,16384,ok,,v5litepod-1,1,4.98,1.419831808,16.909336064,0.1496398960000533,11868.492611083924,45.11437170499994,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc256_vc32768,cce,16,512,16,256,32768,ok,,v5litepod-1,1,4.98,1.419966464,16.909336064,0.1463706959999626,12133.57624534663,44.7346948039999,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc512_vc4096,cce,16,512,16,512,4096,ok,,v5litepod-1,1,4.98,1.420044288,16.909336064,0.1570055414999842,11311.702650955018,44.6263642240001,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc512_vc8192,cce,16,512,16,512,8192,ok,,v5litepod-1,1,4.98,1.420024832,16.909336064,0.1696558204999974,10468.25269398893,44.34151134900003,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc512_vc16384,cce,16,512,16,512,16384,ok,,v5litepod-1,1,4.98,1.420246016,16.909336064,0.1410818999999037,12588.432676347653,44.53899807399989,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc512_vc32768,cce,16,512,16,512,32768,ok,,v5litepod-1,1,4.97,1.420074496,16.909336064,0.1632558984999832,10878.6268448376,44.17014001899997,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
