activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,bleu,chrf,eval_batches,eval_loss,variant_label,ok
False,8,rank_sensitivity_default_r4_b8_l512_tc128_vc8192,False,1,synthetic,True,,2.3685531616210938,32.14342521799995,4,2839.7344033450177,512,2,3.242377281188965,0.1457882820000122,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l512_tc128_vc8192,15.554582016,16.909336064,1.354754048,0.1457882820000122,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,6063.587469944434,default,8192,49.941410644999905,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.83,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,True
False,8,rank_sensitivity_default_r4_b8_l1024_tc128_vc8192,False,1,synthetic,True,,2.372476577758789,26.093178414000025,4,1986.3897087318285,1024,2,3.2443389892578125,0.208418316999996,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l1024_tc128_vc8192,15.783023616,16.909336064,1.126312448,0.208418316999996,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,4241.469812847672,default,8192,37.265417646999936,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.08,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,True
,8,rank_sensitivity_default_r4_b8_l2048_tc128_vc8192,,1,synthetic,,compile_oom,,,4,,2048,2,,,1,1,Gemma3 270M,google/gemma-3-270m-it,4.58,15.75,20.33,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l2048_tc128_vc8192,,,,,,failed,,rank_sensitivity,,128,v5litepod-1,,default,8192,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.34,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,False
,8,rank_sensitivity_default_r4_b8_l4096_tc128_vc8192,,1,synthetic,,compile_oom,,,4,,4096,2,,,1,1,Gemma3 270M,google/gemma-3-270m-it,33.65,15.75,49.4,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l4096_tc128_vc8192,,,,,,failed,,rank_sensitivity,,128,v5litepod-1,,default,8192,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b8_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,50.4,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,False
False,8,rank_sensitivity_cce_r4_b8_l512_tc128_vc8192,True,1,synthetic,False,,2.359701156616211,33.51069045700001,4,2165.593283031668,512,2,3.238384246826172,0.1911716310000883,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l512_tc128_vc8192,15.554228224,16.909336064,1.35510784,0.1911716310000883,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,4624.117058454093,cce,8192,44.96453052000015,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.0,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,CCE,True
False,8,rank_sensitivity_cce_r4_b8_l1024_tc128_vc8192,True,1,synthetic,False,,2.368797540664673,33.76035752600001,4,1395.637414761729,1024,2,3.242932438850403,0.2966386509999665,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l1024_tc128_vc8192,15.50338816,16.909336064,1.405947904,0.2966386509999665,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,2980.0567020516137,cce,8192,45.609644419000006,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.27,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,CCE,True
False,8,rank_sensitivity_cce_r4_b8_l2048_tc128_vc8192,True,1,synthetic,False,,2.368797540664673,33.92369992599993,4,747.9900410002888,2048,2,3.242932438850403,0.5534833050000998,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l2048_tc128_vc8192,15.500862976,16.909336064,1.408473088,0.5534833050000998,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,1597.1574788508583,cce,8192,47.076474626999925,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.02,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,CCE,True
,8,rank_sensitivity_cce_r4_b8_l4096_tc128_vc8192,,1,synthetic,,compile_oom,,,4,,4096,2,,,1,1,Gemma3 270M,google/gemma-3-270m-it,4.85,15.75,20.6,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l4096_tc128_vc8192,,,,,,failed,,rank_sensitivity,,128,v5litepod-1,,cce,8192,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_cce_r4_b8_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.61,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,CCE,False
False,16,rank_sensitivity_default_r4_b16_l512_tc128_vc8192,False,1,synthetic,True,,2.343252420425415,31.760474457999862,4,5494.403896797358,512,2,3.2001713514328003,0.1514268000000811,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b16_l512_tc128_vc8192,15.521609728,16.909336064,1.387726336,0.1514268000000811,False,ok,2.0,rank_sensitivity,False,128,v5litepod-1,11728.43908739436,default,8192,42.86421724999991,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b16_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.54,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,True
,16,rank_sensitivity_default_r4_b16_l1024_tc128_vc8192,,1,synthetic,,compile_oom,,,4,,1024,2,,,1,1,Gemma3 270M,google/gemma-3-270m-it,4.58,15.75,20.33,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b16_l1024_tc128_vc8192,,,,,,failed,,rank_sensitivity,,128,v5litepod-1,,default,8192,,/tmp/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_default_r4_b16_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.33,data/gemma3_270m_full_cce/raw/rank/gemma3-270m-cce-rerun/rank_sensitivity/rank_sensitivity_results.csv,,,,,Default CE,False
