activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,mesh,variant_label,ok
False,16,mesh_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192,False,4,synthetic,True,,1.775262713432312,30.304791018999993,16,4330.502673195765,512,3,2.71821924050649,0.1921255019999819,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192,65.351960576,67.637338112,2.285377536,0.2422478179999529,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,9243.95762932173,default,8192,50.785958247999986,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.23,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,True
False,16,mesh_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192,False,4,synthetic,True,,1.7612556219100952,32.10463287499999,16,2362.5096109877604,1024,3,2.713629126548767,0.3521678795000298,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192,65.142503424,67.637338112,2.494834688,0.401456157000041,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,5043.049361916182,default,8192,46.68980158400001,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.66,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,True
,16,mesh_fsdp2_tp2_default_r16_b16_l2048_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,2048,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,6.29,15.75,22.04,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l2048_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b16_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,22.31,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
False,16,mesh_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192,True,4,synthetic,False,,1.8621981143951416,33.03471916699999,16,54.00615973583704,512,3,2.736626148223877,15.405650097500027,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192,65.349801984,67.637338112,2.287536128,15.454277055000034,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,115.28237943611369,cce,8192,92.99192222099998,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
False,16,mesh_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192,True,4,synthetic,False,,1.8621981143951416,33.139749661999986,16,27.027242684827513,1024,3,2.736626148223877,30.783754365999982,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192,65.144270848,67.637338112,2.493067264,30.830562087999965,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,57.69276803876642,cce,8192,138.95931133399995,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.13,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
False,16,mesh_fsdp2_tp2_cce_r16_b16_l2048_tc128_vc8192,True,4,synthetic,False,,1.8555989265441897,34.59556010599999,16,13.51100297229404,2048,3,2.735389312108358,61.57944023150003,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l2048_tc128_vc8192,65.188231168,67.637338112,2.449106944,61.627960708000046,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,28.840794806243043,cce,8192,233.456588431,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b16_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.03,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
False,32,mesh_fsdp2_tp2_default_r16_b32_l512_tc128_vc8192,False,4,synthetic,True,,1.8226641416549685,32.68545275500003,16,4827.482458440699,512,3,2.717000126838684,0.3446931219999669,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l512_tc128_vc8192,65.058768896,67.637338112,2.578569216,0.3928696190000664,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,10304.818324748414,default,8192,47.041338684999914,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.11,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,True
,32,mesh_fsdp2_tp2_default_r16_b32_l1024_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,1024,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,6.29,15.75,22.04,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l1024_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,22.31,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
,32,mesh_fsdp2_tp2_default_r16_b32_l2048_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,2048,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,34.91,15.75,50.66,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l2048_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b32_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,50.93,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
False,32,mesh_fsdp2_tp2_cce_r16_b32_l512_tc128_vc8192,True,4,synthetic,False,,1.7209855318069458,33.48301691100005,16,54.07407316247697,512,3,2.6843429803848267,30.772603258499885,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l512_tc128_vc8192,65.063657472,67.637338112,2.57368064,30.820494663999852,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,115.42734848144124,cce,8192,139.534652242,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.56,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
