mesh,mesh_fsdp,mesh_tp,batch_size,variant,max_ok_context,first_failed_context,ok_rows,failed_rows
fsdp1/tp4,1,4,16,cce,2048,,3,0
fsdp1/tp4,1,4,16,default,2048,,3,0
fsdp1/tp4,1,4,32,cce,2048,,3,0
fsdp1/tp4,1,4,32,default,1024,2048,2,1
fsdp1/tp4,1,4,64,cce,1024,2048,2,1
fsdp1/tp4,1,4,64,default,512,1024,1,2
fsdp2/tp2,2,2,16,cce,2048,,3,0
fsdp2/tp2,2,2,16,default,1024,2048,2,1
fsdp2/tp2,2,2,32,cce,1024,2048,2,1
fsdp2/tp2,2,2,32,default,512,1024,1,2
fsdp2/tp2,2,2,64,cce,512,1024,1,2
fsdp2/tp2,2,2,64,default,0,512,0,3
fsdp4/tp1,4,1,16,cce,1024,2048,2,1
fsdp4/tp1,4,1,16,default,512,1024,1,2
fsdp4/tp1,4,1,32,cce,1024,2048,2,1
fsdp4/tp1,4,1,32,default,0,512,0,3
fsdp4/tp1,4,1,64,cce,512,1024,1,2
fsdp4/tp1,4,1,64,default,0,512,0,3
