repeat,mesh,mesh_fsdp,mesh_tp,shape,batch_size,max_length,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,step_time_overhead_pct
1,fsdp1/tp4,1,4,b16/L512,16,512,0.1794902384281158,0.1815571337938308,7.409481877428594,5.3963732220000304,240.7725708101906,330.5924046778227,1.64,3.47,52.73775216138329,1.3730484480245893,37.30484480245892
2,fsdp1/tp4,1,4,b16/L512,16,512,0.2387790828943252,0.254715234041214,7.387353793571492,5.464725580571472,241.4937811090684,326.45738083218424,1.64,3.47,52.73775216138329,1.3518252078083235,35.18252078083235
3,fsdp1/tp4,1,4,b16/L512,16,512,0.1233649626374244,0.1040089130401611,7.37414292914283,5.367465165857149,241.9264200792175,332.37290692600277,1.64,3.47,52.73775216138329,1.3738594851160488,37.38594851160488
1,fsdp1/tp4,1,4,b16/L1024,16,1024,0.0880722776055336,0.1976891309022903,10.022011820714267,6.129978030714223,178.0081716040976,291.02877548031614,3.06,6.86,55.39358600583091,1.6349180650402058,63.49180650402057
2,fsdp1/tp4,1,4,b16/L1024,16,1024,0.2560717463493347,0.2346418499946594,10.008353182714211,6.133844283714292,178.25110359626504,290.8453357279744,3.06,6.86,55.39358600583091,1.6316607856001435,63.16607856001435
3,fsdp1/tp4,1,4,b16/L1024,16,1024,0.1168001815676689,0.1711571514606475,9.969230274857182,6.131636503428516,178.950626158102,290.9500586022138,3.06,6.86,55.39358600583091,1.6258677873815364,62.58677873815364
1,fsdp1/tp4,1,4,b32/L512,32,512,0.1531142145395279,0.1719086915254593,9.9833241385714,6.082015975999899,360.2579039456184,591.3452780728915,2.77,6.59,57.96661608497724,1.6414498380087066,64.14498380087066
2,fsdp1/tp4,1,4,b32/L512,32,512,0.2595275938510895,0.2772982716560364,9.93890676114292,6.145845578571425,361.8679111300811,585.2036766285684,2.77,6.59,57.96661608497724,1.6171748271379731,61.71748271379731
3,fsdp1/tp4,1,4,b32/L512,32,512,0.1718313992023468,0.1495792418718338,9.96549395371442,6.153103971857361,360.902474606478,584.5133521262077,2.77,6.59,57.96661608497724,1.619588097209783,61.958809720978294
1,fsdp1/tp4,1,4,b32/L1024,32,1024,0.1719622761011123,0.237800732254982,14.389203538571367,6.650357738142962,249.94930531982132,540.8087158895802,5.69,13.48,57.7893175074184,2.163673610525107,116.36736105251072
2,fsdp1/tp4,1,4,b32/L1024,32,1024,0.1774544715881347,0.1737317889928817,14.40743505228576,6.611295123428525,249.63301347666516,544.0040659849257,5.69,13.48,57.7893175074184,2.179215234429629,117.92152344296292
3,fsdp1/tp4,1,4,b32/L1024,32,1024,0.1722702085971832,0.1741435229778289,14.355854308142884,6.687401219714177,250.5299476695993,537.8130174048608,5.69,13.48,57.7893175074184,2.1467015117655017,114.67015117655018
1,fsdp2/tp2,2,2,b16/L512,16,512,0.1457148492336273,0.1377374231815338,15.373901579571436,0.1583320507142827,116.04081051036174,11267.459695948151,2.65,6.23,57.46388443017657,97.099112341533,9609.9112341533
2,fsdp2/tp2,2,2,b16/L512,16,512,0.2016699463129043,0.2521025240421295,15.373646618000034,0.1587932650000506,116.04273496902334,11234.733412650914,2.65,6.23,57.46388443017657,96.81548281027622,9581.548281027623
3,fsdp2/tp2,2,2,b16/L512,16,512,0.1987468153238296,0.1657662987709045,15.373561972285708,0.1583614685715214,116.043373891884,11265.366607750828,2.65,6.23,57.46388443017657,97.07893031657817,9607.893031657817
1,fsdp2/tp2,2,2,b16/L1024,16,1024,0.1522213220596313,0.1381745338439941,30.751345256142876,0.319049420428582,58.01372216858152,5591.610220145632,5.13,12.66,59.478672985782,96.38426929230687,9538.426929230687
2,fsdp2/tp2,2,2,b16/L1024,16,1024,0.1520199328660965,0.2523408532142639,30.75108963471426,0.3192612582858081,58.014204413299225,5587.900046434487,5.13,12.66,59.478672985782,96.31951524536485,9531.951524536486
3,fsdp2/tp2,2,2,b16/L1024,16,1024,0.2050720602273941,0.1591921001672744,30.75049233857148,0.3197747968572133,58.015331278526,5578.926224122024,5.13,12.66,59.478672985782,96.16296418852006,9516.296418852007
1,fsdp2/tp2,2,2,b32/L512,32,512,0.1739412397146225,0.2292726188898086,30.73884211142854,0.3092862647142738,117.00412837717926,11628.61671821744,4.56,12.11,62.34516928158547,99.38637960475171,9838.637960475171
2,fsdp2/tp2,2,2,b32/L512,32,512,0.2289549708366394,0.176168605685234,30.739134816428628,0.3094762641428263,117.0030142373828,11621.477461391274,4.56,12.11,62.34516928158547,99.32630827623736,9832.630827623736
3,fsdp2/tp2,2,2,b32/L512,32,512,0.2013595551252365,0.212075188755989,30.73928948228552,0.3094461751426414,117.00242553244654,11622.60747580274,4.56,12.11,62.34516928158547,99.3364660853088,9833.64660853088
1,fsdp2/tp2,2,2,b32/L1024,32,1024,0.1890388578176498,,61.50885900628571,,58.47241335112212,,9.54,,,,
2,fsdp2/tp2,2,2,b32/L1024,32,1024,0.2318218797445297,,61.508781901428584,,58.4724866497136,,9.54,,,,
3,fsdp2/tp2,2,2,b32/L1024,32,1024,0.1492225378751754,,61.508958312286005,,58.472318947613154,,9.54,,,,
1,fsdp4/tp1,4,1,b16/L512,16,512,0.1517409980297088,0.1762449890375137,0.3884714732856927,0.2123946504285722,4592.357798916156,8399.458255658632,3.85,11.29,65.89902568644818,1.829007804583735,82.9007804583735
2,fsdp4/tp1,4,1,b16/L512,16,512,0.1878484189510345,0.3029087483882904,0.3882445752856581,0.2121555254285892,4595.041665907087,8408.925463506195,3.85,11.29,65.89902568644818,1.829999829141098,82.9999829141098
