mesh,mesh_fsdp,mesh_tp,variant,batch_size,max_length,status,xla_train_step_gib_per_chip,mean_step_time_sec_excl_first,final_loss,run_dir,hlo_files_scanned,hlo_text_bytes,all_gather,all_reduce,collective_permute,reduce_scatter,dot,reduce,transpose,dynamic_slice,dynamic_update_slice
fsdp1/tp4,1,4,cce,16,512,ok,1.64,39.96262070800003,2.356271743774414,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l512_tc128_vc8192,10,147455739,12804,14404,0,1620,1944,8258,70350,3252,10
fsdp1/tp4,1,4,default,16,512,ok,3.47,37.449549889999616,2.3501718044281006,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l512_tc128_vc8192,10,146508884,12860,14454,0,1638,1940,8254,69456,3160,0
fsdp1/tp4,1,4,cce,16,1024,ok,3.06,46.62359717599975,2.3486931324005127,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l1024_tc128_vc8192,10,148252582,12828,14398,0,1620,1944,8250,70358,3252,10
fsdp1/tp4,1,4,default,16,1024,ok,6.86,42.43100247900293,2.3582253456115723,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l1024_tc128_vc8192,10,147259740,12860,14454,0,1638,1940,8246,69456,3160,0
fsdp2/tp2,2,2,cce,16,512,ok,2.65,15.454800899002294,2.2792809009552,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192,5,65622864,84,5785,2697,0,972,3773,34112,54,5
fsdp2/tp2,2,2,default,16,512,ok,6.23,0.2401233499986119,2.3113694190979004,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192,5,65058287,0,5837,2697,0,970,3775,33676,8,0
fsdp2/tp2,2,2,cce,16,1024,ok,5.13,30.833521404001655,2.2792809009552,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192,5,66209976,84,5785,2913,0,972,3769,34108,54,5
fsdp2/tp2,2,2,default,16,1024,ok,12.66,0.4028355459995509,2.311606168746948,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192,5,65657807,0,5837,2913,0,970,3771,33672,8,0
fsdp4/tp1,4,1,cce,16,512,ok,3.85,0.4531047019991092,2.367995023727417,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l512_tc128_vc8192,5,64221480,0,3952,0,0,972,3481,33496,342,5
fsdp4/tp1,4,1,default,16,512,ok,11.29,0.2753437569990637,2.360680341720581,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192,5,63803806,0,3932,0,0,970,3467,33072,292,0
fsdp4/tp1,4,1,cce,16,1024,ok,7.49,0.8701442370002042,2.347944736480713,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l1024_tc128_vc8192,5,64580411,0,4096,0,0,972,3549,33496,342,5
fsdp4/tp1,4,1,default,16,1024,failed,21.06,,,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192,4,50067963,0,3057,0,0,970,2923,27142,219,0
