model_family,model,model_id,tpu,chips,batch_size,max_length,lora_rank,variant,status,source,compile_oom_used_gb_per_chip,compile_oom_limit_gb_per_chip,compile_oom_exceeded_gb_per_chip,runtime_peak_hbm_gb_aggregate,runtime_peak_hbm_gb_per_chip,runtime_hbm_limit_gb_aggregate,mean_step_time_sec_excl_first,wall_time_sec,final_loss,valid_tokens_per_sec_excl_first,loss_tokens_per_sec_excl_first,notes
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,default,oom,boundary_failure_log,16.59,15.75,0.840888671875,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,cce,ok,timed_4_step,,,,20.66076672,5.16519168,67.637338112,0.5829291716666679,195.42753382,2.8205909729003906,109.79035380407528,30.878537007396172,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,packed,oom,boundary_failure_log,16.59,15.75,0.84111328125,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,tiled_mlp,ok,timed_4_step,,,,20.175563264,5.043890816,67.637338112,0.5142006396666451,81.75328850000005,1.7459031343460083,124.46503380760288,35.00579075838831,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,split_offload,ok,timed_4_step,,,,20.679443456,5.169860864,67.637338112,25.176163839666515,188.65203421800015,1.6209841966629028,2.5420870473985504,0.7149619820808423,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E2B,google/gemma-4-E2B,v5litepod-4,4,1,2048,16,split_remat,oom,boundary_failure_log,16.57,15.75,0.8205859375,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,default,oom,boundary_failure_log,19.81,15.75,4.06,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,cce,oom,boundary_failure_log,17.65,15.75,1.9,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,packed,oom,boundary_failure_log,19.81,15.75,4.06,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,tiled_mlp,ok,timed_4_step,,,,31.534168064,3.941771008,135.27465984,0.6726267196666716,251.38487321499997,1.0980808734893799,95.14935718241462,26.76075670755411,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,split_offload,ok,timed_4_step,,,,35.13238016,4.39154752,135.27465984,35.108484202,257.76163117199985,1.0099769830703735,1.8229211956793667,0.512696586284822,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
Gemma4,Gemma4 E4B,google/gemma-4-E4B,v5litepod-8,8,1,2048,16,split_remat,oom,boundary_failure_log,19.79,15.75,4.04,,,,,,,,,Base Gemma4 text path; OPUS100 EN-FR input wrapper; quality/generation eval disabled.
