model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,256,,,2.39208722114563,2.4185163974761963,28.73431119400084,27.277530059000128,3.793374383122748,3.9959629689432177,0.4987721443176269,0.3182830810546875,-56.707086868977406,1.0534059033882377,-0.026429176330566406
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,512,,,2.4074394702911377,2.3912875652313232,29.281289066999307,28.10204294200048,3.722513710055393,3.8787215657226057,0.5196795463562012,0.3210630416870117,-61.862151316317096,1.0419630034525482,0.016151905059814453
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,1024,,,2.6741883754730225,2.624394416809082,30.690111770998556,29.98801113400077,3.5516325523129075,3.634785898702514,0.6212325096130371,0.7073144912719727,12.170255624783433,1.0234127109617395,0.04979395866394043
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,2048,,,2.686645269393921,2.537623405456543,34.62955835399953,32.941833921999205,3.14760006136235,3.308862532003953,0.858975887298584,1.18,27.205433279781012,1.0512334691503993,0.14902186393737793
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,4096,,,2.7126271724700928,2.625347137451172,37.71361764299945,36.27188835500056,2.890202712235245,3.00508203303876,1.59,2.38,33.193277310924366,1.0397478420171673,0.0872800350189209
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,256,,,2.3665966987609863,2.407329797744751,30.218672162000075,28.973922338000193,14.428165395972268,15.048014380440735,0.5857682228088379,0.6775751113891602,13.54933010926278,1.042961039567893,-0.04073309898376465
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,512,,,2.3794872760772705,2.401068687438965,32.73909140000069,31.2381074040004,13.31741295667084,13.957311637393408,0.7402195930480957,1.08,31.461148791842998,1.0480497738415506,-0.021581411361694336
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,1024,,,2.4235904216766357,2.386988401412964,36.48419125500004,34.535336449998795,11.950381384437229,12.624750322941049,1.15,1.98,41.919191919191924,1.0564307461669833,0.036602020263671875
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,2048,,,2.359126567840576,2.3664345741271973,40.24972820899893,37.773617638998985,10.83237128300708,11.542447540154487,2.07,3.87,46.51162790697675,1.0655513219216661,-0.007308006286621094
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,4096,,,2.426435708999634,2.4419407844543457,46.28281890799917,42.465171186999214,9.420342370819704,10.267237545800407,4.78,8.62,44.547563805104396,1.0899006789396561,-0.015505075454711914
