activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,bleu,chrf,eval_batches,eval_loss,ok,mesh,variant_label,model_order
False,1,fourchip_frontier_fsdp2_tp2_cce_r16_b1_l256_tc128_vc8192,True,4,synthetic,False,,1.7115060091018677,41.25773300800029,16,50.049045071067454,256,2,2.3214831948280334,1.0190004609994503,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l256_tc128_vc8192,62.71041536,67.637338112,4.926922752,1.0190004609994503,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,106.96756691659516,cce,8192,59.86585310099872,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l256_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.97,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
False,1,fourchip_frontier_fsdp2_tp2_default_r16_b1_l256_tc128_vc8192,False,4,synthetic,True,,1.6834334135055542,46.75080375699872,16,313.0342374233867,256,2,2.3051968216896057,0.1629214760014292,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l256_tc128_vc8192,62.71154176,67.637338112,4.925796352,0.1629214760014292,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,669.0339584146892,default,8192,63.83003264700165,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l256_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.27,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,Default CE,1
False,1,fourchip_frontier_fsdp2_tp2_cce_r16_b1_l512_tc128_vc8192,True,4,synthetic,False,,1.7115060091018677,42.64573446000031,16,26.9299327173218,512,2,2.3214831948280334,1.8938034689999768,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l512_tc128_vc8192,62.48983552,67.637338112,5.147502592,1.8938034689999768,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,57.55613070957013,cce,8192,62.523453154999515,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.98,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
False,1,fourchip_frontier_fsdp2_tp2_default_r16_b1_l512_tc128_vc8192,False,4,synthetic,True,,1.6932014226913452,52.006060784999136,16,308.47661250418986,512,2,2.310080826282501,0.1653285789998335,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l512_tc128_vc8192,62.489710592,67.637338112,5.14762752,0.1653285789998335,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,659.2931522148372,default,8192,68.94727984900055,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.41,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,Default CE,1
False,1,fourchip_frontier_fsdp2_tp2_cce_r16_b1_l1024_tc128_vc8192,True,4,synthetic,False,,1.680458903312683,45.03475290499955,16,13.969863620724007,1024,2,2.305929481983185,3.6507156679999753,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l1024_tc128_vc8192,62.07455232,67.637338112,5.562785792,3.6507156679999753,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,29.857159503116016,cce,8192,68.37715271100024,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.45,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
False,1,fourchip_frontier_fsdp2_tp2_default_r16_b1_l1024_tc128_vc8192,False,4,synthetic,True,,1.6779624223709106,61.58075513299991,16,272.93980234052265,1024,2,2.302461326122284,0.1868543889995635,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l1024_tc128_vc8192,62.069331968,67.637338112,5.568006144,0.1868543889995635,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,583.3419304924896,default,8192,78.31562456599931,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.31,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,Default CE,1
False,1,fourchip_frontier_fsdp2_tp2_cce_r16_b1_l2048_tc128_vc8192,True,4,synthetic,False,,1.680458903312683,46.74694827300118,16,7.127539486504837,2048,2,2.305929481983185,7.155344434999279,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l2048_tc128_vc8192,61.76847872,67.637338112,5.868859392,7.155344434999279,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,15.233368706451513,cce,8192,77.42928626100002,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.3,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
False,1,fourchip_frontier_fsdp2_tp2_default_r16_b1_l2048_tc128_vc8192,False,4,synthetic,True,,1.6882827281951904,68.12985532199855,16,228.98221214019088,2048,2,2.307621479034424,0.2227247240007273,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l2048_tc128_vc8192,61.77053696,67.637338112,5.866801152,0.2227247240007273,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,489.3933553584472,default,8192,84.61694830099987,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.52,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,Default CE,1
False,1,fourchip_frontier_fsdp2_tp2_cce_r16_b1_l4096_tc128_vc8192,True,4,synthetic,False,,1.680458903312683,49.78268495900011,16,3.597110968899336,4096,2,2.305929481983185,14.178044669999508,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l4096_tc128_vc8192,61.330911232,67.637338112,6.30642688,14.178044669999508,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,7.687943051177013,cce,8192,94.37367162400004,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b1_l4096_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.83,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
False,1,fourchip_frontier_fsdp2_tp2_default_r16_b1_l4096_tc128_vc8192,False,4,synthetic,True,,1.6766406297683716,81.44246261700027,16,158.14317389298972,4096,2,2.3018004298210144,0.322492579000027,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l4096_tc128_vc8192,61.330737152,67.637338112,6.30660096,0.322492579000027,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,337.992273614429,default,8192,98.23519564100025,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_default_r16_b1_l4096_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.95,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,Default CE,1
False,4,fourchip_frontier_fsdp2_tp2_cce_r16_b4_l256_tc128_vc8192,True,4,synthetic,False,,1.738515853881836,43.80122068300079,16,55.88121237547422,256,2,2.3514819145202637,3.650600825001675,2,2,Gemma3 1B,google/gemma-3-1b-it,,,,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b4_l256_tc128_vc8192,62.193688576,67.637338112,5.443649536,3.650600825001675,False,ok,2.0,fourchip_frontier_fsdp2_tp2,False,128,v5litepod-4,119.43239507699391,cce,8192,67.21258478100026,/tmp/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_cce_r16_b4_l256_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.35,data/gemma_1b_e2b_cce_transfer/raw/gemma-cce-1b-exhaustive-fourchip-frontier-2x2/gemma-cce-1b-exhaustive/fourchip_frontier_fsdp2_tp2/fourchip_frontier_fsdp2_tp2_results.csv,,,,,True,fsdp2/tp2,CCE,1
