model,suite,mesh,batch_size,max_length,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default
Gemma3 4B,focused_chunk_fsdp8_tp1,fsdp8/tp1,4,1024,0.8949518799781799,,0.6268599400003344,,701.911179712274,,15.04,,,
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,512,1.915355920791626,1.927961826324463,0.215501273999962,0.2133375010002964,505.79747384704194,510.92751855122054,3.55,3.8,6.578947368421051,1.0101424877929108
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,1024,1.919048547744751,1.9143354892730713,0.2805948700001863,0.2544705020000037,388.4604162575303,428.3404133025933,4.98,5.48,9.12408759124087,1.102661675105204
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,2048,1.9361186027526855,1.9481710195541384,0.4328238610000881,0.3736265040001854,251.8345447687271,291.7351923190811,9.37,10.36,9.555984555984553,1.1584399296252101
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,2,512,1.9018794298171997,1.886666774749756,0.2755275690005874,0.2468727949999447,791.2093907362688,883.0458617364008,4.97,5.49,9.471766848816031,1.1160710073406392
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,2,1024,1.8543601036071775,1.8612605333328247,0.4276420690002851,0.3547208559994033,509.77211037638733,614.5677546525957,8.51,9.92,14.213709677419361,1.2055735144059432
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,4,512,1.9704861640930176,1.9717367887496948,0.410762273999353,0.3553220439998767,1061.44119749587,1227.055870477181,8.58,9.58,10.438413361169108,1.1560281185354644
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,4,1024,1.9717028141021729,,0.7242994779999208,,601.9609474301564,,15.04,,,
Gemma3 4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,8,512,2.0306100845336914,2.018491744995117,0.6661421950002477,0.5874255890003042,1327.043995463568,1504.8714535987676,12.45,14.82,15.991902834008098,1.13400268472115
Gemma3 4B,focused_pilot_fsdp8_tp1,fsdp8/tp1,1,512,1.915355920791626,1.927961826324463,0.2175025379999624,0.213196057999994,501.1435774603183,511.2664888016036,3.55,3.8,6.578947368421051,1.020199623015396
Gemma3 4B,focused_pilot_fsdp8_tp1,fsdp8/tp1,4,512,1.9704861640930176,1.9717367887496948,0.410583871999961,0.3544099110000616,1061.902402245457,1230.2139033575847,8.58,9.58,10.438413361169108,1.158499972084273
Gemma4 E4B,focused_chunk_fsdp8_tp1,fsdp8/tp1,4,512,0.3313755095005035,,0.6336693923318913,,807.9923161758684,,14.53,,,
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,256,1.6107879877090454,1.2756316661834717,0.3094528189994889,0.6228392930006521,410.4018196073041,203.90492608157757,4.73,5.24,9.732824427480914,0.4968421589277684
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,512,1.650931477546692,1.2365078926086426,0.3377826969990565,0.3247680989989021,375.9813665066294,391.04825994756743,6.0,7.02,14.529914529914523,1.0400735110384054
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,1,1024,1.668046951293945,1.12779438495636,0.4877305429999978,0.4440846440011228,260.3896799631032,285.98151662204043,9.26,12.17,23.911257189811007,1.0982828377167768
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,2,256,1.460723042488098,1.0778521299362185,0.3383083820008323,0.3177478479992714,750.7942856685563,799.3759882225304,5.83,6.85,14.8905109489051,1.0647070755349632
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,2,512,1.4740281105041504,1.0409903526306152,0.4771692600006645,0.4445127660001162,532.3058740197268,571.4121605225924,8.85,11.81,25.063505503810333,1.073465818078529
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,4,256,1.5882450342178345,1.0234618186950684,0.4870006430010107,0.4410466059998725,1043.1197726343569,1151.805711889203,8.31,11.27,26.264418811002656,1.104193154138344
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,4,512,1.4515726566314695,,0.7692859320013667,,660.3526450540857,,14.53,,,
Gemma4 E4B,focused_frontier_fsdp8_tp1,fsdp8/tp1,8,256,1.3046770095825195,,0.757335330999922,,1357.3907857206598,,13.6,,,
Gemma4 E4B,focused_pilot_fsdp8_tp1,fsdp8/tp1,1,512,1.650931477546692,1.2365078926086426,0.3370125609999377,0.3092387799997595,376.8405534297681,410.6858784014694,6.0,7.02,14.529914529914523,1.0898133830440018
Gemma4 E4B,focused_pilot_fsdp8_tp1,fsdp8/tp1,4,512,1.4515726566314695,,0.779498373000024,,651.7011678226869,,14.53,,,
