accelerator_type,backend,case_name,cce_enabled,cce_loop_count,chunk_configuration,chunk_loop_count,compile_time_sec,device_count,error_message,experiment_id,failure_type,first_step_time_sec,fsdp_degree,global_batch_size,hardware_target,hidden_size,hostname,measured_steps,median_step_time_sec,mesh_configuration,model_name,model_size,p95_step_time_sec,preset,profiler_path,repeat_index,returncode,run_id,runtime_hbm_peak_gb,scenario_group,sequence_length,shape,signature_label,source,source_log_path,status,steady_state_mean_step_time_sec,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_family,workload_runner,xla_planned_hbm_gib_per_chip,ok
A100-80GB,gpu,exp0000_gpu-a100-80gb-4_cce_train_bad_fsdp2_tp2_tc128_vc8192_r0,True,2048,128/8192,2048,,4,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,0,unavailable_remote_case_artifact,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,,"fsdp=2,tp=2",qwen3_0p6b,qwen3_0p6b,,pilot,,0,1,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/cce_train,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,failure,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,2,,,8192,32,262144,3,cce_train,tunix_cce,,False
A100-80GB,gpu,exp0001_gpu-a100-80gb-4_cce_train_good_fsdp2_tp2_tc512_vc65536_r0,True,64,512/65536,64,,4,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,1,unavailable_remote_case_artifact,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,,"fsdp=2,tp=2",qwen3_0p6b,qwen3_0p6b,,pilot,,0,1,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/cce_train,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,failure,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,,2,,,65536,4,262144,3,cce_train,tunix_cce,,False
A100-80GB,gpu,exp0002_gpu-a100-80gb-4_cce_train_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,True,2048,128/8192,2048,,4,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,2,unavailable_remote_case_artifact,,4,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,,"fsdp=4,tp=1",qwen3_0p6b,qwen3_0p6b,,pilot,,0,1,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/cce_train,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,failure,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,1,,,8192,32,262144,3,cce_train,tunix_cce,,False
A100-80GB,gpu,exp0003_gpu-a100-80gb-4_cce_train_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,True,2048,128/8192,2048,,4,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,3,unavailable_remote_case_artifact,,1,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,,"fsdp=1,tp=4",qwen3_0p6b,qwen3_0p6b,,pilot,,0,1,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/cce_train,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,failure,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,4,,,8192,32,262144,3,cce_train,tunix_cce,,False
A100-80GB,gpu,exp0004_gpu-a100-80gb-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,128/8192,2048,,4,,4,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.052492001399997434,"fsdp=2,tp=2",synthetic,,0.052492001399997434,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.052492001399997434,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,156061.87193312848,2,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,True
A100-80GB,gpu,exp0005_gpu-a100-80gb-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,512/65536,64,,4,,5,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.01953531460000022,"fsdp=2,tp=2",synthetic,,0.01953531460000022,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.01953531460000022,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,419343.1315408613,2,,,65536,4,262144,3,chunked_matmul_loop,jax_microbench,,True
A100-80GB,gpu,exp0006_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,False,,128/8192,2048,,4,,6,,,4,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.05197344449999832,"fsdp=4,tp=1",synthetic,,0.05197344449999832,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05197344449999832,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,157618.95481066807,1,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,True
A100-80GB,gpu,exp0007_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,False,,128/8192,2048,,4,,7,,,1,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.05143196330000137,"fsdp=1,tp=4",synthetic,,0.05143196330000137,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05143196330000137,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,159278.3839927764,4,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,True
A100-80GB,gpu,exp0008_gpu-a100-80gb-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,128/8192,2048,,4,,8,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.13136096299999167,"fsdp=2,tp=2",synthetic,,0.13136096299999167,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.13136096299999167,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,62362.51480586755,2,,,8192,32,262144,3,collective_loop,jax_microbench,,True
A100-80GB,gpu,exp0009_gpu-a100-80gb-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,512/65536,64,,4,,9,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.036154212700006384,"fsdp=2,tp=2",synthetic,,0.036154212700006384,pilot,,0,0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.036154212700006384,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,226584.93680872087,2,,,65536,4,262144,3,collective_loop,jax_microbench,,True
