experiment_id,run_id,preset,timestamp,timestamp_manifest,hostname,tpu_worker_id,hardware_target,backend,accelerator_type,tpu_type,device_count,workload_family,workload_runner,signature_label,model_name,model_size,global_batch_size,sequence_length,shape,hidden_size,vocab_size,mesh_configuration,fsdp_degree,tp_degree,token_chunk,vocab_chunk,chunk_configuration,token_loop_count,vocab_loop_count,chunk_loop_count,cce_loop_count,cce_enabled,warmup_steps,measured_steps,repeat_index,status,returncode,compile_time_sec,first_step_time_sec,steady_state_mean_step_time_sec,median_step_time_sec,p95_step_time_sec,tokens_per_sec,xla_planned_hbm_gib_per_chip,runtime_hbm_peak_gb,profiler_path,scenario_group,case_name,source,source_log_path,error_message,failure_type
0,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,cce_train,tunix_cce,bad,qwen3_0p6b,qwen3_0p6b,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,128,8192,128/8192,64,32,2048,2048,True,3,10,0,failure,1,,,,,,,,,,gpu-a100-80gb-4/cce_train,exp0000_gpu-a100-80gb-4_cce_train_bad_fsdp2_tp2_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,unavailable_remote_case_artifact
1,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,cce_train,tunix_cce,good,qwen3_0p6b,qwen3_0p6b,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,512,65536,512/65536,16,4,64,64,True,3,10,0,failure,1,,,,,,,,,,gpu-a100-80gb-4/cce_train,exp0001_gpu-a100-80gb-4_cce_train_good_fsdp2_tp2_tc512_vc65536_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,unavailable_remote_case_artifact
2,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,cce_train,tunix_cce,control-fsdp4-tp1,qwen3_0p6b,qwen3_0p6b,16,512,b16/L512,320,262144,"fsdp=4,tp=1",4,1,128,8192,128/8192,64,32,2048,2048,True,3,10,0,failure,1,,,,,,,,,,gpu-a100-80gb-4/cce_train,exp0002_gpu-a100-80gb-4_cce_train_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,unavailable_remote_case_artifact
3,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,cce_train,tunix_cce,control-fsdp1-tp4,qwen3_0p6b,qwen3_0p6b,16,512,b16/L512,320,262144,"fsdp=1,tp=4",1,4,128,8192,128/8192,64,32,2048,2048,True,3,10,0,failure,1,,,,,,,,,,gpu-a100-80gb-4/cce_train,exp0003_gpu-a100-80gb-4_cce_train_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,CCE delegate failed in dstack run; detailed per-case artifact could not be retrieved because SSH artifact access was denied. See source_log_path.,unavailable_remote_case_artifact
4,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,chunked_matmul_loop,jax_microbench,bad,synthetic,,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,128,8192,128/8192,64,32,2048,,False,3,10,0,success,0,,,0.052492001399997434,0.052492001399997434,0.052492001399997434,156061.87193312848,,,,gpu-a100-80gb-4/chunked_matmul_loop,exp0004_gpu-a100-80gb-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
5,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,chunked_matmul_loop,jax_microbench,good,synthetic,,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,512,65536,512/65536,16,4,64,,False,3,10,0,success,0,,,0.01953531460000022,0.01953531460000022,0.01953531460000022,419343.1315408613,,,,gpu-a100-80gb-4/chunked_matmul_loop,exp0005_gpu-a100-80gb-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
6,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,chunked_matmul_loop,jax_microbench,control-fsdp4-tp1,synthetic,,16,512,b16/L512,320,262144,"fsdp=4,tp=1",4,1,128,8192,128/8192,64,32,2048,,False,3,10,0,success,0,,,0.05197344449999832,0.05197344449999832,0.05197344449999832,157618.95481066807,,,,gpu-a100-80gb-4/chunked_matmul_loop,exp0006_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
7,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,chunked_matmul_loop,jax_microbench,control-fsdp1-tp4,synthetic,,16,512,b16/L512,320,262144,"fsdp=1,tp=4",1,4,128,8192,128/8192,64,32,2048,,False,3,10,0,success,0,,,0.05143196330000137,0.05143196330000137,0.05143196330000137,159278.3839927764,,,,gpu-a100-80gb-4/chunked_matmul_loop,exp0007_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
8,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,collective_loop,jax_microbench,bad,synthetic,,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,128,8192,128/8192,64,32,2048,,False,3,10,0,success,0,,,0.13136096299999167,0.13136096299999167,0.13136096299999167,62362.51480586755,,,,gpu-a100-80gb-4/collective_loop,exp0008_gpu-a100-80gb-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
9,mesh-pathology-gpu-a100-80gb-4-spot2,pilot,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,dstack-gcp-a100-worker,,gpu-a100-80gb-4,gpu,A100-80GB,,4,collective_loop,jax_microbench,good,synthetic,,16,512,b16/L512,320,262144,"fsdp=2,tp=2",2,2,512,65536,512/65536,16,4,64,,False,3,10,0,success,0,,,0.036154212700006384,0.036154212700006384,0.036154212700006384,226584.93680872087,,,,gpu-a100-80gb-4/collective_loop,exp0009_gpu-a100-80gb-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,,
