accelerator_type,backend,case_name,cce_enabled,cce_loop_count,chunk_configuration,chunk_loop_count,compile_time_sec,device_count,error_message,experiment_id,failure_type,first_step_time_sec,fsdp_degree,global_batch_size,hardware_target,hidden_size,hostname,measured_steps,median_step_time_sec,mesh_configuration,model_name,model_size,p95_step_time_sec,preset,profiler_path,repeat_index,returncode,run_id,runtime_hbm_peak_gb,scenario_group,sequence_length,shape,signature_label,source,source_log_path,status,steady_state_mean_step_time_sec,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_family,workload_runner,xla_planned_hbm_gib_per_chip,operation_family,execution_stack,execution_mode,cce_profiler_experiment_id,cuda_version,dstack_gpu_spec,dstack_run_name,dstack_status,hardware_role,hostname_manifest,recovered_from_dstack_log,run_dir,seed,torch_cuda_device_count,torch_version,workload_description,xla_dir
A100-80GB,gpu,exp0004_gpu-a100-80gb-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,128/8192,2048,,4,,4,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.052492001399997434,"fsdp=2,tp=2",synthetic,,0.052492001399997434,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.052492001399997434,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,156061.87193312848,2,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,chunked_matmul_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0005_gpu-a100-80gb-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,512/65536,64,,4,,5,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.01953531460000022,"fsdp=2,tp=2",synthetic,,0.01953531460000022,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.01953531460000022,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,419343.1315408613,2,,,65536,4,262144,3,chunked_matmul_loop,jax_microbench,,chunked_matmul_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0006_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,False,,128/8192,2048,,4,,6,,,4,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.05197344449999832,"fsdp=4,tp=1",synthetic,,0.05197344449999832,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05197344449999832,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,157618.95481066807,1,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,chunked_matmul_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0007_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,False,,128/8192,2048,,4,,7,,,1,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.05143196330000137,"fsdp=1,tp=4",synthetic,,0.05143196330000137,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/chunked_matmul_loop,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05143196330000137,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,159278.3839927764,4,,,8192,32,262144,3,chunked_matmul_loop,jax_microbench,,chunked_matmul_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,0,nan,,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=2,tp=2",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,512,b16/L512,bad,nan,nan,success,0.18134850026108323,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,2,nan,nan,8192,32,262144,3,torch_eager_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,PyTorch eager,eager,0.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,nan,,512/65536,64,nan,4,nan,1,nan,,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=2,tp=2",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,512,b16/L512,good,nan,nan,success,0.036323516210541126,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,512,16,nan,2,nan,nan,65536,4,262144,3,torch_eager_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,PyTorch eager,eager,1.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,0.0,4,2.6.0+cu124,PyTorch eager chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla
A100-80GB,gpu,exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,2,nan,,4,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=4,tp=1",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,512,b16/L512,control-fsdp4-tp1,nan,nan,success,0.1844274393748492,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,1,nan,nan,8192,32,262144,3,torch_eager_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,PyTorch eager,eager,2.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,3,nan,,1,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=1,tp=4",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,512,b16/L512,control-fsdp1-tp4,nan,nan,success,0.1950188721064478,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,4,nan,nan,8192,32,262144,3,torch_eager_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,PyTorch eager,eager,3.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0012_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,Runner recorded status=failure before the dstack run was aborted; per-case runner.log was unavailable after abort.,12,runner_failure,nan,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,nan,"fsdp=2,tp=2",nan,nan,nan,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_compile_chunked_matmul_loop,512,b16/L512,bad,nan,nan,failure,nan,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,2,nan,nan,8192,32,262144,3,torch_compile_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,torch.compile,compile,0.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0012_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,0.0,4,2.6.0+cu124,torch.compile/Inductor chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0012_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0013_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,nan,,512/65536,64,nan,4,Runner recorded status=failure before the dstack run was aborted; per-case runner.log was unavailable after abort.,13,runner_failure,nan,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,nan,"fsdp=2,tp=2",nan,nan,nan,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_compile_chunked_matmul_loop,512,b16/L512,good,nan,nan,failure,nan,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,512,16,nan,2,nan,nan,65536,4,262144,3,torch_compile_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,torch.compile,compile,1.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0013_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,0.0,4,2.6.0+cu124,torch.compile/Inductor chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0013_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla
