accelerator_type,backend,case_name,cce_loop_count,cce_profiler_experiment_id,chunk_configuration,chunk_loop_count,device_count,dstack_gpu_spec,execution_mode,experiment_id,fsdp_degree,global_batch_size,hardware_role,hardware_target,hidden_size,hostname_manifest,measured_steps,mesh_configuration,operation_family,preset,profiler_path,repeat_index,run_dir,run_id,scenario_group,seed,sequence_length,shape,signature_label,timestamp_manifest,token_chunk,token_loop_count,tp_degree,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_description,workload_family,workload_runner,xla_dir,timestamp,hostname,dstack_run_name,dstack_status,torch_version,cuda_version,torch_cuda_device_count,recovered_from_dstack_log,status,steady_state_mean_step_time_sec,first_step_time_sec,median_step_time_sec,p95_step_time_sec,failure_type,error_message
A100-80GB,gpu,exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,0,128/8192,2048,4,A100:4:80GB,eager,0,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",chunked_matmul_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,bad,2026-06-16T02:03:15+00:00,128,64,2,8192,32,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.18134850026108323,,,,,
A100-80GB,gpu,exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,,1,512/65536,64,4,A100:4:80GB,eager,1,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",chunked_matmul_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,good,2026-06-16T02:03:15+00:00,512,16,2,65536,4,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.036323516210541126,,,,,
A100-80GB,gpu,exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,,2,128/8192,2048,4,A100:4:80GB,eager,2,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,control-fsdp4-tp1,2026-06-16T02:03:15+00:00,128,64,1,8192,32,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.1844274393748492,,,,,
A100-80GB,gpu,exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,,3,128/8192,2048,4,A100:4:80GB,eager,3,1,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=1,tp=4",chunked_matmul_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,control-fsdp1-tp4,2026-06-16T02:03:15+00:00,128,64,4,8192,32,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.1950188721064478,,,,,
A100-80GB,gpu,exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,0,128/8192,2048,4,A100:4:80GB,eager,4,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_collective_loop,0,512,b16/L512,bad,2026-06-16T02:03:15+00:00,128,64,2,8192,32,262144,3,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,torch_eager_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.3262595245614648,,,,,
A100-80GB,gpu,exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,,1,512/65536,64,4,A100:4:80GB,eager,5,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_collective_loop,0,512,b16/L512,good,2026-06-16T02:03:15+00:00,512,16,2,65536,4,262144,3,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,torch_eager_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.04927776278927922,,,,,
A100-80GB,gpu,exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,,2,128/8192,2048,4,A100:4:80GB,eager,6,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_collective_loop,0,512,b16/L512,control-fsdp4-tp1,2026-06-16T02:03:15+00:00,128,64,1,8192,32,262144,3,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,torch_eager_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.08464664183557033,,,,,
A100-80GB,gpu,exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,,3,128/8192,2048,4,A100:4:80GB,eager,7,1,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=1,tp=4",collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_collective_loop,0,512,b16/L512,control-fsdp1-tp4,2026-06-16T02:03:15+00:00,128,64,4,8192,32,262144,3,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,torch_eager_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.32996717100031675,,,,,
A100-80GB,gpu,exp0008_gpu-a100-80gb-4_torch_eager_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,0,128/8192,2048,4,A100:4:80GB,eager,8,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0008_gpu-a100-80gb-4_torch_eager_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,bad,2026-06-16T02:03:15+00:00,128,64,2,8192,32,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0008_gpu-a100-80gb-4_torch_eager_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.4022775367833674,,,,,
A100-80GB,gpu,exp0009_gpu-a100-80gb-4_torch_eager_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,,1,512/65536,64,4,A100:4:80GB,eager,9,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,pilot,,0,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0009_gpu-a100-80gb-4_torch_eager_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616T020315Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,good,2026-06-16T02:03:15+00:00,512,16,2,65536,4,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0009_gpu-a100-80gb-4_torch_eager_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,2026-06-16T02:05:58+00:00,Chansungs-MacBook-Pro-2.local,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,2.6.0+cu124,12.4,4,True,success,0.06177992401644587,,,,,
