accelerator_type,backend,case_name,cce_loop_count,cce_profiler_experiment_id,chunk_configuration,chunk_loop_count,device_count,dstack_gpu_spec,execution_mode,experiment_id,fsdp_degree,global_batch_size,hardware_role,hardware_target,hidden_size,hostname_manifest,measured_steps,mesh_configuration,operation_family,preset,profiler_path,repeat_index,run_dir,run_id,scenario_group,seed,sequence_length,shape,signature_label,timestamp_manifest,token_chunk,token_loop_count,tp_degree,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_description,workload_family,workload_runner,xla_dir,observed
A100-80GB,gpu,exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0,,-1,64/8192,4096,4,A100:4:80GB,eager,1,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc8192,2026-06-16T03:10:40+00:00,64,128,1,8192,32,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0/xla,False
A100-80GB,gpu,exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0,,-1,64/16384,2048,4,A100:4:80GB,eager,2,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc16384,2026-06-16T03:10:40+00:00,64,128,1,16384,16,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0/xla,False
A100-80GB,gpu,exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0,,-1,64/32768,1024,4,A100:4:80GB,eager,3,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc32768,2026-06-16T03:10:40+00:00,64,128,1,32768,8,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0/xla,False
A100-80GB,gpu,exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0,,-1,64/65536,512,4,A100:4:80GB,eager,4,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc65536,2026-06-16T03:10:40+00:00,64,128,1,65536,4,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0/xla,False
A100-80GB,gpu,exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0,,-1,64/131072,256,4,A100:4:80GB,eager,5,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc131072,2026-06-16T03:10:40+00:00,64,128,1,131072,2,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0/xla,False
A100-80GB,gpu,exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0,,-1,64/262144,128,4,A100:4:80GB,eager,6,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc64_vc262144,2026-06-16T03:10:40+00:00,64,128,1,262144,1,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0/xla,False
A100-80GB,gpu,exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0,,-1,128/4096,4096,4,A100:4:80GB,eager,7,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc128_vc4096,2026-06-16T03:10:40+00:00,128,64,1,4096,64,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0/xla,False
A100-80GB,gpu,exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0,,-1,128/16384,1024,4,A100:4:80GB,eager,9,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc128_vc16384,2026-06-16T03:10:40+00:00,128,64,1,16384,16,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0/xla,False
A100-80GB,gpu,exp0010_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc32768_fsdp4_tp1_tc128_vc32768_r0,,-1,128/32768,512,4,A100:4:80GB,eager,10,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0010_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc32768_fsdp4_tp1_tc128_vc32768_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc128_vc32768,2026-06-16T03:10:40+00:00,128,64,1,32768,8,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0010_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc32768_fsdp4_tp1_tc128_vc32768_r0/xla,False
A100-80GB,gpu,exp0011_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc65536_fsdp4_tp1_tc128_vc65536_r0,,-1,128/65536,256,4,A100:4:80GB,eager,11,4,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=4,tp=1",chunked_matmul_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0011_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc65536_fsdp4_tp1_tc128_vc65536_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop,0,512,b16/L512,b16_L512_fsdp4_tp1_tc128_vc65536,2026-06-16T03:10:40+00:00,128,64,1,65536,4,262144,3,PyTorch eager chunk-loop projection matmul without XLA.,torch_eager_chunked_matmul_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0011_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc65536_fsdp4_tp1_tc128_vc65536_r0/xla,False
