experiment_id,run_id,preset,timestamp_manifest,hostname_manifest,hardware_target,hardware_role,backend,accelerator_type,device_count,dstack_gpu_spec,workload_family,workload_runner,workload_description,operation_family,execution_mode,signature_label,fsdp_degree,tp_degree,global_batch_size,sequence_length,shape,hidden_size,vocab_size,token_chunk,vocab_chunk,chunk_configuration,token_loop_count,vocab_loop_count,chunk_loop_count,cce_loop_count,mesh_configuration,warmup_steps,measured_steps,seed,repeat_index,cce_profiler_experiment_id,case_name,run_dir,xla_dir,profiler_path,scenario_group
0,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc4096,4,1,16,512,b16/L512,320,262144,64,4096,64/4096,128,64,8192,,"fsdp=4,tp=1",3,10,0,0,-1,exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc4096_fsdp4_tp1_tc64_vc4096_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc4096_fsdp4_tp1_tc64_vc4096_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0000_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc4096_fsdp4_tp1_tc64_vc4096_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
1,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc8192,4,1,16,512,b16/L512,320,262144,64,8192,64/8192,128,32,4096,,"fsdp=4,tp=1",3,10,0,0,-1,exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0001_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc8192_fsdp4_tp1_tc64_vc8192_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
2,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc16384,4,1,16,512,b16/L512,320,262144,64,16384,64/16384,128,16,2048,,"fsdp=4,tp=1",3,10,0,0,-1,exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0002_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc16384_fsdp4_tp1_tc64_vc16384_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
3,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc32768,4,1,16,512,b16/L512,320,262144,64,32768,64/32768,128,8,1024,,"fsdp=4,tp=1",3,10,0,0,-1,exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0003_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc32768_fsdp4_tp1_tc64_vc32768_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
4,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc65536,4,1,16,512,b16/L512,320,262144,64,65536,64/65536,128,4,512,,"fsdp=4,tp=1",3,10,0,0,-1,exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0004_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc65536_fsdp4_tp1_tc64_vc65536_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
5,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc131072,4,1,16,512,b16/L512,320,262144,64,131072,64/131072,128,2,256,,"fsdp=4,tp=1",3,10,0,0,-1,exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0005_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc131072_fsdp4_tp1_tc64_vc131072_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
6,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc64_vc262144,4,1,16,512,b16/L512,320,262144,64,262144,64/262144,128,1,128,,"fsdp=4,tp=1",3,10,0,0,-1,exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0006_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc64_vc262144_fsdp4_tp1_tc64_vc262144_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
7,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc128_vc4096,4,1,16,512,b16/L512,320,262144,128,4096,128/4096,64,64,4096,,"fsdp=4,tp=1",3,10,0,0,-1,exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0007_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc4096_fsdp4_tp1_tc128_vc4096_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
8,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc128_vc8192,4,1,16,512,b16/L512,320,262144,128,8192,128/8192,64,32,2048,,"fsdp=4,tp=1",3,10,0,0,-1,exp0008_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc8192_fsdp4_tp1_tc128_vc8192_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0008_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc8192_fsdp4_tp1_tc128_vc8192_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0008_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc8192_fsdp4_tp1_tc128_vc8192_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
9,20260616T031040Z,dense-synthetic,2026-06-16T03:10:40+00:00,Chansungs-MacBook-Pro-2.local,gpu-a100-80gb-4,primary_gpu_baseline,gpu,A100-80GB,4,A100:4:80GB,torch_eager_chunked_matmul_loop,torch_microbench,PyTorch eager chunk-loop projection matmul without XLA.,chunked_matmul_loop,eager,b16_L512_fsdp4_tp1_tc128_vc16384,4,1,16,512,b16/L512,320,262144,128,16384,128/16384,64,16,1024,,"fsdp=4,tp=1",3,10,0,0,-1,exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0009_gpu-a100-80gb-4_torch_eager_chunked_matmul_loop_b16_L512_fsdp4_tp1_tc128_vc16384_fsdp4_tp1_tc128_vc16384_r0/xla,,gpu-a100-80gb-4/torch_eager_chunked_matmul_loop
