allow_download,backend,benchmark_wall_time_sec,capacity_tokens_per_sec,case_name,cce_enabled,cce_loop_count,chips,chunk_configuration,compile_time_estimate_method,compile_time_sec,dataset_mode,elapsed_sec,enable_gemma4_hf_loader,experiment_id,final_loss,first_step_time_sec,fsdp_degree,global_batch_size,google_tunix_version,hostname,hostname_manifest,jax_version,learning_rate,log_path,lora_alpha,lora_rank,loss_impl,max_inflight,max_steps,mean_loss,measured_step_count,measured_steps,measured_time_sec,median_step_time_sec,mesh_configuration,model_id,model_name,model_path,model_size,model_source,num_examples,p95_step_time_sec,preset,profiler_enabled,profiler_path,repeat_index,returncode,run_dir,run_id,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_hbm_peak_gb,seed,sequence_length,shape,status,steady_state_mean_step_time_sec,steps_recorded,summary_hostname,summary_mean_step_time_sec_excl_first,summary_tpu_name,summary_tpu_zone,summary_valid_tokens_per_sec_excl_first,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokenizer_path,tokenizer_source,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,tpu_worker_id_manifest,tunix_accel_version,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,xla_dir,xla_planned_hbm_gib_per_chip,xla_report_path,source_file,source,hardware_target,hardware_role,accelerator_type,device_count,workload_family,workload_runner,workload_description,signature_label,scenario_group,chunk_loop_count,generalized_token_loop_count,generalized_vocab_loop_count,cce_profiler_experiment_id,dstack_gpu_spec,hidden_size,jax_backend,jax_device_count,local_xla_report_path
False,tpu,291.14546234999943,533.2165941658011,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",21.699156274500638,synthetic,322.6076874400005,False,0,0.03398532792925835,37.06234685100026,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/profiler/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9456801374371235,10,10,153.6336282409984,15.363190576499619,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,15.369000516000597,profiler,True,/tmp/v5e-cce-full/profiler/profiler/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,0,0,/tmp/v5e-cce-full/profiler/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,20260609T182533Z,65.349801984,67.637338112,2.287536128,0,512,b16/L512,success,15.363362824099841,13,t1v-n-402a6d5e-w-0,15.37691575699993,,,116.66838970508955,2026-06-09T18:30:56+00:00,2026-06-09T18:25:33+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,117.00563350493701,2,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/profiler/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/xla,2.65,/tmp/v5e-cce-full/profiler/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/profiler/results/shard_0.jsonl,v5e_cce_full_matrix_profiler_20260609,tpu-v5e-4,tpu_baseline,v5litepod-4,4,cce_train,tunix_cce,Existing Tunix CCE training path.,bad,tpu-v5e-4/cce_train,2048,64,32,,,,,,
False,tpu,76.21874436999951,9960.820652537031,exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0,True,4,4,512/65536,"max(first_step_time - steady_median, 0)",34.08197677550015,synthetic,105.22925135900005,False,1,0.035890333354473114,34.90442163199987,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/profiler/runs/exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0/runner.log,32.0,16,cce,1,13,0.9266579274374706,10,10,8.224221964997923,0.8224448564997147,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.8228902259997994,profiler,True,/tmp/v5e-cce-full/profiler/profiler/exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0,0,0,/tmp/v5e-cce-full/profiler/runs/exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0,20260609T185001Z,65.34564864,67.637338112,2.291689472,0,512,b16/L512,success,0.8224221964997923,13,t1v-n-8132e94c-w-0,0.8358293395831424,,,2146.371172965442,2026-06-09T18:51:47+00:00,2026-06-09T18:50:01+00:00,512,1,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2185.738672485421,2,v5litepod-4,,,0.1.0,65536,4,262144,3,/tmp/v5e-cce-full/profiler/runs/exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0/xla,2.65,/tmp/v5e-cce-full/profiler/runs/exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/profiler/results/shard_1.jsonl,v5e_cce_full_matrix_profiler_20260609,tpu-v5e-4,tpu_baseline,v5litepod-4,4,cce_train,tunix_cce,Existing Tunix CCE training path.,good,tpu-v5e-4/cce_train,64,16,4,,,,,,
False,tpu,85.909089107,21427.443199567268,exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",32.89472655350073,synthetic,118.62383887400028,False,2,0.031300198286771774,33.27665138700013,4,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/profiler/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9415295571088791,10,10,3.823134623997248,0.3819248334993972,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.3873518870004773,profiler,True,/tmp/v5e-cce-full/profiler/profiler/exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0,0,0,/tmp/v5e-cce-full/profiler/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0,20260609T182533Z,65.461315584,67.637338112,2.176022528,0,512,b16/L512,success,0.3823134623997248,13,t1v-n-402a6d5e-w-0,0.3935530679997707,,,4558.470371271621,2026-06-09T18:32:54+00:00,2026-06-09T18:25:33+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,4701.900866155044,1,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/profiler/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0/xla,3.85,/tmp/v5e-cce-full/profiler/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc8192_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/profiler/results/shard_0.jsonl,v5e_cce_full_matrix_profiler_20260609,tpu-v5e-4,tpu_baseline,v5litepod-4,4,cce_train,tunix_cce,Existing Tunix CCE training path.,control-fsdp4-tp1,tpu-v5e-4/cce_train,2048,64,32,,,,,,
False,tpu,159.99116814799982,4169.100419326078,exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",40.380224176999945,synthetic,189.97989007500018,False,3,0.02761426568031311,42.34530585500033,1,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/profiler/runs/exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9186415027540463,10,10,19.649322818000655,1.965081678000388,"fsdp=1,tp=4",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,1.965556688000106,profiler,True,/tmp/v5e-cce-full/profiler/profiler/exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0,0,0,/tmp/v5e-cce-full/profiler/runs/exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0,20260609T185001Z,64.066400256,67.637338112,3.570937856,0,512,b16/L512,success,1.9649322818000656,13,t1v-n-8132e94c-w-0,5.173452154749991,,,346.77038587335613,2026-06-09T18:54:57+00:00,2026-06-09T18:50:01+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,914.8406877173531,4,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/profiler/runs/exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0/xla,1.64,/tmp/v5e-cce-full/profiler/runs/exp0003_fsdp1_tp4_b16_l512_tc128_vc8192_r0/xla/module_0949.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/profiler/results/shard_1.jsonl,v5e_cce_full_matrix_profiler_20260609,tpu-v5e-4,tpu_baseline,v5litepod-4,4,cce_train,tunix_cce,Existing Tunix CCE training path.,control-fsdp1-tp4,tpu-v5e-4/cce_train,2048,64,32,,,,,,
,tpu,,,exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,,,128/8192,"max(first_step_time - measured_median, 0)",0.8887165570000093,,14.140918649000014,,0,,0.924249978000006,2,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/runner.log,,,,,,,10,10,0.35530479200002674,0.03553342099999668,"fsdp=2,tp=2",,,,,,,0.035577161000020396,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616-tpu-synthetic,,16.909334528,0.175419392,0,512,b16/L512,success,0.03553047920000267,13,,,,,,2026-06-15T17:19:51+00:00,2026-06-15T17:19:42+00:00,128,64,,,230562.60946796866,2,v5litepod-4,,,,8192,32,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,chunked_matmul_loop,jax_microbench,Chunk-loop projection matmul without explicit collectives.,bad,tpu-v5e-4/chunked_matmul_loop,2048,,,0,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
,tpu,,,exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,,,,512/65536,"max(first_step_time - measured_median, 0)",1.2270138300000042,,14.585883491000004,,1,,1.2441596890000142,2,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/runner.log,,,,,,,10,10,0.17135616700002743,0.017145859000009978,"fsdp=2,tp=2",,,,,,,0.017201768999996148,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616-tpu-synthetic,,16.909334528,0.17564416,0,512,b16/L512,success,0.017135616700002743,13,,,,,,2026-06-15T17:20:05+00:00,2026-06-15T17:19:42+00:00,512,16,,,478068.58331504866,2,v5litepod-4,,,,65536,4,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,0.161884765625,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,chunked_matmul_loop,jax_microbench,Chunk-loop projection matmul without explicit collectives.,good,tpu-v5e-4/chunked_matmul_loop,64,,,1,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
,tpu,,,exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,,,,128/8192,"max(first_step_time - measured_median, 0)",0.8695122014999868,,14.828040920999996,,2,,0.9050490539999885,4,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/runner.log,,,,,,,10,10,0.3554441570000222,0.035536852500001714,"fsdp=4,tp=1",,,,,,,0.03560587800001258,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,20260616-tpu-synthetic,,16.909334528,0.175419392,0,512,b16/L512,success,0.03554441570000222,13,,,,,,2026-06-15T17:20:20+00:00,2026-06-15T17:19:42+00:00,128,64,,,230472.20888763937,1,v5litepod-4,,,,8192,32,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,chunked_matmul_loop,jax_microbench,Chunk-loop projection matmul without explicit collectives.,control-fsdp4-tp1,tpu-v5e-4/chunked_matmul_loop,2048,,,2,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
,tpu,,,exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,,,,128/8192,"max(first_step_time - measured_median, 0)",0.9054162289999965,,15.874908147999975,,3,,0.9409618119999834,1,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/runner.log,,,,,,,10,10,0.35545550799980674,0.03554558299998689,"fsdp=1,tp=4",,,,,,,0.035596006999981,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,20260616-tpu-synthetic,,16.909334528,0.175419392,0,512,b16/L512,success,0.035545550799980674,13,,,,,,2026-06-15T17:20:35+00:00,2026-06-15T17:19:42+00:00,128,64,,,230464.84906359797,4,v5litepod-4,,,,8192,32,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,chunked_matmul_loop,jax_microbench,Chunk-loop projection matmul without explicit collectives.,control-fsdp1-tp4,tpu-v5e-4/chunked_matmul_loop,2048,,,3,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
,tpu,,,exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,,,128/8192,"max(first_step_time - measured_median, 0)",0.11851215700002626,,11.822972194999977,,4,,0.11898956200002431,2,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/runner.log,,,,,,,10,10,0.0049694799999997485,0.0004774049999980434,"fsdp=2,tp=2",,,,,,,0.0005578699999659875,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616-tpu-synthetic,,16.909334528,0.002606592,0,512,b16/L512,success,0.0004969479999999748,13,,,,,,2026-06-15T17:20:47+00:00,2026-06-15T17:19:42+00:00,128,64,,,16484622.133503735,2,v5litepod-4,,,,8192,32,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,0.003955078125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,collective_loop,jax_microbench,Repeated same-shape TP all-reduce over chunk-sized tensors.,bad,tpu-v5e-4/collective_loop,2048,,,0,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
,tpu,,,exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,,,,512/65536,"max(first_step_time - measured_median, 0)",0.12780674250004154,,13.99958329399999,,5,,0.1326668720000157,2,16,,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,0.6.2,,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/runner.log,,,,,,,10,10,0.04849589600001991,0.004860129499974164,"fsdp=2,tp=2",,,,,,,0.00488773899996886,pilot,,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616-tpu-synthetic,,16.909334528,0.069052416,0,512,b16/L512,success,0.004849589600001991,13,,,,,,2026-06-15T17:21:01+00:00,2026-06-15T17:19:42+00:00,512,16,,,1689215.103891809,2,v5litepod-4,,,,65536,4,262144,3,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,0.125048828125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,,tpu_v5e_synthetic_microbench_20260616,tpu-v5e-4,tpu_baseline,v5litepod-4,4,collective_loop,jax_microbench,Repeated same-shape TP all-reduce over chunk-sized tensors.,good,tpu-v5e-4/collective_loop,64,,,1,,320,tpu,4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
