accelerator_type,backend,case_name,cce_loop_count,cce_profiler_experiment_id,chunk_configuration,chunk_loop_count,compile_time_estimate_method,compile_time_sec,device_count,dstack_gpu_spec,elapsed_sec,experiment_id,first_step_time_sec,fsdp_degree,global_batch_size,hardware_role,hardware_target,hidden_size,hostname,hostname_manifest,jax_backend,jax_device_count,jax_version,log_path,measured_step_count,measured_steps,measured_time_sec,median_step_time_sec,mesh_configuration,p95_step_time_sec,preset,profiler_path,repeat_index,returncode,run_dir,run_id,runtime_hbm_limit_gb,runtime_hbm_peak_gb,scenario_group,seed,sequence_length,shape,signature_label,status,steady_state_mean_step_time_sec,steps_recorded,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokens_per_sec,tp_degree,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_description,workload_family,workload_runner,xla_dir,xla_planned_hbm_gib_per_chip,xla_report_path,source,tpu_type,local_xla_report_path
v5litepod-4,tpu,exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,0,128/8192,2048,"max(first_step_time - measured_median, 0)",0.8887165570000093,4,,14.140918649000014,0,0.924249978000006,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/runner.log,10,10,0.35530479200002674,0.03553342099999668,"fsdp=2,tp=2",0.035577161000020396,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.175419392,tpu-v5e-4/chunked_matmul_loop,0,512,b16/L512,bad,success,0.03553047920000267,13,2026-06-15T17:19:51+00:00,2026-06-15T17:19:42+00:00,128,64,230562.60946796866,2,8192,32,262144,3,Chunk-loop projection matmul without explicit collectives.,chunked_matmul_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0000_tpu-v5e-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,,1,512/65536,64,"max(first_step_time - measured_median, 0)",1.2270138300000042,4,,14.585883491000004,1,1.2441596890000142,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/runner.log,10,10,0.17135616700002743,0.017145859000009978,"fsdp=2,tp=2",0.017201768999996148,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616-tpu-synthetic,16.909334528,0.17564416,tpu-v5e-4/chunked_matmul_loop,0,512,b16/L512,good,success,0.017135616700002743,13,2026-06-15T17:20:05+00:00,2026-06-15T17:19:42+00:00,512,16,478068.58331504866,2,65536,4,262144,3,Chunk-loop projection matmul without explicit collectives.,chunked_matmul_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,0.161884765625,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0001_tpu-v5e-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,,2,128/8192,2048,"max(first_step_time - measured_median, 0)",0.8695122014999868,4,,14.828040920999996,2,0.9050490539999885,4,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/runner.log,10,10,0.3554441570000222,0.035536852500001714,"fsdp=4,tp=1",0.03560587800001258,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.175419392,tpu-v5e-4/chunked_matmul_loop,0,512,b16/L512,control-fsdp4-tp1,success,0.03554441570000222,13,2026-06-15T17:20:20+00:00,2026-06-15T17:19:42+00:00,128,64,230472.20888763937,1,8192,32,262144,3,Chunk-loop projection matmul without explicit collectives.,chunked_matmul_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0002_tpu-v5e-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,,3,128/8192,2048,"max(first_step_time - measured_median, 0)",0.9054162289999965,4,,15.874908147999975,3,0.9409618119999834,1,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/runner.log,10,10,0.35545550799980674,0.03554558299998689,"fsdp=1,tp=4",0.035596006999981,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.175419392,tpu-v5e-4/chunked_matmul_loop,0,512,b16/L512,control-fsdp1-tp4,success,0.035545550799980674,13,2026-06-15T17:20:35+00:00,2026-06-15T17:19:42+00:00,128,64,230464.84906359797,4,8192,32,262144,3,Chunk-loop projection matmul without explicit collectives.,chunked_matmul_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla,0.161376953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0003_tpu-v5e-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,,0,128/8192,2048,"max(first_step_time - measured_median, 0)",0.11851215700002626,4,,11.822972194999977,4,0.11898956200002431,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/runner.log,10,10,0.0049694799999997485,0.0004774049999980434,"fsdp=2,tp=2",0.0005578699999659875,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.002606592,tpu-v5e-4/collective_loop,0,512,b16/L512,bad,success,0.0004969479999999748,13,2026-06-15T17:20:47+00:00,2026-06-15T17:19:42+00:00,128,64,16484622.133503735,2,8192,32,262144,3,Repeated same-shape TP all-reduce over chunk-sized tensors.,collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,0.003955078125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0004_tpu-v5e-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,,1,512/65536,64,"max(first_step_time - measured_median, 0)",0.12780674250004154,4,,13.99958329399999,5,0.1326668720000157,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/runner.log,10,10,0.04849589600001991,0.004860129499974164,"fsdp=2,tp=2",0.00488773899996886,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616-tpu-synthetic,16.909334528,0.069052416,tpu-v5e-4/collective_loop,0,512,b16/L512,good,success,0.004849589600001991,13,2026-06-15T17:21:01+00:00,2026-06-15T17:19:42+00:00,512,16,1689215.103891809,2,65536,4,262144,3,Repeated same-shape TP all-reduce over chunk-sized tensors.,collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,0.125048828125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0005_tpu-v5e-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,,2,128/8192,2048,"max(first_step_time - measured_median, 0)",0.10429159299997082,4,,12.054285525000012,6,0.10470944299999019,4,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/runner.log,10,10,0.0043832690001295305,0.0004178500000193708,"fsdp=4,tp=1",0.0005194400000050337,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.002569728,tpu-v5e-4/collective_loop,0,512,b16/L512,control-fsdp4-tp1,success,0.00043832690001295306,13,2026-06-15T17:21:13+00:00,2026-06-15T17:19:42+00:00,128,64,18689247.681942217,1,8192,32,262144,3,Repeated same-shape TP all-reduce over chunk-sized tensors.,collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla,0.002001953125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0006_tpu-v5e-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,,3,128/8192,2048,"max(first_step_time - measured_median, 0)",0.11715981199998282,4,,12.285681773000022,7,0.11761547200001132,1,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/runner.log,10,10,0.0045482830001901675,0.0004556600000285016,"fsdp=1,tp=4",0.0004772909999815056,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.002628608,tpu-v5e-4/collective_loop,0,512,b16/L512,control-fsdp1-tp4,success,0.00045482830001901674,13,2026-06-15T17:21:25+00:00,2026-06-15T17:19:42+00:00,128,64,18011192.354691837,4,8192,32,262144,3,Repeated same-shape TP all-reduce over chunk-sized tensors.,collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla,0.003955078125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0007_tpu-v5e-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla/module_0017.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,2048,0,128/8192,2048,"max(first_step_time - measured_median, 0)",0.8716317085000185,4,,17.28396036800001,8,1.0121150040000089,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/runner.log,10,10,1.4049118989999556,0.1404832954999904,"fsdp=2,tp=2",0.14055835099998149,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,20260616-tpu-synthetic,16.909334528,0.175555584,tpu-v5e-4/projection_collective_loop,0,512,b16/L512,bad,success,0.14049118989999557,13,2026-06-15T17:21:42+00:00,2026-06-15T17:19:42+00:00,128,64,58309.7061519034,2,8192,32,262144,3,Chunk-loop projection matmul plus TP all-reduce.,projection_collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla,0.165205078125,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0008_tpu-v5e-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
v5litepod-4,tpu,exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,64,1,512/65536,64,"max(first_step_time - measured_median, 0)",0.6460808215000498,4,,17.051428433000012,9,0.7705277290000367,2,16,tpu_baseline,tpu-v5e-4,320,t1v-n-1e78ab0c-w-0,t1v-n-1e78ab0c-w-0,tpu,4,0.6.2,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/runner.log,10,10,1.2445341209999015,0.12444690749998699,"fsdp=2,tp=2",0.1245094619999918,pilot,,0,0,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,20260616-tpu-synthetic,16.909334528,0.175801856,tpu-v5e-4/projection_collective_loop,0,512,b16/L512,good,success,0.12445341209999014,13,2026-06-15T17:21:59+00:00,2026-06-15T17:19:42+00:00,512,16,65823.8280636152,2,65536,4,262144,3,Chunk-loop projection matmul plus TP all-reduce.,projection_collective_loop,jax_microbench,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla,0.286572265625,/tmp/mesh-pathology-tpu-v5e-4-synthetic/runs/exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt,tpu_v5e_synthetic_microbench_20260616,v5litepod-4,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_tpu_v5e_synthetic/extracted/runs/exp0009_tpu-v5e-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla/module_0034.jit_step.cl_769337304.after_optimizations-memory-usage-report.txt
