allow_download,backend,benchmark_wall_time_sec,capacity_tokens_per_sec,case_name,cce_enabled,cce_loop_count,chips,chunk_configuration,compile_time_estimate_method,compile_time_sec,dataset_mode,elapsed_sec,enable_gemma4_hf_loader,experiment_id,final_loss,first_step_time_sec,fsdp_degree,global_batch_size,google_tunix_version,hostname,hostname_manifest,jax_version,learning_rate,log_path,lora_alpha,lora_rank,loss_impl,max_inflight,max_steps,mean_loss,measured_step_count,measured_steps,measured_time_sec,median_step_time_sec,mesh_configuration,model_id,model_name,model_path,model_size,model_source,num_examples,p95_step_time_sec,preset,profiler_enabled,profiler_path,repeat_index,returncode,run_dir,run_id,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_hbm_peak_gb,seed,sequence_length,shape,status,steady_state_mean_step_time_sec,steps_recorded,summary_hostname,summary_mean_step_time_sec_excl_first,summary_tpu_name,summary_tpu_zone,summary_valid_tokens_per_sec_excl_first,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokenizer_path,tokenizer_source,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,tpu_worker_id_manifest,tunix_accel_version,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,xla_dir,xla_planned_hbm_gib_per_chip,xla_report_path,source_file
False,tpu-v5e,247.36293601299985,533.321710076233,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",18.011746098499998,synthetic,276.19763584099974,False,0,0.03398532792925835,33.37174116599999,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9456801374371235,10,10,153.60334757100054,15.359995067499995,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,15.363445457000125,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,20260609T180033Z,65.349801984,67.637338112,2.287536128,0,512,b16/L512,success,15.360334757100054,13,t1v-n-402a6d5e-w-0,15.367574050666766,,,116.73931058247689,2026-06-09T18:05:10+00:00,2026-06-09T18:00:33+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,117.0286994669234,2,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_0.jsonl
False,tpu-v5e,74.67982504999964,3737.6852143031606,exp0001_fsdp2_tp2_b16_l512_tc256_vc32768_r0,True,16,4,256/32768,"max(first_step_time - steady_median, 0)",29.66552120300048,synthetic,100.62847495599999,False,1,0.032963283360004425,31.857343544000287,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0001_fsdp2_tp2_b16_l512_tc256_vc32768_r0/runner.log,32.0,16,cce,1,13,0.9245075540473828,10,10,21.917308521999985,2.1918223409998063,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,2.192214886000329,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0001_fsdp2_tp2_b16_l512_tc256_vc32768_r0,20260609T181612Z,65.346881536,67.637338112,2.290456576,0,512,b16/L512,success,2.1917308521999983,13,t1v-n-8132e94c-w-0,2.1990691149167105,,,815.7997344562531,2026-06-09T18:17:53+00:00,2026-06-09T18:16:12+00:00,256,2,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,820.1736988807814,2,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0001_fsdp2_tp2_b16_l512_tc256_vc32768_r0/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0001_fsdp2_tp2_b16_l512_tc256_vc32768_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_1.jsonl
False,tpu-v5e,56.485406249000334,9996.06281784106,exp0002_fsdp2_tp2_b16_l512_tc512_vc65536_r0,True,4,4,512/65536,"max(first_step_time - steady_median, 0)",30.79997785100022,synthetic,86.00960801600013,False,2,0.035890333354473114,31.619559735000166,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0002_fsdp2_tp2_b16_l512_tc512_vc65536_r0/runner.log,32.0,16,cce,1,13,0.9266579274374706,10,10,8.195226609999736,0.8195818839999447,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.8201787789998889,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0002_fsdp2_tp2_b16_l512_tc512_vc65536_r0,20260609T180033Z,65.34564864,67.637338112,2.291689472,0,512,b16/L512,success,0.8195226609999736,13,t1v-n-402a6d5e-w-0,0.8268231482500141,,,2169.7505733808166,2026-06-09T18:06:36+00:00,2026-06-09T18:00:33+00:00,512,1,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2193.4719874696157,2,v5litepod-4,,,0.1.0,65536,4,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0002_fsdp2_tp2_b16_l512_tc512_vc65536_r0/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0002_fsdp2_tp2_b16_l512_tc512_vc65536_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_0.jsonl
False,tpu-v5e,448.59912190199975,533.0213733213315,exp0003_fsdp2_tp2_b16_l1024_tc128_vc8192_r0,True,256,4,128/8192,"max(first_step_time - steady_median, 0)",2.1385816084998623,synthetic,477.2509766109997,False,3,0.04481125995516777,32.876489129999754,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0003_fsdp2_tp2_b16_l1024_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9500462590501859,10,10,307.37979413300036,30.737907521499892,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,30.740056261000063,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0003_fsdp2_tp2_b16_l1024_tc128_vc8192_r0,20260609T181612Z,65.144270848,67.637338112,2.493067264,0,1024,b16/L1024,success,30.737979413300035,13,t1v-n-8132e94c-w-0,30.745435724833367,,,58.35012442354069,2026-06-09T18:25:50+00:00,2026-06-09T18:16:12+00:00,128,8,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,58.48139774673007,2,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0003_fsdp2_tp2_b16_l1024_tc128_vc8192_r0/xla,5.13,/tmp/v5e-cce-full/bad-row/runs/exp0003_fsdp2_tp2_b16_l1024_tc128_vc8192_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_1.jsonl
False,tpu-v5e,104.37333100200021,3726.472574459756,exp0004_fsdp2_tp2_b16_l1024_tc256_vc32768_r0,True,32,4,256/32768,"max(first_step_time - steady_median, 0)",28.910742504999916,synthetic,135.16957924599956,False,4,0.028817730024456978,33.307338357999924,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0004_fsdp2_tp2_b16_l1024_tc256_vc32768_r0/runner.log,32.0,16,cce,1,13,0.9285185507570322,10,10,43.96651168800099,4.396595853000008,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,4.399978193000152,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0004_fsdp2_tp2_b16_l1024_tc256_vc32768_r0,20260609T180033Z,65.13949696,67.637338112,2.497841152,0,1024,b16/L1024,success,4.3966511688000995,13,t1v-n-402a6d5e-w-0,4.4038314111667205,,,407.3725427933015,2026-06-09T18:08:51+00:00,2026-06-09T18:00:33+00:00,256,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,408.85663451225935,2,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0004_fsdp2_tp2_b16_l1024_tc256_vc32768_r0/xla,5.13,/tmp/v5e-cce-full/bad-row/runs/exp0004_fsdp2_tp2_b16_l1024_tc256_vc32768_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_0.jsonl
False,tpu-v5e,68.70631657000013,9909.924324719106,exp0005_fsdp2_tp2_b16_l1024_tc512_vc65536_r0,True,8,4,512/65536,"max(first_step_time - steady_median, 0)",31.34050290649884,synthetic,96.69038991799971,False,5,0.039014313369989395,32.993806246999156,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0005_fsdp2_tp2_b16_l1024_tc512_vc65536_r0/runner.log,32.0,16,cce,1,13,0.9213614999674834,10,10,16.53292140600115,1.6533033405003152,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,1.653789900999982,bad-row,False,,0,0,/tmp/v5e-cce-full/bad-row/runs/exp0005_fsdp2_tp2_b16_l1024_tc512_vc65536_r0,20260609T181612Z,65.138530304,67.637338112,2.498807808,0,1024,b16/L1024,success,1.653292140600115,13,t1v-n-8132e94c-w-0,1.6606432141667635,,,1080.3042969709475,2026-06-09T18:27:27+00:00,2026-06-09T18:16:12+00:00,512,2,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,1087.2851541818277,2,v5litepod-4,,,0.1.0,65536,4,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0005_fsdp2_tp2_b16_l1024_tc512_vc65536_r0/xla,5.13,/tmp/v5e-cce-full/bad-row/runs/exp0005_fsdp2_tp2_b16_l1024_tc512_vc65536_r0/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_1.jsonl
False,tpu-v5e,246.27487970699985,533.323046222733,exp0006_fsdp2_tp2_b16_l512_tc128_vc8192_r1,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",17.93930135849996,synthetic,275.61320509899997,False,6,0.019372206181287766,33.29981621299976,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0006_fsdp2_tp2_b16_l512_tc128_vc8192_r1/runner.log,32.0,16,cce,1,13,0.8581151247311097,10,10,153.60296274499933,15.360514854499797,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,15.365370384000016,bad-row,False,,1,0,/tmp/v5e-cce-full/bad-row/runs/exp0006_fsdp2_tp2_b16_l512_tc128_vc8192_r1,20260609T180033Z,65.349801984,67.637338112,2.287536128,1,512,b16/L512,success,15.360296274499934,13,t1v-n-402a6d5e-w-0,15.367626118583303,,,116.73891505146689,2026-06-09T18:13:27+00:00,2026-06-09T18:00:33+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,117.02899266235164,2,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0006_fsdp2_tp2_b16_l512_tc128_vc8192_r1/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0006_fsdp2_tp2_b16_l512_tc128_vc8192_r1/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_0.jsonl
False,tpu-v5e,74.7700575050003,3737.6746278133783,exp0007_fsdp2_tp2_b16_l512_tc256_vc32768_r1,True,16,4,256/32768,"max(first_step_time - steady_median, 0)",29.773642174000543,synthetic,101.81397390899929,False,7,0.02358723245561123,31.9654830770005,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0007_fsdp2_tp2_b16_l512_tc256_vc32768_r1/runner.log,32.0,16,cce,1,13,0.8817059083913381,10,10,21.91737059999923,2.1918409029999566,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,2.1921183309996195,bad-row,False,,1,0,/tmp/v5e-cce-full/bad-row/runs/exp0007_fsdp2_tp2_b16_l512_tc256_vc32768_r1,20260609T181612Z,65.346881536,67.637338112,2.290456576,1,512,b16/L512,success,2.191737059999923,13,t1v-n-8132e94c-w-0,2.199045754166567,,,815.8084008033393,2026-06-09T18:29:09+00:00,2026-06-09T18:16:12+00:00,256,2,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,820.1713758492832,2,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0007_fsdp2_tp2_b16_l512_tc256_vc32768_r1/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0007_fsdp2_tp2_b16_l512_tc256_vc32768_r1/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_1.jsonl
False,tpu-v5e,56.39728494600013,9996.013729561742,exp0008_fsdp2_tp2_b16_l512_tc512_vc65536_r1,True,4,4,512/65536,"max(first_step_time - steady_median, 0)",30.731499403500493,synthetic,86.75665354900002,False,8,0.017131203785538673,31.55111100000022,2,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0008_fsdp2_tp2_b16_l512_tc512_vc65536_r1/runner.log,32.0,16,cce,1,13,0.8765965917935739,10,10,8.195266854999772,0.8196115964997261,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.8198492910000823,bad-row,False,,1,0,/tmp/v5e-cce-full/bad-row/runs/exp0008_fsdp2_tp2_b16_l512_tc512_vc65536_r1,20260609T180033Z,65.34564864,67.637338112,2.291689472,1,512,b16/L512,success,0.8195266854999772,13,t1v-n-402a6d5e-w-0,0.826668939000001,,,2170.155325020622,2026-06-09T18:14:54+00:00,2026-06-09T18:00:33+00:00,512,1,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2193.4612158520736,2,v5litepod-4,,,0.1.0,65536,4,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0008_fsdp2_tp2_b16_l512_tc512_vc65536_r1/xla,2.65,/tmp/v5e-cce-full/bad-row/runs/exp0008_fsdp2_tp2_b16_l512_tc512_vc65536_r1/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_0.jsonl
False,tpu-v5e,446.42397928899936,533.0265905536476,exp0009_fsdp2_tp2_b16_l1024_tc128_vc8192_r1,True,256,4,128/8192,"max(first_step_time - steady_median, 0)",2.6062794014997053,synthetic,474.5355766880002,False,9,0.020330442115664482,33.34382683700005,2,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/bad-row/runs/exp0009_fsdp2_tp2_b16_l1024_tc128_vc8192_r1/runner.log,32.0,16,cce,1,13,0.8637178018689156,10,10,307.37678551800127,30.737547435500346,"fsdp=2,tp=2",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,30.73974330999954,bad-row,False,,1,0,/tmp/v5e-cce-full/bad-row/runs/exp0009_fsdp2_tp2_b16_l1024_tc128_vc8192_r1,20260609T181612Z,65.144270848,67.637338112,2.493067264,1,1024,b16/L1024,success,30.737678551800126,13,t1v-n-8132e94c-w-0,30.745062851000057,,,58.35083208950558,2026-06-09T18:37:03+00:00,2026-06-09T18:16:12+00:00,128,8,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,58.48197016474834,2,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/bad-row/runs/exp0009_fsdp2_tp2_b16_l1024_tc128_vc8192_r1/xla,5.13,/tmp/v5e-cce-full/bad-row/runs/exp0009_fsdp2_tp2_b16_l1024_tc128_vc8192_r1/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/bad-row/results/shard_1.jsonl
