allow_download,backend,benchmark_wall_time_sec,capacity_tokens_per_sec,case_name,cce_enabled,cce_loop_count,chips,chunk_configuration,compile_time_estimate_method,compile_time_sec,dataset_mode,elapsed_sec,enable_gemma4_hf_loader,experiment_id,final_loss,first_step_time_sec,fsdp_degree,global_batch_size,google_tunix_version,hostname,hostname_manifest,jax_version,learning_rate,log_path,lora_alpha,lora_rank,loss_impl,max_inflight,max_steps,mean_loss,measured_step_count,measured_steps,measured_time_sec,median_step_time_sec,mesh_configuration,model_id,model_name,model_path,model_size,model_source,num_examples,p95_step_time_sec,preset,profiler_enabled,profiler_path,repeat_index,returncode,run_dir,run_id,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_hbm_peak_gb,seed,sequence_length,shape,status,steady_state_mean_step_time_sec,steps_recorded,summary_hostname,summary_mean_step_time_sec_excl_first,summary_tpu_name,summary_tpu_zone,summary_valid_tokens_per_sec_excl_first,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokenizer_path,tokenizer_source,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,tpu_worker_id_manifest,tunix_accel_version,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,xla_dir,xla_planned_hbm_gib_per_chip,xla_report_path,source_file,error_message,failure_type,oom_exceeded_gib,oom_limit_gib,oom_used_gib
False,tpu-v5e,47.90116711100001,40561.72059186506,exp0000_fsdp4_tp1_b16_l512_default_ce_r0,False,,4,default_ce,"max(first_step_time - steady_median, 0)",28.953426468000004,synthetic,71.05603285000001,False,0,0.025771303102374077,29.15554920699998,4,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0000_fsdp4_tp1_b16_l512_default_ce_r0/runner.log,32.0,16,default_ce,1,13,0.9195666576807315,10,10,2.019638190999956,0.20212273899997513,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.20261238400001957,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0000_fsdp4_tp1_b16_l512_default_ce_r0,20260609T171229Z,65.432844288,67.637338112,2.204493824,0,512,b16/L512,success,0.20196381909999558,13,t1v-n-402a6d5e-w-0,0.20772843091666005,,,8636.275699399794,2026-06-09T17:13:40+00:00,2026-06-09T17:12:29+00:00,,,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,8900.604118156327,1,v5litepod-4,,,0.1.0,,,262144,3,/tmp/v5e-cce-full/core/runs/exp0000_fsdp4_tp1_b16_l512_default_ce_r0/xla,11.29,/tmp/v5e-cce-full/core/runs/exp0000_fsdp4_tp1_b16_l512_default_ce_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_0.jsonl,,,,,
False,tpu-v5e,50.00335988899997,21640.04255363234,exp0001_fsdp4_tp1_b16_l512_tc128_vc8192_r0,True,128,4,128/8192,"max(first_step_time - steady_median, 0)",29.13161600099997,synthetic,73.10494588899996,False,1,0.031300198286771774,29.51027203199999,4,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0001_fsdp4_tp1_b16_l512_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.9415295571088791,10,10,3.7855748110000604,0.37865603100001977,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.3789759659999845,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0001_fsdp4_tp1_b16_l512_tc128_vc8192_r0,20260609T171229Z,65.461315584,67.637338112,2.176022528,0,512,b16/L512,success,0.37855748110000603,13,t1v-n-8132e94c-w-0,0.3843928314166713,,,4667.100563213556,2026-06-09T17:13:42+00:00,2026-06-09T17:12:29+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,4748.5523064464705,1,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/core/runs/exp0001_fsdp4_tp1_b16_l512_tc128_vc8192_r0/xla,3.85,/tmp/v5e-cce-full/core/runs/exp0001_fsdp4_tp1_b16_l512_tc128_vc8192_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_1.jsonl,,,,,
False,tpu-v5e,47.43401415699998,23284.306148053718,exp0002_fsdp4_tp1_b16_l512_tc128_vc32768_r0,True,32,4,128/32768,"max(first_step_time - steady_median, 0)",29.092556425000026,synthetic,69.19047926599995,False,2,0.025374963879585266,29.444390136000038,4,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc32768_r0/runner.log,32.0,16,cce,1,13,0.935454454846107,10,10,3.5182495659999518,0.3518337110000118,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.35220809600002667,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc32768_r0,20260609T171229Z,65.460109312,67.637338112,2.1772288,0,512,b16/L512,success,0.3518249565999952,13,t1v-n-402a6d5e-w-0,0.35755277074999964,,,5017.441191231495,2026-06-09T17:14:49+00:00,2026-06-09T17:12:29+00:00,128,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,5109.358976042647,1,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/core/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc32768_r0/xla,3.86,/tmp/v5e-cce-full/core/runs/exp0002_fsdp4_tp1_b16_l512_tc128_vc32768_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_0.jsonl,,,,,
False,tpu-v5e,47.919192909,23781.450950738435,exp0003_fsdp4_tp1_b16_l512_tc256_vc32768_r0,True,16,4,256/32768,"max(first_step_time - steady_median, 0)",29.33543218699998,synthetic,69.15060512600002,False,3,0.03837499022483826,29.679277684,4,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0003_fsdp4_tp1_b16_l512_tc256_vc32768_r0/runner.log,32.0,16,cce,1,13,0.9483257790024464,10,10,3.444701510000016,0.343845497000018,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.34951268200001095,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0003_fsdp4_tp1_b16_l512_tc256_vc32768_r0,20260609T171229Z,65.459296256,67.637338112,2.178041856,0,512,b16/L512,success,0.34447015100000156,13,t1v-n-8132e94c-w-0,0.3501893978333375,,,5122.942073916818,2026-06-09T17:14:52+00:00,2026-06-09T17:12:29+00:00,256,2,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,5218.449246709889,1,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/core/runs/exp0003_fsdp4_tp1_b16_l512_tc256_vc32768_r0/xla,3.86,/tmp/v5e-cce-full/core/runs/exp0003_fsdp4_tp1_b16_l512_tc256_vc32768_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_1.jsonl,,,,,
False,tpu-v5e,48.58511388800002,24597.577669105583,exp0004_fsdp4_tp1_b16_l512_tc512_vc32768_r0,True,8,4,512/32768,"max(first_step_time - steady_median, 0)",29.326281254000037,synthetic,70.90229677299999,False,4,0.03762257099151611,29.659497319000025,4,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0004_fsdp4_tp1_b16_l512_tc512_vc32768_r0/runner.log,32.0,16,cce,1,13,0.9472946559007351,10,10,3.3304092419999165,0.3332160649999878,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.33352193599995417,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0004_fsdp4_tp1_b16_l512_tc512_vc32768_r0,20260609T171229Z,65.457045504,67.637338112,2.180292608,0,512,b16/L512,success,0.33304092419999165,13,t1v-n-402a6d5e-w-0,0.3389798152499945,,,5292.3505155519115,2026-06-09T17:16:00+00:00,2026-06-09T17:12:29+00:00,512,1,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,5397.534865476587,1,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/core/runs/exp0004_fsdp4_tp1_b16_l512_tc512_vc32768_r0/xla,3.86,/tmp/v5e-cce-full/core/runs/exp0004_fsdp4_tp1_b16_l512_tc512_vc32768_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_0.jsonl,,,,,
False,tpu-v5e,47.398038231999976,23194.381357271726,exp0005_fsdp4_tp1_b16_l512_tc512_vc65536_r0,True,4,4,512/65536,"max(first_step_time - steady_median, 0)",28.609059107500002,synthetic,68.47913166899997,False,5,0.03739805519580841,28.962449994999986,4,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0005_fsdp4_tp1_b16_l512_tc512_vc65536_r0/runner.log,32.0,16,cce,1,13,0.954117126762867,10,10,3.5318898460000128,0.3533908874999838,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.3540989680000166,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0005_fsdp4_tp1_b16_l512_tc512_vc65536_r0,20260609T171229Z,65.458352128,67.637338112,2.178985984,0,512,b16/L512,success,0.35318898460000125,13,t1v-n-8132e94c-w-0,0.3588822955833327,,,4998.853446041425,2026-06-09T17:16:00+00:00,2026-06-09T17:12:29+00:00,512,1,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,5089.626456034137,1,v5litepod-4,,,0.1.0,65536,4,262144,3,/tmp/v5e-cce-full/core/runs/exp0005_fsdp4_tp1_b16_l512_tc512_vc65536_r0/xla,3.86,/tmp/v5e-cce-full/core/runs/exp0005_fsdp4_tp1_b16_l512_tc512_vc65536_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_1.jsonl,,,,,
False,tpu-v5e,,,exp0006_fsdp4_tp1_b16_l1024_default_ce_r0,False,,4,default_ce,,,synthetic,60.002064527000016,False,6,,,4,16,,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,,0.0002,/tmp/v5e-cce-full/core/runs/exp0006_fsdp4_tp1_b16_l1024_default_ce_r0/runner.log,32.0,16,default_ce,1,13,,0,10,,,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,,core,False,,0,1,/tmp/v5e-cce-full/core/runs/exp0006_fsdp4_tp1_b16_l1024_default_ce_r0,20260609T171229Z,,,,0,1024,b16/L1024,failure,,0,,,,,,2026-06-09T17:17:00+00:00,2026-06-09T17:12:29+00:00,,,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,,1,v5litepod-4,,,,,,262144,3,/tmp/v5e-cce-full/core/runs/exp0006_fsdp4_tp1_b16_l1024_default_ce_r0/xla,21.06,/tmp/v5e-cce-full/core/runs/exp0006_fsdp4_tp1_b16_l1024_default_ce_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_0.jsonl,"XLA label: copy-start.15 = copy-start(fusion.254)
Allocation type: HLO temp
==========================
19. Size: 64.00M
Operator: op_name=""jit(_train_step)/jvp(layer_3)/feed_forward/dot_general""
Shape: bf16[16,1024,2048]{2,1,0:T(8,128)(2,1)}
Unpadded size: 64.00M
XLA label: fusion.253 = fusion(get-tuple-element.2018, get-tuple-element.2019, copy-done.1221), kind=kOutput, calls=fused_computation.397
Allocation type: HLO temp
==========================
20. Size: 64.00M
Operator: op_name=""jit(_train_step)/jvp(layer_10)/feed_forward/dot_general""
Shape: bf16[16,1024,2048]{2,1,0:T(8,128)(2,1)}
Unpadded size: 64.00M
XLA label: fusion.239 = fusion(get-tuple-element.1969, get-tuple-element.1970, copy-done.1235), kind=kOutput, calls=fused_computation.369
Allocation type: HLO temp
==========================
See https://openxla.org/xla/errors/error_1000 for more details. [type.googleapis.com/tensorflow.tpu.CompilationResultProto='\x08\x08\x12\xa1\x36Ran out of memory in memory space hbm. Used 20.79G of 15.75G hbm. Exceeded hbm capacity by 5.04G.\n\nTotal hbm usage >= 21.04...[truncated]']
--------------------
For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FILTERING=off to include these.",compile_oom,5.04,15.75,20.79
False,tpu-v5e,53.08598860900008,20492.290007586187,exp0007_fsdp4_tp1_b16_l1024_tc128_vc8192_r0,True,256,4,128/8192,"max(first_step_time - steady_median, 0)",28.449390199499987,synthetic,74.37610023799994,False,7,0.03410521149635315,29.24797669299994,4,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0007_fsdp4_tp1_b16_l1024_tc128_vc8192_r0/runner.log,32.0,16,cce,1,13,0.916504384806523,10,10,7.995202094999968,0.798586493499954,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.8040944829999717,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0007_fsdp4_tp1_b16_l1024_tc128_vc8192_r0,20260609T171229Z,65.291022336,67.637338112,2.346315776,0,1024,b16/L1024,success,0.7995202094999968,13,t1v-n-8132e94c-w-0,0.8045944595,,,2229.694697518608,2026-06-09T17:17:15+00:00,2026-06-09T17:12:29+00:00,128,8,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2248.348420265926,1,v5litepod-4,,,0.1.0,8192,32,262144,3,/tmp/v5e-cce-full/core/runs/exp0007_fsdp4_tp1_b16_l1024_tc128_vc8192_r0/xla,7.49,/tmp/v5e-cce-full/core/runs/exp0007_fsdp4_tp1_b16_l1024_tc128_vc8192_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_1.jsonl,,,,,
False,tpu-v5e,51.95495717199992,22126.6760251438,exp0008_fsdp4_tp1_b16_l1024_tc128_vc32768_r0,True,64,4,128/32768,"max(first_step_time - steady_median, 0)",28.04636177099991,synthetic,74.15946421399997,False,8,0.022602306678891182,28.78682800499996,4,16,0.1.7,t1v-n-402a6d5e-w-0,t1v-n-402a6d5e-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0008_fsdp4_tp1_b16_l1024_tc128_vc32768_r0/runner.log,32.0,16,cce,1,13,0.8905517918845782,10,10,7.404636820000405,0.7404662340000527,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.7408854940000538,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0008_fsdp4_tp1_b16_l1024_tc128_vc32768_r0,20260609T171229Z,65.29053696,67.637338112,2.346801152,0,1024,b16/L1024,success,0.7404636820000405,13,t1v-n-402a6d5e-w-0,0.7461524198333601,,,2404.334492945366,2026-06-09T17:18:15+00:00,2026-06-09T17:12:29+00:00,128,8,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2427.668018969635,1,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/core/runs/exp0008_fsdp4_tp1_b16_l1024_tc128_vc32768_r0/xla,7.49,/tmp/v5e-cce-full/core/runs/exp0008_fsdp4_tp1_b16_l1024_tc128_vc32768_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_0.jsonl,,,,,
False,tpu-v5e,52.45902433800006,23020.65370448691,exp0009_fsdp4_tp1_b16_l1024_tc256_vc32768_r0,True,32,4,256/32768,"max(first_step_time - steady_median, 0)",28.622265556499997,synthetic,75.04839145899996,False,9,0.016781752929091454,29.334070052000015,4,16,0.1.7,t1v-n-8132e94c-w-0,t1v-n-8132e94c-w-0,0.10.1,0.0002,/tmp/v5e-cce-full/core/runs/exp0009_fsdp4_tp1_b16_l1024_tc256_vc32768_r0/runner.log,32.0,16,cce,1,13,0.8552694052744371,10,10,7.11708720799993,0.7118044955000187,"fsdp=4,tp=1",google/gemma-3-270m-it,Gemma3 270M,gs://gemma-data/checkpoints/gemma3-270m-it,270m,gcs,2048,0.7123648159999902,core,False,,0,0,/tmp/v5e-cce-full/core/runs/exp0009_fsdp4_tp1_b16_l1024_tc256_vc32768_r0,20260609T171229Z,65.28514048,67.637338112,2.352197632,0,1024,b16/L1024,success,0.711708720799993,13,t1v-n-8132e94c-w-0,0.7171690970833234,,,2501.502096640907,2026-06-09T17:18:30+00:00,2026-06-09T17:12:29+00:00,256,4,gs://gemma-data/tokenizers/tokenizer_gemma3.model,sentencepiece,2525.752386424907,1,v5litepod-4,,,0.1.0,32768,8,262144,3,/tmp/v5e-cce-full/core/runs/exp0009_fsdp4_tp1_b16_l1024_tc256_vc32768_r0/xla,7.49,/tmp/v5e-cce-full/core/runs/exp0009_fsdp4_tp1_b16_l1024_tc256_vc32768_r0/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,/private/tmp/v5e-cce-full-local/combined/core/results/shard_1.jsonl,,,,,
