mesh_configuration,shape,chunk_configuration,cce_loop_count,steady_state_mean_step_time_sec,default_step_time_sec,cce_to_default_step_time_ratio,xla_planned_hbm_gib_per_chip,default_xla_hbm_gib,xla_hbm_saving_pct
"fsdp=2,tp=2",b16/L512,128/8192,128.0,15.360088762900045,0.1456302389000143,105.47320995226724,2.65,6.23,57.46388443017657
"fsdp=2,tp=2",b32/L512,128/8192,128.0,30.72606887959996,0.2962331636000044,103.72258293500364,4.56,12.11,62.34516928158547
"fsdp=2,tp=2",b16/L1024,128/8192,256.0,30.73765835320007,0.3061804972000118,100.39064745890968,5.13,12.66,59.47867298578199
"fsdp=1,tp=4",b32/L512,128/8192,128.0,3.9187758799000223,0.1006376557999374,38.93945907971417,2.77,6.59,57.96661608497724
"fsdp=1,tp=4",b16/L1024,128/8192,256.0,3.915414743100109,0.104953019100003,37.306356469549094,3.06,6.86,55.39358600583091
"fsdp=1,tp=4",b16/L512,128/8192,128.0,1.961844470999904,0.0530391976999908,36.98857743091847,1.64,3.47,52.73775216138329
"fsdp=2,tp=2",b16/L512,128/32768,32.0,4.07437829280002,0.1456302389000143,27.977556883617936,2.65,6.23,57.46388443017657
"fsdp=2,tp=2",b32/L512,128/32768,32.0,8.153592084300021,0.2962331636000044,27.52423795233674,4.56,12.11,62.34516928158547
"fsdp=2,tp=2",b16/L1024,128/32768,64.0,8.164488217700045,0.3061804972000118,26.665605067479554,5.13,12.66,59.47867298578199
"fsdp=1,tp=4",b32/L512,128/32768,32.0,1.869484532399929,0.1006376557999374,18.57639188373356,2.77,6.59,57.96661608497724
"fsdp=1,tp=4",b16/L1024,128/32768,64.0,1.871157887299887,0.104953019100003,17.82852845345001,3.06,6.86,55.39358600583091
"fsdp=1,tp=4",b16/L512,128/32768,32.0,0.937104001499938,0.0530391976999908,17.668140585393882,1.64,3.47,52.73775216138329
"fsdp=2,tp=2",b16/L512,256/32768,16.0,2.191537217300015,0.1456302389000143,15.048641229000962,2.65,6.23,57.46388443017657
"fsdp=2,tp=2",b32/L512,256/32768,16.0,4.38892698300001,0.2962331636000044,14.815785409246947,4.56,12.11,62.34516928158547
"fsdp=2,tp=2",b16/L1024,256/32768,32.0,4.396529371600013,0.3061804972000118,14.359273081746904,5.13,12.66,59.47867298578199
