case_label,case_name,shape_kind,dot_shape,count
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,dot_general_result,"bf16[128,8192]",10
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,dot_general_result,"f32[128,320]",2
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,all_reduce_result,"bf16[128,8192]",3
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,all_gather_result,"bf16[320,262144]",6
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,convolution_result,"bf16[128,8192]",3
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,convolution_result,"f32[128,320]",1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,f32[128],10
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"bf16[320,8192]",4
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,pred[8192],3
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"bf16[128,8192]",3
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"f32[128,8192]",2
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,s32[8192],1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"bf16[320,262144]",1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"f32[128,320]",1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"s32[128,1,1]",1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,"s32[128,2]",1
bad,exp0000_fsdp2_tp2_b16_l512_tc128_vc8192_r0,fusion_result,s32[128],1
good,exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0,dot_general_result,"bf16[512,65536]",10
good,exp0001_fsdp2_tp2_b16_l512_tc512_vc65536_r0,dot_general_result,"f32[512,320]",2
