batch_size,case,chips,dataset_mode,dropped_overlength,failure_type,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,dataset_slug,dataset_label
4,short-throughput_unpacked_b4_l256_s50,1,opus100,26,,2254,6996,2.0148775577545166,24.973891021999975,truncate,16,2446.4546111717036,256,50,2.4430686092376708,0.01825215191836471,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.20820859375,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l256_s50,16.909336064,1.27194624,0.1070989120000263,5000,ok,50,short-throughput,v5litepod-1,7625.603495516919,unpacked,39.041079771,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.4,opus100,OPUS EN-FR
4,short-throughput_packed_b4_l256_s50,1,opus100,26,,25123,51099,2.0825531482696533,25.320888302000014,truncate,16,27556.97017670286,256,50,2.221394226551056,0.018284199591837292,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9886447946343779,1053,1052,263,4.748338081671415,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l256_s50,16.909336064,1.272276992,0.11126051299999062,5000,ok,50,short-throughput,v5litepod-1,55891.906581813586,packed,38.20672713299996,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.4,opus100,OPUS EN-FR
4,short-throughput_unpacked_b4_l512_s50,1,opus100,1,,2254,6996,2.0201468467712402,28.874888843999997,truncate,16,1428.4618802065215,512,50,2.443993055820465,0.03125953995918605,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.1050671875,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l512_s50,16.909336064,1.332594176,0.1232020560000251,5000,ok,50,short-throughput,v5litepod-1,4452.518292051406,unpacked,41.66887767399999,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.87,opus100,OPUS EN-FR
4,short-throughput_packed_b4_l512_s50,1,opus100,1,,51526,102167,2.151681661605835,29.045561297000063,truncate,16,33010.34101421694,512,50,2.161373975276947,0.031269731183672364,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9930736058601134,529,528,132,9.45179584120983,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l512_s50,16.909336064,1.33374464,0.12270293799997489,5000,ok,50,short-throughput,v5litepod-1,65349.7587092181,packed,41.72293221100006,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.87,opus100,OPUS EN-FR
4,short-throughput_unpacked_b4_l1024_s50,1,opus100,0,,2254,6996,1.7992627620697021,30.93138658199996,truncate,16,746.7008465817627,1024,50,2.4773563933372498,0.05980046953060519,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.0525923828125,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l1024_s50,16.909336064,1.394340352,0.15638747000002695,5000,ok,50,short-throughput,v5litepod-1,2327.4679038791687,unpacked,45.80999730999997,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,7.12,opus100,OPUS EN-FR
4,short-throughput_packed_b4_l1024_s50,1,opus100,0,,92908,204399,1.9223401546478271,31.527625817999933,truncate,16,31631.353594247732,1024,50,2.1482425785064696,0.058689507734698054,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9960678562973485,264,264,66,18.939393939393938,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l1024_s50,16.909336064,1.398477312,0.10704489800002648,5000,ok,50,short-throughput,v5litepod-1,69652.6126867409,packed,46.21442443500007,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,7.13,opus100,OPUS EN-FR
4,short-throughput_unpacked_b4_l2048_s50,1,opus100,0,,2254,6996,1.7903248071670532,25.422806347000005,truncate,16,320.827559098943,2048,50,2.443639543056488,0.13918087757142716,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.02629619140625,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l2048_s50,16.909336064,1.147418112,0.2316893729999947,5000,ok,50,short-throughput,v5litepod-1,1000.0200882334512,unpacked,43.501633537999965,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b4_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.18,opus100,OPUS EN-FR
4,short-throughput_packed_b4_l2048_s50,1,opus100,0,,178247,408434,1.8903756141662598,26.792769687000032,truncate,16,25311.820195427634,2048,50,2.1308358502388,0.1403756520816299,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9960678562973485,132,132,33,37.878787878787875,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l2048_s50,16.909336064,1.164175872,0.18524188300000333,5000,ok,50,short-throughput,v5litepod-1,58190.50876069886,packed,45.369166535999966,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b4_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.2,opus100,OPUS EN-FR
8,short-throughput_unpacked_b8_l256_s50,1,opus100,26,,4408,13842,2.8144540786743164,27.352539234999995,truncate,16,2934.470468354562,256,50,2.3368479204177857,0.030044011775507154,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.20820859375,5000,5000,625,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l256_s50,16.909336064,1.32756992,0.1243462830000226,5000,ok,50,short-throughput,v5litepod-1,9209.618196747952,unpacked,39.67015164499992,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.8,opus100,OPUS EN-FR
8,short-throughput_packed_b8_l256_s50,1,opus100,26,,50087,102240,1.8333830833435059,27.409742620999964,truncate,16,33272.33847882661,256,50,2.1590138411521913,0.03023287251021058,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9886447946343779,1053,1048,131,4.748338081671415,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l256_s50,16.909336064,1.328238592,0.1235550260000764,5000,ok,50,short-throughput,v5litepod-1,67632.82890790416,packed,39.838416834999975,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.8,opus100,OPUS EN-FR
