batch_size,case,chips,dataset_mode,dropped_overlength,failure_type,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip
8,short-throughput_unpacked_b8_l512_s50,1,opus100,1,,4408,13842,2.8564226627349854,31.748082545999978,16,1592.7974713016672,512,50,2.322070372104645,0.05535120873470096,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.10491434733072917,4999,4992,624,1.0,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b8_l512_s50,16.909336064,1.382447104,0.1488165810000055,4999,ok,50,short-throughput,v5litepod-1,4998.8768786824085,unpacked,48.97502663200004,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85
8,short-throughput_packed_b8_l512_s50,1,opus100,1,,92878,203998,1.9421050548553467,31.49481652700001,16,34013.26590826549,512,50,2.1506288647651672,0.05434314246938774,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9930604876893939,528,528,66,9.467803030303031,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b8_l512_s50,16.909336064,1.384692224,0.10470433199998297,4999,ok,50,short-throughput,v5litepod-1,75075.84135671551,packed,45.03584781200004,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85
8,short-throughput_unpacked_b8_l1024_s50,1,opus100,0,,4408,13842,2.813293933868408,26.134222674,16,744.8978673207126,1024,50,2.330031177997589,0.11835617897958636,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.0525923828125,5000,5000,625,1.0,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b8_l1024_s50,16.909336064,1.148907008,0.20890949500000033,5000,ok,50,short-throughput,v5litepod-1,2337.806778966255,unpacked,43.35096978500002,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b8_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.1
8,short-throughput_packed_b8_l1024_s50,1,opus100,0,,178112,408395,1.919242024421692,27.08112473799997,16,29833.9880812803,1024,50,2.1231301498413084,0.11902053232652364,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9960678562973485,264,264,33,18.939393939393938,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b8_l1024_s50,16.909336064,1.157256192,0.21214497400001164,5000,ok,50,short-throughput,v5litepod-1,68622.87079877872,packed,44.47035997499995,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b8_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.11
16,short-throughput_unpacked_b16_l512_s50,1,opus100,1,,8414,26879,2.2958903312683105,31.81716488099994,16,1538.9385395857353,512,50,2.2555282402038572,0.10814504097959111,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.10491434733072917,4999,4992,312,1.0,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b16_l512_s50,16.909336064,1.419611136,0.2030930089999856,4999,ok,50,short-throughput,v5litepod-1,4939.700209956616,unpacked,48.637660074999985,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b16_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.57
16,short-throughput_packed_b16_l512_s50,1,opus100,1,,178077,407360,1.884381890296936,32.152754543000015,16,32622.2561155844,512,50,2.129663543701172,0.10857680706121245,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9930604876893939,528,528,33,9.467803030303031,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b16_l512_s50,16.909336064,1.42390272,0.2051163930000257,4999,ok,50,short-throughput,v5litepod-1,75030.49361157423,packed,48.84471642200003,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b16_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.57
16,short-throughput_unpacked_b16_l1024_s50,1,opus100,,compile_oom,0,0,,,16,nan,1024,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.58,15.75,20.33,nan,,,,nan,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b16_l1024_s50,,,,,failed,,short-throughput,v5litepod-1,nan,unpacked,,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b16_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.36
16,short-throughput_packed_b16_l1024_s50,1,opus100,,compile_oom,0,0,,,16,nan,1024,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.60,15.75,20.35,nan,,,,nan,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b16_l1024_s50,,,,,failed,,short-throughput,v5litepod-1,nan,packed,,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b16_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.39
32,short-throughput_unpacked_b32_l512_s50,1,opus100,,compile_oom,0,0,,,16,nan,512,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.55,15.75,20.3,nan,,,,nan,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b32_l512_s50,,,,,failed,,short-throughput,v5litepod-1,nan,unpacked,,/tmp/gemma3-270m-packing/short-throughput/short-throughput_unpacked_b32_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.32
32,short-throughput_packed_b32_l512_s50,1,opus100,,compile_oom,0,0,,,16,nan,512,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.56,15.75,20.31,nan,,,,nan,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b32_l512_s50,,,,,failed,,short-throughput,v5litepod-1,nan,packed,,/tmp/gemma3-270m-packing/short-throughput/short-throughput_packed_b32_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.35
