batch_size,case,chips,dataset_mode,dropped_overlength,failure_type,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,dataset_label,chip_count
4,alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,4,alpaca,0,,6967,11650,0.5146080851554871,25.932614781999973,drop,16,635.4671894873043,1024,30,1.6381347159544626,0.3668764255516933,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.090912890625,5000,5000,1250,1.0,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,67.637338112,2.689849344,0.4442342299998927,5000,ok,30,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,1065.0960200074148,unpacked,47.53659030200015,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.4,Alpaca,4
4,alpaca_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,4,alpaca,0,,94585,122641,1.6886053085327148,26.176964204999877,drop,16,8567.707419273676,1024,30,1.7392643928527831,0.36696735913792194,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9946705757658644,457,456,114,10.940919037199125,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,67.637338112,2.707820544,0.44190311400006976,5000,ok,30,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,11140.049328534868,packed,47.61893582100015,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.41,Alpaca,4
4,alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.98,Alpaca,4
4,alpaca_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.99,Alpaca,4
8,alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,1024,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,14.65,15.75,30.40,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,30.99,Alpaca,4
8,alpaca_4chip_b4b8_l1024_2048_packed_b8_l1024_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,1024,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,14.65,15.75,30.40,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b8_l1024_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b8_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,31.0,Alpaca,4
8,alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,73.00,15.75,88.74,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.33,Alpaca,4
8,alpaca_4chip_b4b8_l1024_2048_packed_b8_l2048_s30,4,alpaca,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,72.99,15.75,88.74,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b8_l2048_s30,,,,,failed,,alpaca_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/alpaca/alpaca_4chip_b4b8_l1024_2048_packed_b8_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.36,Alpaca,4
4,opus100_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,4,opus100,0,,1469,5392,2.0017318725585938,25.738861127000007,drop,16,131.65801770027136,1024,30,2.1625520030657452,0.3672000264827567,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.06410703125,5000,5000,1250,1.0,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,67.637338112,2.689849344,0.4406199329999936,5000,ok,30,opus100_4chip_b4b8_l1024_2048,v5litepod-4,486.4397515602038,unpacked,47.09219104699997,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.4,OPUS100,4
4,opus100_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,4,opus100,0,,61501,122602,1.5718610286712646,25.539782008999964,drop,16,5596.709038837342,1024,30,1.5839595278104146,0.3671554219999962,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9923689047987616,323,320,80,15.479876160990711,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,67.637338112,2.707820544,0.43991747399991254,5000,ok,30,opus100_4chip_b4b8_l1024_2048,v5litepod-4,11130.21079497868,packed,46.975387900999976,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.41,OPUS100,4
