variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
packed,1,3.7367148399353027,31.73528798899997,51.5,8178,4518,8192,0.998291015625,0.551513671875,8178,4518,31.73528798899997
packed,2,2.647146224975586,0.5445275310000852,9.375,8180,4274,8192,0.99853515625,0.521728515625,16358,8792,32.27981552000006
packed,3,2.36104154586792,0.22718640799985224,8.25,8192,4327,8192,1.0,0.5281982421875,24550,13119,32.50700192799991
packed,4,2.435617446899414,0.11040955400017083,6.15625,8191,4391,8192,0.9998779296875,0.5360107421875,32741,17510,32.61741148200008
packed,5,2.3764936923980713,0.034719287999905646,4.53125,8178,4140,8192,0.998291015625,0.50537109375,40919,21650,32.652130769999985
packed,6,2.2192111015319824,0.08583557599990854,3.84375,8192,4083,8192,1.0,0.4984130859375,49111,25733,32.737966345999894
packed,7,2.2214150428771973,0.10604652400002124,4.09375,8192,4116,8192,1.0,0.50244140625,57303,29849,32.844012869999915
packed,8,2.284092426300049,0.10674447400015197,4.03125,8112,4080,8192,0.990234375,0.498046875,65415,33929,32.95075734400007
packed,9,2.379592180252075,0.10624299500000234,3.90625,8192,3997,8192,1.0,0.4879150390625,73607,37926,33.05700033900007
packed,10,2.1969738006591797,0.1071661139999378,3.375,8192,4024,8192,1.0,0.4912109375,81799,41950,33.16416645300001
packed,11,1.9804664850234985,0.10590446399987741,3.703125,8169,3930,8192,0.9971923828125,0.479736328125,89968,45880,33.270070916999885
packed,12,2.0700838565826416,0.10611948500013568,6.90625,8103,3905,8192,0.9891357421875,0.4766845703125,98071,49785,33.37619040200002
packed,13,2.109269380569458,0.1064061340000535,3.09375,8192,3869,8192,1.0,0.4722900390625,106263,53654,33.482596536000074
packed,14,2.2376322746276855,0.10645988499982195,3.578125,8180,3844,8192,0.99853515625,0.46923828125,114443,57498,33.589056420999896
packed,15,2.2456910610198975,0.1069049239999913,3.25,8140,3799,8192,0.99365234375,0.4637451171875,122583,61297,33.69596134499989
packed,16,2.160883903503418,0.10710098399999879,2.71875,8155,3646,8192,0.9954833984375,0.445068359375,130738,64943,33.803062328999886
packed,17,2.0976150035858154,0.10658526500014887,2.640625,8162,3513,8192,0.996337890625,0.4288330078125,138900,68456,33.909647594000035
packed,18,2.281010866165161,0.10573736399987865,2.765625,8126,3445,8192,0.991943359375,0.4205322265625,147026,71901,34.01538495799991
packed,19,2.1597883701324463,0.10811865400000897,2.65625,8177,3425,8192,0.9981689453125,0.4180908203125,155203,75326,34.12350361199992
packed,20,1.9795489311218262,0.10726987400016696,3.046875,8142,3249,8192,0.993896484375,0.3966064453125,163345,78575,34.23077348600009
packed,21,2.1162121295928955,0.10685806499986938,2.921875,8138,3157,8192,0.993408203125,0.3853759765625,171483,81732,34.33763155099996
packed,22,2.116159439086914,0.10748971399993934,3.0,8104,2977,8192,0.9892578125,0.3634033203125,179587,84709,34.4451212649999
packed,23,2.1771278381347656,0.1066545240000778,3.78125,8144,2851,8192,0.994140625,0.3480224609375,187731,87560,34.551775788999976
packed,24,2.131357192993164,0.10701155400010975,3.171875,8153,2714,8192,0.9952392578125,0.331298828125,195884,90274,34.658787343000085
packed,25,2.079188108444214,0.10607250499992915,3.171875,8114,2604,8192,0.990478515625,0.31787109375,203998,92878,34.764859848000015
packed,26,2.120591640472412,0.10591906399986328,2.890625,8136,2525,8192,0.9931640625,0.3082275390625,212134,95403,34.87077891199988
packed,27,2.006748676300049,0.10606997400009277,2.9375,8027,2420,8192,0.9798583984375,0.29541015625,220161,97823,34.97684888599997
packed,28,2.0131468772888184,0.10647542500009877,2.84375,8053,2315,8192,0.9830322265625,0.2825927734375,228214,100138,35.08332431100007
packed,29,2.024435520172119,0.10641572399981669,2.984375,8160,2222,8192,0.99609375,0.271240234375,236374,102360,35.189740034999886
packed,30,1.9594933986663818,0.10863677500015001,3.078125,8118,2073,8192,0.990966796875,0.2530517578125,244492,104433,35.298376810000036
packed,31,1.9620543718338013,0.10572875399998338,3.234375,8022,1958,8192,0.979248046875,0.239013671875,252514,106391,35.40410556400002
packed,32,2.2253832817077637,0.10646350399997573,4.1875,8051,1800,8192,0.9827880859375,0.2197265625,260565,108191,35.510569067999995
packed,33,1.8720685243606567,0.10645357499993224,8.0625,7895,1430,8192,0.9637451171875,0.174560546875,268460,109621,35.61702264299993
packed,34,2.188210964202881,0.10765902399998595,8.3125,8178,4518,8192,0.998291015625,0.551513671875,276638,114139,35.72468166699991
packed,35,2.1566972732543945,0.10579503400003887,5.375,8180,4274,8192,0.99853515625,0.521728515625,284818,118413,35.83047670099995
packed,36,1.8984087705612183,0.10928930499994749,3.546875,8192,4327,8192,1.0,0.5281982421875,293010,122740,35.9397660059999
packed,37,2.042057991027832,0.10764060400015296,3.515625,8191,4391,8192,0.9998779296875,0.5360107421875,301201,127131,36.04740661000005
packed,38,1.9898477792739868,0.10894545399992239,4.09375,8178,4140,8192,0.998291015625,0.50537109375,309379,131271,36.156352063999975
