variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,5.249347686767578,30.461805917000675,221.0,703,259,8192,0.0858154296875,0.0316162109375,703,259,30.461805917000675
unpacked,2,4.567827224731445,0.581259754999337,48.0,535,181,8192,0.0653076171875,0.0220947265625,1238,440,31.04306567200001
unpacked,3,3.459585666656494,0.1583941570006573,39.25,566,179,8192,0.069091796875,0.0218505859375,1804,619,31.20145982900067
unpacked,4,3.2852020263671875,0.308468716999414,23.375,532,168,8192,0.06494140625,0.0205078125,2336,787,31.509928546000083
unpacked,5,2.525136947631836,0.05384979500013287,42.75,655,237,8192,0.0799560546875,0.0289306640625,2991,1024,31.563778341000216
unpacked,6,1.952715277671814,0.07739252499959548,26.75,525,155,8192,0.0640869140625,0.0189208984375,3516,1179,31.64117086599981
unpacked,7,2.9735004901885986,0.09765583200078254,28.0,439,114,8192,0.0535888671875,0.013916015625,3955,1293,31.738826698000594
unpacked,8,2.1678085327148438,0.10573677199954545,17.375,487,133,8192,0.0594482421875,0.0162353515625,4442,1426,31.84456347000014
unpacked,9,2.006077766418457,0.10584602099970652,17.5,438,114,8192,0.053466796875,0.013916015625,4880,1540,31.950409490999846
unpacked,10,2.3627090454101562,0.10649869200005924,13.3125,767,288,8192,0.0936279296875,0.03515625,5647,1828,32.056908182999905
unpacked,11,2.4169278144836426,0.10607663100017817,14.75,572,193,8192,0.06982421875,0.0235595703125,6219,2021,32.16298481400008
unpacked,12,1.826081395149231,0.10627287199986313,12.75,556,174,8192,0.06787109375,0.021240234375,6775,2195,32.269257685999946
unpacked,13,2.7886157035827637,0.10615861200039944,19.5,480,133,8192,0.05859375,0.0162353515625,7255,2328,32.375416298000346
unpacked,14,1.8227248191833496,0.10615280199999688,11.25,586,201,8192,0.071533203125,0.0245361328125,7841,2529,32.48156910000034
unpacked,15,1.469678521156311,0.10606804100007139,10.6875,593,196,8192,0.0723876953125,0.02392578125,8434,2725,32.587637141000414
unpacked,16,2.0086002349853516,0.10620733199993992,15.5625,478,130,8192,0.058349609375,0.015869140625,8912,2855,32.693844473000354
unpacked,17,1.8644309043884277,0.10614620199976343,20.0,538,170,8192,0.065673828125,0.020751953125,9450,3025,32.79999067500012
