source,model_size,model_id,tpu,chips,mesh_fsdp,mesh_tp,variant,batch_size,max_length,status,xla_train_step_gib_per_chip,runtime_peak_hbm_gb_aggregate,mean_step_time_sec_excl_first,first_step_time_sec,wall_time_sec,failure_type,case_summary
05-default-baseline,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,default,1,512,ok,12.39,,0.34832758599998215,88.77675922599997,,,
05-default-baseline,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,default,1,1024,failed,17.42,,,,,compile_oom,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,fast_stack,1,1536,ok,12.99,47.686948864,0.6408762653332664,63.23176795000006,108.0020060600001,,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,fast_stack,1,2048,ok,13.96,47.689023488,0.8616870640000039,65.18458860300007,104.45821540800011,,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,fast_stack_split_remat,1,2048,ok,11.78,49.162367488,24.483658542333387,76.88705021399983,188.44632410100007,,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,fast_stack_split_remat,1,3072,ok,11.94,47.965771776,27.78424116200002,85.70661408299998,221.953995287,,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,tiled_mlp,1,1280,ok,15.33,47.79024128,0.43695635566666624,64.69407379099994,119.45741985200004,,
03-large-composition,12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,tiled_mlp,1,1536,failed,16.68,,,,,compile_oom,
05-default-baseline,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,default,1,512,ok,14.52,,1.0317899199999374,123.42136552400007,,,
05-default-baseline,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,default,1,1024,failed,24.66,,,,,compile_oom,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,fast_stack,1,768,ok,13.96,110.673613312,0.5278711103333459,90.44771548699998,155.7401346910001,,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,fast_stack,1,1024,ok,14.31,110.3785856,0.7023261899999701,92.66270932499992,156.03937180800006,,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,fast_stack_split_remat,1,1024,ok,13.29,115.78706688,37.9050395686667,113.84328244599988,292.66684768100004,,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,fast_stack_split_remat,1,1536,ok,13.38,115.291538944,39.13437598866661,122.72415235500011,300.686359668,,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,tiled_mlp,1,640,ok,13.72,109.516029952,0.38292266300000694,94.13685278399998,175.237769452,,
03-large-composition,27b,google/gemma-3-27b-it,v5litepod-8,8,8,1,tiled_mlp,1,768,failed,16.78,,,,,compile_oom,
