Memory Space: default (color=0)
Total bytes: 15627935232 (14.55GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
    2.00GiB(  9%);    2.00GiB;   2987196416;                2; 2×bf16[1,4096,262144]
    4.00GiB( 18%);    2.00GiB;   5134745600;                3; bf16[1,1,4096,4,256], bf16[1,4095,262144], bf16[1,4096,320]
    4.25GiB( 19%);  256.00MiB;    298663936;                2; bf16[4,256,4096,2], bf16[4,4096,4096,2]
    4.50GiB( 20%);  256.00MiB;   8763342848;                1; bf16[4,4096,4096,2]
    4.75GiB( 21%);  256.00MiB;   7152730112;                1; bf16[4,4096,4096,2]
    5.00GiB( 22%);  256.00MiB;   6884294656;                1; bf16[4,4096,4096,2]
    5.25GiB( 23%);  256.00MiB;   6615859200;                1; bf16[4,4096,4096,2]
    5.50GiB( 24%);  256.00MiB;   6347423744;                1; bf16[4,4096,4096,2]
    5.75GiB( 25%);  256.00MiB;   6078988288;                1; bf16[4,4096,4096,2]
    6.00GiB( 26%);  256.00MiB;   5810552832;                1; bf16[4,4096,4096,2]
    6.25GiB( 27%);  256.00MiB;   5542117376;                1; bf16[4,4096,4096,2]
    6.50GiB( 29%);  256.00MiB;   2432303104;                2; bf16[4,4096,4096,2], bf16[4096,320]
    6.75GiB( 30%);  256.00MiB;   2716139520;                1; bf16[4,4096,4096,2]
    7.00GiB( 31%);  256.00MiB;   5273681920;                2; bf16[4,4096,2,4096], bf16[4,4096,4096,2]
    7.25GiB( 32%);  256.00MiB;  13058310144;                2; 2×bf16[4,4096,4096,2]
    7.50GiB( 33%);  256.00MiB;  12789874688;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    7.75GiB( 34%);  256.00MiB;  12521439232;                3; bf16[4,4096,2,4096], 2×bf16[4,4096,4096,2]
    8.00GiB( 35%);  256.00MiB;  12253003776;                4; 2×bf16[4,4096,2,4096], 2×bf16[4,4096,4096,2]
    8.25GiB( 36%);  256.00MiB;  13326745600;                1; bf16[4,4096,2,4096]
    8.50GiB( 37%);  256.00MiB;  11984568320;                3; bf16[4,4096,2,4096], 2×bf16[4,4096,4096,2]
