Memory Space: default (color=0)
Total bytes: 19937413632 (18.57GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  256.00MiB(  1%);  256.00MiB;   3734454272;                1; bf16[4,4096,4096,2]
  512.00MiB(  3%);  256.00MiB;   5345067008;                1; bf16[4,4096,4096,2]
  768.00MiB(  4%);  256.00MiB;   6687244288;                1; bf16[4,4096,4096,2]
    1.00GiB(  5%);  256.00MiB;   2392276992;                5; 2×bf16[4,4096,4096,2], 3×bf16[4096,10240]
    1.25GiB(  6%);  256.00MiB;   9103163392;                8; bf16[4,4096,2,4096], 7×bf16[4096,10240]
    1.50GiB(  8%);  256.00MiB;   8834727936;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    1.75GiB(  9%);  256.00MiB;   8566292480;                8; 2×bf16[4,4096,2,4096], 2×bf16[4,4096,4096,2], 4×bf16[4096,10240]
    2.00GiB( 10%);  256.00MiB;   8297857024;               14; 2×bf16[4,4096,2,4096], 2×f32[1,4096,4,2,256], 4×bf16[4,4096,4096,2], 6×bf16[4096,10240]
    2.25GiB( 12%);  256.00MiB;   8029421568;                9; bf16[4096,8,256], 2×bf16[4096,10240], 3×bf16[4,4096,2,4096], 3×bf16[4,4096,4096,2]
    2.50GiB( 13%);  256.00MiB;   7760986112;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    2.75GiB( 14%);  256.00MiB;   7492550656;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.00GiB( 15%);  256.00MiB;   7224115200;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.25GiB( 17%);  256.00MiB;   6955679744;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.50GiB( 18%);  256.00MiB;   6418808832;                5; bf16[4,4096,4096,2], 4×bf16[4,4096,2,4096]
    3.75GiB( 19%);  256.00MiB;   6150373376;                9; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 6×bf16[4096,10240]
    4.00GiB( 20%);  256.00MiB;   5881937920;                9; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 6×bf16[4096,10240]
    4.25GiB( 22%);  256.00MiB;   5613502464;                7; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 4×bf16[4096,10240]
    4.50GiB( 23%);  256.00MiB;   5076631552;                5; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 2×bf16[4096,10240]
    4.75GiB( 24%);  256.00MiB;   4808196096;               11; bf16[4,4096,4096,2], 4×bf16[4,4096,2,4096], 6×bf16[4096,10240]
    5.00GiB( 26%);  256.00MiB;   4539760640;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    5.25GiB( 27%);  256.00MiB;   4271325184;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    5.50GiB( 28%);  256.00MiB;   4002889728;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    5.75GiB( 29%);  256.00MiB;   3466018816;                5; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 2×bf16[4096,10240]
    6.00GiB( 31%);  256.00MiB;   3197583360;                6; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 3×bf16[4096,10240]
    6.25GiB( 32%);  256.00MiB;   2929147904;                3; bf16[4,4096,2,4096], bf16[4,4096,4096,2], bf16[4096,10240]
    6.50GiB( 33%);  256.00MiB;   2660712448;                2; bf16[4,4096,2,4096], bf16[4,4096,4096,2]
    6.75GiB( 35%);  256.00MiB;   2123841536;                5; bf16[4,4096,2,4096], bf16[4,4096,4096,2], 3×bf16[4096,10240]
    7.00GiB( 36%);  256.00MiB;   1855406080;                3; bf16[4,4096,2,4096], bf16[4,4096,4096,2], bf16[4096,10240]
    7.25GiB( 37%);  256.00MiB;   1586970624;                6; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 3×bf16[4096,10240]
    7.50GiB( 38%);  256.00MiB;   1318535168;                3; bf16[4,4096,2,4096], bf16[4,4096,4096,2], bf16[4096,10240]
    7.75GiB( 40%);  256.00MiB;   1050099712;                2; bf16[4,4096,2,4096], bf16[4,4096,4096,2]
    8.00GiB( 41%);  256.00MiB;    781664256;                5; bf16[4,4096,2,4096], bf16[4,4096,4096,2], 3×bf16[4096,10240]
    8.25GiB( 42%);  256.00MiB;    513228800;                4; bf16[4,4096,2,4096], bf16[4,4096,4096,2], 2×bf16[4096,10240]
    8.50GiB( 43%);  256.00MiB;    244793344;               77; bf16[262144,320], 27×bf16[4,4096,4096,2], 49×bf16[4096,10240]
    8.58GiB( 44%);   80.00MiB;   9539371008;                1; bf16[4096,10240]
    8.66GiB( 44%);   80.00MiB;   9455484928;                1; bf16[4096,10240]
