Memory Space: default (color=0)
Total bytes: 15490790912 (14.43GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  256.00MiB(  1%);  256.00MiB;    294846464;               35; s32[4096], 34×bf16[1,4096,4,2,4096]
  512.00MiB(  2%);  256.00MiB;   1589608448;                1; bf16[4,4096,4096,2]
  768.00MiB(  3%);  256.00MiB;   1883209728;                1; bf16[4,4096,4096,2]
    1.00GiB(  4%);  256.00MiB;   2185199616;                1; bf16[4,4096,4096,2]
    1.25GiB(  5%);  256.00MiB;   2495578112;                1; bf16[4,4096,4096,2]
    1.50GiB(  6%);  256.00MiB;   1581219840;                4; bf16[4,4096,2,4096], 3×bf16[4096,10240]
    1.75GiB(  7%);  256.00MiB;   3628040192;                1; bf16[4,4096,4096,2]
    2.00GiB(  8%);  256.00MiB;   2764013568;                4; bf16[4,4096,4096,2], f32[1,4096,4,256], 2×bf16[4096,10240]
    2.25GiB(  9%);  256.00MiB;   4433346560;                1; bf16[4,4096,4096,2]
    2.50GiB( 10%);  256.00MiB;   4701782016;                1; bf16[4,4096,4096,2]
    2.75GiB( 11%);  256.00MiB;   2403303424;                2; bf16[4,4096,2,4096], bf16[4096,10240]
    3.00GiB( 12%);  256.00MiB;   4970217472;                2; bf16[4,4096,2,4096], bf16[4096,10240]
    3.25GiB( 13%);  256.00MiB;   4431249408;                2; bf16[4,4096,2,4096], bf16[4096,10240]
    3.50GiB( 14%);  256.00MiB;   3032449024;                2; bf16[4,4096,4096,2], bf16[4096,10240]
    3.75GiB( 15%);  256.00MiB;   5238652928;                2; bf16[4,4096,4096,2], bf16[4096,10240]
    4.00GiB( 16%);  256.00MiB;   5775523840;                3; 3×bf16[4,4096,2,4096]
    4.25GiB( 16%);  256.00MiB;   7117701120;                1; bf16[4,4096,4096,2]
    4.50GiB( 17%);  256.00MiB;   5507088384;                6; bf16[1,1,4096,4,256], bf16[4,4096,4096,2], 4×bf16[4096,10240]
    4.75GiB( 18%);  256.00MiB;   6312394752;                2; bf16[4,4096,4096,2], bf16[4096,10240]
    5.00GiB( 19%);  256.00MiB;   6849265664;                2; 2×bf16[4,4096,2,4096]
    5.25GiB( 20%);  256.00MiB;   7386136576;                1; bf16[4,4096,4096,2]
    5.50GiB( 21%);  256.00MiB;   7654572032;                4; bf16[4,4096,2,4096], 3×bf16[4096,10240]
    5.75GiB( 22%);  256.00MiB;   8191442944;                2; bf16[4,4096,2,4096], bf16[4096,10240]
    6.00GiB( 23%);  256.00MiB;   7335804928;                2; bf16[4,4096,2,4096], bf16[4096,10240]
    6.25GiB( 24%);  256.00MiB;   9533620224;                1; bf16[4,4096,4096,2]
    6.50GiB( 25%);  256.00MiB;   8728313856;                2; bf16[4,4096,4096,2], bf16[4096,10240]
    6.75GiB( 26%);  256.00MiB;   9265184768;                2; 2×bf16[4,4096,2,4096]
    7.00GiB( 27%);  256.00MiB;   9802055680;                1; bf16[4,4096,4096,2]
    7.25GiB( 28%);  256.00MiB;  11144232960;                1; bf16[4,4096,4096,2]
    7.50GiB( 29%);  256.00MiB;  11412668416;                1; bf16[4,4096,4096,2]
    7.75GiB( 30%);  256.00MiB;  11681103872;                1; bf16[4,4096,4096,2]
    8.00GiB( 31%);  256.00MiB;  12217974784;                1; bf16[4,4096,4096,2]
    8.25GiB( 32%);  256.00MiB;  11949539328;                1; bf16[4,4096,4096,2]
    8.50GiB( 33%);  256.00MiB;  10070491136;                2; 2×bf16[4,4096,4096,2]
    8.75GiB( 34%);  256.00MiB;  10607362048;                3; bf16[4,4096,2,4096], 2×bf16[4096,10240]
    9.00GiB( 35%);  256.00MiB;   6043959296;                2; bf16[4,4096,4096,2], bf16[4096,10240]
    9.25GiB( 36%);  256.00MiB;  12486410240;                2; 2×bf16[4,4096,4096,2]
    9.50GiB( 37%);  256.00MiB;   9684615168;                5; bf16[4,4096,2,4096], bf16[4,4096,4096,2], 3×bf16[4096,10240]
    9.75GiB( 38%);  256.00MiB;  10875797504;                5; bf16[1,4096,4,256], bf16[4,4096,2,4096], bf16[4,4096,4096,2], 2×bf16[4096,10240]
   10.00GiB( 39%);  256.00MiB;  10338926592;                2; bf16[4,4096,4096,2], bf16[4096,10240]
   10.25GiB( 40%);  256.00MiB;  11983093760;                2; bf16[4,4096,4096,2], bf16[4096,10240]
   10.50GiB( 41%);  256.00MiB;  11714658304;                4; bf16[4096,10240], 3×bf16[4,4096,4096,2]
   10.75GiB( 42%);  256.00MiB;   8459878400;                2; bf16[4,4096,4096,2], bf16[4096,10240]
   11.00GiB( 43%);  256.00MiB;  12687736832;                2; 2×bf16[4,4096,2,4096]
   11.25GiB( 44%);  256.00MiB;  12419301376;                8; bf16[4096,10240], 2×bf16[4,4096,4096,2], 5×bf16[4,4096,2,4096]
   11.50GiB( 45%);  256.00MiB;  12855508992;                1; bf16[4,4096,2,4096]
   11.75GiB( 46%);  256.00MiB;  12587073536;                2; bf16[4,4096,4096,2], bf16[4096,10240]
   12.00GiB( 47%);  256.00MiB;  12754845696;                2; bf16[4,4096,2,4096], bf16[4,4096,4096,2]
   12.25GiB( 48%);  256.00MiB;  13023281152;                1; bf16[4,4096,2,4096]
   12.50GiB( 49%);  256.00MiB;   8996749312;                4; bf16[4,4096,4096,2], 3×bf16[4096,10240]
   12.75GiB( 49%);  256.00MiB;   3594485760;                9; bf16[2,1,4096,4,256], bf16[4,4096,2,4096], 7×bf16[4096,10240]
   13.00GiB( 50%);  256.00MiB;   6580830208;                7; bf16[1,1,4096,4,256], bf16[2,1,4096,4,256], bf16[4,4096,4096,2], 4×bf16[4096,10240]
   13.25GiB( 51%);  256.00MiB;   4164911104;                8; bf16[1,1,4096,4,256], bf16[1,4096,320], bf16[1,4096,8,128], bf16[4,4096,2,4096], 4×bf16[4096,10240]
   13.50GiB( 52%);  256.00MiB;   3309273088;                9; bf16[1,4096,8,128], 2×bf16[1,1,4096,4,256], 2×bf16[4,4096,2,4096], 4×bf16[4096,10240]
   13.75GiB( 53%);  256.00MiB;   3896475648;                4; bf16[4,4096,4096,2], 3×bf16[4096,10240]
   14.00GiB( 54%);  256.00MiB;   1321172992;                8; 3×bf16[4,4096,2,4096], 5×bf16[4096,10240]
   14.25GiB( 55%);  256.00MiB;    781418496;                4; bf16[4,4096,4096,2], 3×bf16[4096,10240]
   14.50GiB( 56%);  256.00MiB;   7923007488;               10; bf16[2,1,4096,4,256], bf16[4,4096,4096,2], 8×bf16[4096,10240]
   14.75GiB( 57%);  256.00MiB;    512983040;                6; bf16[4,4096,4096,2], 5×bf16[4096,10240]
   14.94GiB( 58%);  192.00MiB;    261292032;                2; bf16[262144,320], pred[4096,4096]
   15.02GiB( 58%);   80.00MiB;    361988096;                2; 2×bf16[4096,10240]
   15.09GiB( 59%);   80.00MiB;    949190656;                1; bf16[4096,10240]
   15.17GiB( 59%);   80.00MiB;    865304576;                4; 4×bf16[4096,10240]
   15.25GiB( 59%);   80.00MiB;   1488945152;                1; bf16[4096,10240]
   15.33GiB( 59%);   80.00MiB;   1405059072;                6; 6×bf16[4096,10240]
   15.41GiB( 60%);   80.00MiB;   1656717312;                1; bf16[4096,10240]
   15.48GiB( 60%);   80.00MiB;   1858043904;                4; bf16[2,1,4096,4,256], 3×bf16[4096,10240]
   15.56GiB( 60%);   80.00MiB;   1665105920;                4; 4×bf16[4096,10240]
   15.64GiB( 61%);   80.00MiB;   2061991936;                2; 2×bf16[4096,10240]
   15.72GiB( 61%);   80.00MiB;   2931785728;                1; bf16[4096,10240]
   15.80GiB( 61%);   80.00MiB;   3393159168;                1; bf16[4096,10240]
   15.88GiB( 62%);   80.00MiB;   3477045248;                1; bf16[4096,10240]
   15.95GiB( 62%);   80.00MiB;   2151645184;                2; bf16[2,1,4096,4,256], bf16[4096,10240]
   16.03GiB( 62%);   80.00MiB;   4332683264;                1; bf16[4096,10240]
   16.11GiB( 63%);   80.00MiB;   2235531264;                3; 3×bf16[4096,10240]
   16.19GiB( 63%);   80.00MiB;   2319417344;                1; bf16[4096,10240]
   16.27GiB( 63%);   80.00MiB;   4064247808;                1; bf16[4096,10240]
   16.34GiB( 63%);   80.00MiB;   2487189504;                2; bf16[1,4096,8,128], bf16[4096,10240]
   16.42GiB( 64%);   80.00MiB;   2654961664;                1; bf16[4096,10240]
   16.50GiB( 64%);   80.00MiB;   5054103552;                1; bf16[4096,10240]
   16.58GiB( 64%);   80.00MiB;   4599021568;                1; bf16[4096,10240]
   16.66GiB( 65%);   80.00MiB;   2571075584;               10; f32[1,4096,4,256], 9×bf16[4096,10240]
   16.73GiB( 65%);   80.00MiB;   5137989632;                3; 3×bf16[4096,10240]
   16.81GiB( 65%);   80.00MiB;   4682907648;                1; bf16[4096,10240]
   16.89GiB( 66%);   80.00MiB;   4766793728;                1; bf16[4096,10240]
   16.97GiB( 66%);   80.00MiB;   4515135488;                5; bf16[1,1,4096,4,256], 4×bf16[4096,10240]
   17.05GiB( 66%);   80.00MiB;   3116335104;                1; bf16[4096,10240]
   17.12GiB( 66%);   80.00MiB;   5322539008;                1; bf16[4096,10240]
   17.20GiB( 67%);   80.00MiB;   5406425088;                1; bf16[4096,10240]
   17.28GiB( 67%);   80.00MiB;   5590974464;                1; bf16[4096,10240]
   17.36GiB( 67%);   80.00MiB;   5674860544;                1; bf16[4096,10240]
   17.44GiB( 68%);   80.00MiB;   5758746624;                1; bf16[4096,10240]
   17.52GiB( 68%);   80.00MiB;   6396280832;                1; bf16[4096,10240]
   17.59GiB( 68%);   80.00MiB;   6480166912;                1; bf16[4096,10240]
   17.67GiB( 69%);   80.00MiB;   6664716288;                1; bf16[4096,10240]
   17.75GiB( 69%);   80.00MiB;   5951684608;                2; 2×bf16[4096,10240]
   17.83GiB( 69%);   80.00MiB;   6748602368;                1; bf16[4096,10240]
   17.91GiB( 70%);   80.00MiB;   6832488448;                1; bf16[4096,10240]
   17.98GiB( 70%);   80.00MiB;   7822344192;                1; bf16[4096,10240]
   18.06GiB( 70%);   80.00MiB;   7000260608;                1; bf16[4096,10240]
   18.14GiB( 70%);   80.00MiB;   7738458112;                5; 5×bf16[4096,10240]
   18.22GiB( 71%);   80.00MiB;   7084146688;                1; bf16[4096,10240]
   18.30GiB( 71%);   80.00MiB;   7168032768;                1; bf16[4096,10240]
   18.38GiB( 71%);   80.00MiB;   8275329024;                1; bf16[4096,10240]
   18.45GiB( 72%);   80.00MiB;   3678371840;                1; bf16[4096,10240]
   18.53GiB( 72%);   80.00MiB;   3762257920;                1; bf16[4096,10240]
   18.61GiB( 72%);   80.00MiB;   7251918848;                3; 3×bf16[4096,10240]
   18.69GiB( 73%);   80.00MiB;   8006893568;                1; bf16[4096,10240]
   18.77GiB( 73%);   80.00MiB;   8090779648;                1; bf16[4096,10240]
   18.84GiB( 73%);   80.00MiB;   8812199936;                1; bf16[4096,10240]
   18.92GiB( 73%);   80.00MiB;   8896086016;                1; bf16[4096,10240]
   19.00GiB( 74%);   80.00MiB;   9164521472;                1; bf16[4096,10240]
   19.08GiB( 74%);   80.00MiB;   9248407552;                1; bf16[4096,10240]
   19.16GiB( 74%);   80.00MiB;   9332293632;                1; bf16[4096,10240]
   19.23GiB( 75%);   80.00MiB;  10775134208;                1; bf16[4096,10240]
   19.31GiB( 75%);   80.00MiB;   1153400832;                3; 3×bf16[4096,10240]
   19.39GiB( 75%);   80.00MiB;   9516843008;                2; bf16[1,4096,4,256], bf16[4096,10240]
   19.47GiB( 76%);   80.00MiB;   9600729088;                1; bf16[4096,10240]
   19.55GiB( 76%);   80.00MiB;   6127845376;                1; bf16[4096,10240]
   19.62GiB( 76%);   80.00MiB;   9768501248;                1; bf16[4096,10240]
   19.70GiB( 76%);   80.00MiB;  10691248128;                8; 8×bf16[4096,10240]
   19.78GiB( 77%);   80.00MiB;   1237286912;                4; 4×bf16[4096,10240]
   19.86GiB( 77%);   80.00MiB;    596869120;                7; 7×bf16[4096,10240]
   19.94GiB( 77%);   80.00MiB;    680755200;                4; 4×bf16[4096,10240]
   20.02GiB( 78%);   80.00MiB;   9852387328;                2; 2×bf16[4096,10240]
   20.09GiB( 78%);   80.00MiB;   9936273408;                2; 2×bf16[4096,10240]
   20.17GiB( 78%);   80.00MiB;  10959683584;                2; 2×bf16[4096,10240]
   20.25GiB( 79%);   80.00MiB;  11043569664;                2; 2×bf16[4096,10240]
   20.33GiB( 79%);   80.00MiB;  11127455744;                2; 2×bf16[4096,10240]
   20.41GiB( 79%);   80.00MiB;  11211341824;                2; 2×bf16[4096,10240]
   20.48GiB( 80%);   80.00MiB;  11295227904;                2; 2×bf16[4096,10240]
   20.56GiB( 80%);   80.00MiB;  11379113984;                3; 3×bf16[4096,10240]
   20.64GiB( 80%);   80.00MiB;  11463000064;                3; 3×bf16[4096,10240]
   20.72GiB( 80%);   80.00MiB;  11630772224;                1; bf16[4096,10240]
   20.80GiB( 81%);   80.00MiB;  12251529216;                1; bf16[4096,10240]
   20.88GiB( 81%);   80.00MiB;  12335415296;                1; bf16[4096,10240]
   20.95GiB( 81%);   80.00MiB;  10422812672;                1; bf16[4096,10240]
   21.03GiB( 82%);   80.00MiB;  10506698752;                1; bf16[4096,10240]
   21.11GiB( 82%);   80.00MiB;  12066979840;                1; bf16[4096,10240]
   21.19GiB( 82%);   80.00MiB;  12150865920;                1; bf16[4096,10240]
   21.27GiB( 83%);   80.00MiB;  11798544384;                1; bf16[4096,10240]
   21.34GiB( 83%);   80.00MiB;  11882430464;                1; bf16[4096,10240]
   21.42GiB( 83%);   80.00MiB;   8543764480;                1; bf16[4096,10240]
   21.50GiB( 83%);   80.00MiB;   8627650560;                1; bf16[4096,10240]
   21.58GiB( 84%);   80.00MiB;  12503187456;                1; bf16[4096,10240]
   21.66GiB( 84%);   80.00MiB;   3300884480;                4; bf16[1,4096,8,128], bf16[4096,10240], 2×bf16[1,1,4096,4,256]
   21.73GiB( 84%);   80.00MiB;  12670959616;                1; bf16[4096,10240]
   21.81GiB( 85%);   80.00MiB;  11546886144;               22; 22×bf16[4096,10240]
   21.89GiB( 85%);   80.00MiB;  10020159488;                1; bf16[4096,10240]
   21.97GiB( 85%);   80.00MiB;  10104045568;                1; bf16[4096,10240]
   22.05GiB( 86%);   80.00MiB;   7503577088;                7; bf16[4,256,4096,2], 2×bf16[2,1,4096,4,256], 4×bf16[4096,10240]
   22.12GiB( 86%);   80.00MiB;   1572831232;                4; bf16[1,4096,8,128], bf16[4096,10240], 2×bf16[1,1,4096,4,256]
   22.20GiB( 86%);   80.00MiB;   6916374528;                6; bf16[1,1,4096,4,256], bf16[1,4096,8,128], 4×bf16[4096,10240]
   22.28GiB( 86%);   80.00MiB;   7419691008;                3; 3×bf16[4096,10240]
   22.36GiB( 87%);   80.00MiB;   8359215104;                3; 3×bf16[4096,10240]
   22.44GiB( 87%);   80.00MiB;   5926518784;                6; bf16[1,1,4096,4,256], bf16[1,4096,8,128], 4×bf16[4096,10240]
   22.52GiB( 87%);   80.00MiB;   5934907392;                2; bf16[4096,10240], f32[1,4096,4,256]
   22.59GiB( 88%);   80.00MiB;   3208609792;                7; bf16[1,1,4096,4,256], bf16[1,4096,8,128], f32[1,4096,4,256], 4×bf16[4096,10240]
   22.67GiB( 88%);   80.00MiB;   5842632704;                3; 3×bf16[4096,10240]
   22.75GiB( 88%);   80.00MiB;   3216998400;                3; 3×bf16[4096,10240]
   22.83GiB( 89%);   80.00MiB;   4850679808;                5; 5×bf16[4096,10240]
   22.91GiB( 89%);   80.00MiB;   3384770560;                3; bf16[1,4096,320], bf16[1,4096,8,128], bf16[4096,10240]
   22.98GiB( 89%);   80.00MiB;   3980361728;                7; 7×bf16[4096,10240]
   23.06GiB( 90%);   80.00MiB;   2847899648;                4; bf16[1,4096,320], bf16[4096,10240], 2×bf16[4096,8,256]
   23.14GiB( 90%);   80.00MiB;   4248797184;                1; bf16[4096,10240]
   23.22GiB( 90%);   80.00MiB;   2889842688;                3; 3×bf16[4096,10240]
   23.30GiB( 90%);   80.00MiB;   1748992000;                2; 2×bf16[4096,10240]
   23.38GiB( 91%);   80.00MiB;   9080635392;               10; bf16[4096,8,256], 2×bf16[2,1,4096,4,256], 7×bf16[4096,10240]
   23.45GiB( 91%);   80.00MiB;   6211731456;                3; 3×bf16[4096,10240]
   23.53GiB( 91%);   80.00MiB;    328433664;                6; bf16[1,1,4096,4,256], 2×bf16[2,1,4096,4,256], 3×bf16[4096,10240]
   23.61GiB( 92%);   80.00MiB;   1069514752;                3; bf16[4096,16], 2×bf16[4096,10240]
   23.62GiB( 92%);   16.00MiB;    278069248;                1; pred[4096,4096]
   23.64GiB( 92%);   16.00MiB;    311656448;                1; pred[4096,4096]
   23.66GiB( 92%);   16.00MiB;    462651392;                3; bf16[4,256,4096,2], 2×bf16[2,1,4096,4,256]
   23.67GiB( 92%);   16.00MiB;   1114341376;                2; bf16[1,4096,8,128], f32[1,4096,4,256]
   23.69GiB( 92%);   16.00MiB;   1105952768;                1; bf16[4,256,4096,2]
   23.70GiB( 92%);   16.00MiB;   1975484416;                1; bf16[4,256,4096,2]
   23.72GiB( 92%);   16.00MiB;   2168422400;                2; bf16[1,4096,8,128], f32[1,4096,4,256]
   23.73GiB( 92%);   16.00MiB;   2470412288;                1; bf16[2,1,4096,4,256]
   23.75GiB( 92%);   16.00MiB;   2982117376;                1; bf16[4,256,4096,2]
   23.77GiB( 92%);   16.00MiB;   2453635072;                1; bf16[4096,8,256]
   23.78GiB( 92%);   16.00MiB;   3317661696;                2; bf16[4,256,4096,2], f32[1,4096,4,256]
   23.80GiB( 92%);   16.00MiB;   2864676864;                2; bf16[2,1,4096,4,256], bf16[4,256,4096,2]
   23.81GiB( 92%);   16.00MiB;   3015671808;                2; bf16[2,1,4096,4,256], bf16[4,256,4096,2]
   23.83GiB( 92%);   16.00MiB;   5221875712;                1; bf16[4,256,4096,2]
   23.84GiB( 93%);   16.00MiB;   3367993344;                2; bf16[2,1,4096,4,256], bf16[4,256,4096,2]
   23.86GiB( 93%);   16.00MiB;   4215242752;                2; bf16[2,1,4096,4,256], f32[1,4096,4,256]
   23.88GiB( 93%);   16.00MiB;   4190076928;                2; bf16[2,1,4096,4,256], bf16[4,256,4096,2]
   23.89GiB( 93%);   16.00MiB;   4232019968;                2; bf16[1,4096,8,128], f32[1,4096,4,256]
   23.91GiB( 93%);   16.00MiB;   4220747776;                1; bf16[4,256,4096,2]
   23.92GiB( 93%);   16.00MiB;   4573855744;                2; bf16[2,1,4096,4,256], bf16[4,256,4096,2]
