Memory Space: default (color=0)
Total bytes: 19964856832 (18.59GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  256.00MiB(  1%);  256.00MiB;   3714285568;                1; bf16[4,4096,4096,2]
  512.00MiB(  3%);  256.00MiB;   5324898304;                1; bf16[4,4096,4096,2]
  768.00MiB(  4%);  256.00MiB;   6667075584;                1; bf16[4,4096,4096,2]
    1.00GiB(  5%);  256.00MiB;   2372108288;                5; 2×bf16[4,4096,4096,2], 3×bf16[4096,10240]
    1.25GiB(  6%);  256.00MiB;   9082994688;                8; bf16[4,4096,2,4096], 7×bf16[4096,10240]
    1.50GiB(  8%);  256.00MiB;   8814559232;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    1.75GiB(  9%);  256.00MiB;   8546123776;                8; 2×bf16[4,4096,2,4096], 2×bf16[4,4096,4096,2], 4×bf16[4096,10240]
    2.00GiB( 10%);  256.00MiB;   8277688320;               14; 2×bf16[4,4096,2,4096], 2×f32[1,4096,4,2,256], 4×bf16[4,4096,4096,2], 6×bf16[4096,10240]
    2.25GiB( 12%);  256.00MiB;   8009252864;                9; bf16[4096,8,256], 2×bf16[4096,10240], 3×bf16[4,4096,2,4096], 3×bf16[4,4096,4096,2]
    2.50GiB( 13%);  256.00MiB;   7740817408;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    2.75GiB( 14%);  256.00MiB;   7472381952;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.00GiB( 15%);  256.00MiB;   7203946496;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.25GiB( 17%);  256.00MiB;   6935511040;                3; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096]
    3.50GiB( 18%);  256.00MiB;   6398640128;                5; bf16[4,4096,4096,2], 4×bf16[4,4096,2,4096]
    3.75GiB( 19%);  256.00MiB;   6130204672;                9; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 6×bf16[4096,10240]
    4.00GiB( 21%);  256.00MiB;   5861769216;                9; bf16[4,4096,4096,2], 2×bf16[4,4096,2,4096], 6×bf16[4096,10240]
