Memory Space: default (color=0)
Total bytes: 10034328064 (9.34GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
    1.00GiB( 10%);    1.00GiB;    439025664;                2; 2×bf16[1,2048,262144]
    2.00GiB( 21%);    1.00GiB;   1512767488;                2; bf16[1,2047,262144], bf16[2048,320]
    2.19GiB( 23%);  192.00MiB;    245563392;               38; bf16[262144,320], bf16[4,256,2048,2], 2×bf16[2,1,2048,4,256], 34×bf16[2048,10240]
    2.25GiB( 23%);   64.00MiB;    363397120;                1; bf16[4,2048,2048,2]
    2.31GiB( 24%);   64.00MiB;   1707081728;                1; bf16[4,2048,2048,2]
    2.38GiB( 24%);   64.00MiB;   2462056448;                2; bf16[2048,10240], bf16[4,2048,2048,2]
    2.44GiB( 25%);   64.00MiB;   2696937472;                2; bf16[2048,10240], bf16[4,2048,2,2048]
    2.50GiB( 26%);   64.00MiB;   2243952640;                3; bf16[2048,10240], bf16[2048,4,2,256], bf16[4,2048,2048,2]
    2.56GiB( 26%);   64.00MiB;   2831155200;                2; bf16[2048,10240], bf16[4,2048,2048,2]
    2.62GiB( 27%);   64.00MiB;   2982150144;                7; bf16[4,2048,2,2048], bf16[4,2048,2048,2], 5×bf16[2048,10240]
    2.69GiB( 28%);   64.00MiB;   3175088128;                7; bf16[4,2048,2,2048], bf16[4,2048,2048,2], 5×bf16[2048,10240]
    2.75GiB( 28%);   64.00MiB;   3602907136;                2; bf16[2048,10240], bf16[4,2048,2048,2]
    2.81GiB( 29%);   64.00MiB;   3409969152;                3; bf16[2048,10240], 2×bf16[4,2048,2048,2]
    2.88GiB( 30%);   64.00MiB;   4307550208;                3; bf16[4,2048,2048,2], 2×bf16[2048,10240]
    2.94GiB( 30%);   64.00MiB;   2764046336;                2; bf16[2048,10240], bf16[4,2048,2048,2]
    3.00GiB( 31%);   64.00MiB;   4735369216;                2; bf16[2048,10240], bf16[4,2048,2048,2]
