Memory Space: default (color=0)
Total bytes: 11150060032 (10.38GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
    1.00GiB(  9%);    1.00GiB;   6295404544;                2; 2×bf16[1,2048,262144]
    2.00GiB( 18%);    1.00GiB;   7369195520;                2; bf16[1,2047,262144], bf16[2048,320]
    2.19GiB( 20%);  192.00MiB;    196395008;                2; bf16[2,1,2048,4,256], bf16[262144,320]
    2.25GiB( 21%);   64.00MiB;   6135889920;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.31GiB( 21%);   64.00MiB;   5959450624;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.38GiB( 22%);   64.00MiB;   5783011328;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.44GiB( 23%);   64.00MiB;   5606506496;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.50GiB( 23%);   64.00MiB;   5430001664;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.56GiB( 24%);   64.00MiB;   5253496832;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.62GiB( 24%);   64.00MiB;   5076992000;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.69GiB( 25%);   64.00MiB;   4900487168;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.75GiB( 25%);   64.00MiB;   4723982336;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.81GiB( 26%);   64.00MiB;   4545380352;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.88GiB( 27%);   64.00MiB;   4364681216;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    2.94GiB( 27%);   64.00MiB;   4183982080;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.00GiB( 28%);   64.00MiB;   4003282944;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.06GiB( 28%);   64.00MiB;   3818586112;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.12GiB( 29%);   64.00MiB;   3632578560;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.19GiB( 29%);   64.00MiB;   3446571008;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.25GiB( 30%);   64.00MiB;   3260694528;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.31GiB( 31%);   64.00MiB;   3074949120;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.38GiB( 31%);   64.00MiB;   2889203712;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.44GiB( 32%);   64.00MiB;   2703458304;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.50GiB( 32%);   64.00MiB;   2517712896;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.56GiB( 33%);   64.00MiB;   2331967488;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.62GiB( 33%);   64.00MiB;   2146222080;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.69GiB( 34%);   64.00MiB;   1964474368;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.75GiB( 35%);   64.00MiB;   1784037376;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.81GiB( 35%);   64.00MiB;   1603600384;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.88GiB( 36%);   64.00MiB;   1423163392;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    3.94GiB( 36%);   64.00MiB;   1242726400;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    4.00GiB( 37%);   64.00MiB;   1062289408;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    4.06GiB( 38%);   64.00MiB;    879755264;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    4.12GiB( 38%);   64.00MiB;    699318272;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    4.19GiB( 39%);   64.00MiB;    518881280;                2; bf16[4,2048,2,2048], bf16[4,2048,2048,2]
    4.25GiB( 39%);   64.00MiB;    223739904;                1; bf16[4,2048,2048,2]
    4.29GiB( 40%);   40.00MiB;    413941760;                2; 2×bf16[2048,10240]
    4.33GiB( 40%);   40.00MiB;    455884800;                2; 2×bf16[2048,10240]
