Memory Space: default (color=0)
Total bytes: 16180931584 (15.07GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  640.00MiB(  1%);  640.00MiB;   1358675968;               18; 18×bf16[32768,10240]
    1.25GiB(  1%);  640.00MiB;   1369161728;                2; 2×bf16[32768,10240]
    1.88GiB(  2%);  640.00MiB;   1390133248;                2; 2×bf16[32768,10240]
    2.50GiB(  3%);  640.00MiB;   1411104768;                2; 2×bf16[32768,10240]
    3.12GiB(  3%);  640.00MiB;   1432076288;                2; 2×bf16[32768,10240]
    3.75GiB(  4%);  640.00MiB;   1453047808;                2; 2×bf16[32768,10240]
    4.38GiB(  5%);  640.00MiB;   1474019328;                4; 4×bf16[32768,10240]
    5.00GiB(  5%);  640.00MiB;   1484505088;                2; 2×bf16[32768,10240]
    5.62GiB(  6%);  640.00MiB;   1526448128;                4; 4×bf16[32768,10240]
    6.25GiB(  7%);  640.00MiB;    813416448;               10; bf16[1,32768,4,128], bf16[1,32768,8,256], f32[4,2,32768,128], 2×bf16[32768,10240], 2×bf16[32768,160], 3×bf16[2,1,32768,4,256]
    6.88GiB(  7%);  640.00MiB;    802930688;               10; bf16[1,32768,4,128], 2×bf16[32768,160], 3×bf16[2,1,32768,4,256], 4×bf16[32768,10240]
    7.50GiB(  8%);  640.00MiB;    781959168;                4; 2×bf16[32768,10240], 2×bf16[32768,160]
    8.12GiB(  9%);  640.00MiB;    760987648;                4; 2×bf16[32768,10240], 2×bf16[32768,160]
    8.75GiB(  9%);  640.00MiB;    740016128;                4; 2×bf16[32768,10240], 2×bf16[32768,160]
    9.38GiB( 10%);  640.00MiB;    719044608;                4; 2×bf16[32768,10240], 2×bf16[32768,160]
   10.00GiB( 11%);  640.00MiB;    698073088;                4; 2×bf16[32768,10240], 2×bf16[32768,160]
   10.62GiB( 11%);  640.00MiB;    446414848;                6; bf16[1,32768,4,128], 2×bf16[32768,10240], 3×bf16[32768,160]
   11.25GiB( 12%);  640.00MiB;    425443328;                6; bf16[1,32768,4,128], 2×bf16[32768,10240], 3×bf16[32768,160]
   11.88GiB( 12%);  640.00MiB;    404471808;                6; bf16[4,32768,256], 2×bf16[32768,10240], 3×bf16[32768,160]
   12.50GiB( 13%);  640.00MiB;    383500288;                6; bf16[4,32768,256], 2×bf16[32768,10240], 3×bf16[32768,160]
   13.12GiB( 14%);  640.00MiB;    236699648;                5; bf16[1,32768,160], 2×bf16[32768,10240], 2×bf16[32768,160]
   13.75GiB( 14%);  640.00MiB;    257671168;                5; bf16[1,32768,160], 2×bf16[32768,10240], 2×bf16[32768,160]
   14.38GiB( 15%);  640.00MiB;    320585728;               10; bf16[1,32768,160], bf16[1,32768,4,128], 2×bf16[32768,10240], 3×bf16[2,1,32768,4,256], 3×bf16[32768,160]
   15.00GiB( 16%);  640.00MiB;    362528768;                7; bf16[1,32768,160], bf16[4,32768,256], 2×bf16[32768,10240], 3×bf16[32768,160]
