Memory Space: default (color=0)
Total bytes: 23427397632 (21.82GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
    2.00GiB(  6%);    2.00GiB;  12998868992;               14; bf16[16384,4,16384], 13×pred[16384,16384]
    4.00GiB( 12%);    2.00GiB;  15146352640;                8; 3×pred[16384,16384], 5×bf16[16384,4,16384]
    6.00GiB( 18%);    2.00GiB;  10851385344;                3; pred[16384,16384], 2×bf16[16384,4,16384]
    8.00GiB( 24%);    2.00GiB;   8703901696;                4; pred[16384,16384], 3×bf16[16384,4,16384]
   10.00GiB( 30%);    2.00GiB;   4408934400;               15; pred[16384,16384], 14×bf16[16384,4,16384]
   12.00GiB( 36%);    2.00GiB;   6556418048;                3; pred[16384,16384], 2×bf16[16384,4,16384]
   14.00GiB( 42%);    2.00GiB;    113967104;              112; bf16[1,16384,288], bf16[262144,288], 54×bf16[16384,6912], 56×bf16[16384,4,16384]
   16.00GiB( 48%);    2.00GiB;   2261450752;               22; pred[16384,16384], 21×bf16[16384,4,16384]
   16.25GiB( 48%);  256.00MiB;   6824853504;                1; pred[16384,16384]
   16.50GiB( 49%);  256.00MiB;   7093288960;                1; pred[16384,16384]
   16.75GiB( 50%);  256.00MiB;   7361724416;                1; pred[16384,16384]
   17.00GiB( 51%);  256.00MiB;   7630159872;                1; pred[16384,16384]
   17.25GiB( 51%);  256.00MiB;   7898595328;                1; pred[16384,16384]
   17.50GiB( 52%);  256.00MiB;   8167030784;                1; pred[16384,16384]
   17.75GiB( 53%);  256.00MiB;   8435466240;                1; pred[16384,16384]
   18.00GiB( 54%);  256.00MiB;   8972337152;                1; pred[16384,16384]
   18.25GiB( 54%);  256.00MiB;   9240772608;                1; pred[16384,16384]
   18.50GiB( 55%);  256.00MiB;   9509208064;                1; pred[16384,16384]
   18.75GiB( 56%);  256.00MiB;   9777643520;                1; pred[16384,16384]
   19.00GiB( 56%);  256.00MiB;  10046078976;                1; pred[16384,16384]
   19.25GiB( 57%);  256.00MiB;  10314514432;                1; pred[16384,16384]
   19.50GiB( 58%);  256.00MiB;  10582949888;                1; pred[16384,16384]
   19.75GiB( 59%);  256.00MiB;  17562271744;                2; bf16[1,16384,288], pred[16384,16384]
   20.00GiB( 59%);  256.00MiB;  17293836288;                5; 5×pred[16384,16384]
   20.25GiB( 60%);  256.00MiB;  11119820800;                2; bf16[16384,4,256], pred[16384,16384]
   20.46GiB( 61%);  216.00MiB;   6153764864;                2; 2×bf16[16384,6912]
   20.67GiB( 61%);  216.00MiB;   2982871040;                2; 2×bf16[16384,6912]
   20.88GiB( 62%);  216.00MiB;   4568317952;                2; 2×bf16[16384,6912]
   21.09GiB( 63%);  216.00MiB;   3209363456;                2; 2×bf16[16384,6912]
   21.30GiB( 63%);  216.00MiB;   4794810368;                2; 2×bf16[16384,6912]
   21.52GiB( 64%);  216.00MiB;   3435855872;                2; 2×bf16[16384,6912]
   21.73GiB( 65%);  216.00MiB;   5021302784;                2; 2×bf16[16384,6912]
   21.94GiB( 65%);  216.00MiB;   3662348288;                2; 2×bf16[16384,6912]
   22.15GiB( 66%);  216.00MiB;   5247795200;                2; 2×bf16[16384,6912]
   22.36GiB( 66%);  216.00MiB;   3888840704;                2; 2×bf16[16384,6912]
   22.57GiB( 67%);  216.00MiB;   5474287616;                2; 2×bf16[16384,6912]
   22.78GiB( 68%);  216.00MiB;   4115333120;                2; 2×bf16[16384,6912]
   22.99GiB( 68%);  216.00MiB;   5700780032;                2; 2×bf16[16384,6912]
   23.20GiB( 69%);  216.00MiB;   4341825536;                2; 2×bf16[16384,6912]
   23.41GiB( 70%);  216.00MiB;   5927272448;                2; 2×bf16[16384,6912]
   23.62GiB( 70%);  216.00MiB;    340459520;               55; bf16[1,16384,288], 54×bf16[16384,6912]
   23.84GiB( 71%);  216.00MiB;    566951936;                2; 2×bf16[16384,6912]
   24.05GiB( 71%);  216.00MiB;    793444352;                2; 2×bf16[16384,6912]
