Memory Space: default (color=0)
Total bytes: 16698852864 (15.55GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  512.00MiB(  3%);  512.00MiB;   7096483840;                2; 2×bf16[8192,4,8192]
    1.00GiB(  7%);  512.00MiB;  10317709312;                3; bf16[8192,4,256], 2×bf16[8192,4,8192]
    1.50GiB( 10%);  512.00MiB;   3875258368;                5; bf16[8192,4,256], 4×bf16[8192,4,8192]
    2.00GiB( 13%);  512.00MiB;  12465192960;                3; pred[8192,8192], 2×bf16[8192,4,8192]
    2.50GiB( 17%);  512.00MiB;  13002063872;                2; bf16[8192,4,8192], pred[8192,8192]
    3.00GiB( 20%);  512.00MiB;  11928322048;                3; 3×bf16[8192,4,8192]
    3.50GiB( 24%);  512.00MiB;  11391451136;                2; 2×bf16[8192,4,8192]
    4.00GiB( 27%);  512.00MiB;  10854580224;                2; 2×bf16[8192,4,8192]
    4.50GiB( 30%);  512.00MiB;   9780838400;                2; 2×bf16[8192,4,8192]
    5.00GiB( 34%);  512.00MiB;   9243967488;                3; 3×bf16[8192,4,8192]
    5.50GiB( 37%);  512.00MiB;   8707096576;                2; 2×bf16[8192,4,8192]
    6.00GiB( 40%);  512.00MiB;   8170225664;                2; 2×bf16[8192,4,8192]
    6.50GiB( 44%);  512.00MiB;   7633354752;                2; 2×bf16[8192,4,8192]
    7.00GiB( 47%);  512.00MiB;   6559612928;                2; 2×bf16[8192,4,8192]
    7.50GiB( 50%);  512.00MiB;   6022742016;                3; 3×bf16[8192,4,8192]
    8.00GiB( 54%);  512.00MiB;   5485871104;                2; 2×bf16[8192,4,8192]
    8.50GiB( 57%);  512.00MiB;   4949000192;                2; 2×bf16[8192,4,8192]
    9.00GiB( 61%);  512.00MiB;   4412129280;                2; 2×bf16[8192,4,8192]
    9.50GiB( 64%);  512.00MiB;   3338387456;                2; 2×bf16[8192,4,8192]
   10.00GiB( 67%);  512.00MiB;   2801516544;                3; 3×bf16[8192,4,8192]
   10.50GiB( 71%);  512.00MiB;   2264645632;                2; 2×bf16[8192,4,8192]
   11.00GiB( 74%);  512.00MiB;   1727774720;                2; 2×bf16[8192,4,8192]
   11.50GiB( 77%);  512.00MiB;   1190903808;                3; pred[8192,8192], 2×bf16[8192,4,8192]
   12.00GiB( 81%);  512.00MiB;    117161984;               53; bf16[262144,288], 25×bf16[8192,6912], 27×bf16[8192,4,8192]
   12.50GiB( 84%);  512.00MiB;    654032896;                5; bf16[1,8192,288], bf16[8192,6912], pred[8192,8192], 2×bf16[8192,4,8192]
   12.52GiB( 84%);   16.00MiB;  13555712000;                1; bf16[8192,4,256]
   12.53GiB( 84%);   16.00MiB;  14394572800;                1; bf16[8192,4,256]
   12.55GiB( 84%);   16.00MiB;  14142914560;                2; 2×bf16[8192,4,256]
   12.56GiB( 84%);   16.00MiB;  14176468992;                2; 2×bf16[8192,4,256]
   12.58GiB( 85%);   16.00MiB;  14210023424;                2; 2×bf16[8192,4,256]
   12.59GiB( 85%);   16.00MiB;  14411350016;                3; bf16[2,1,8192,1,256], bf16[8192,4,128], bf16[8192,4,256]
   12.61GiB( 85%);   16.00MiB;  13069172736;                2; 2×bf16[8192,4,256]
   12.62GiB( 85%);   16.00MiB;  13085949952;                2; 2×bf16[8192,4,256]
   12.64GiB( 85%);   16.00MiB;  14377795584;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.66GiB( 85%);   16.00MiB;  13102727168;                3; 3×bf16[8192,4,256]
   12.67GiB( 85%);   16.00MiB;  14361018368;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.69GiB( 85%);   16.00MiB;  13119504384;                3; 3×bf16[8192,4,256]
   12.70GiB( 85%);   16.00MiB;  14344241152;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.72GiB( 86%);   16.00MiB;  13136281600;                3; 3×bf16[8192,4,256]
   12.73GiB( 86%);   16.00MiB;  14327463936;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.75GiB( 86%);   16.00MiB;  13153058816;                4; 4×bf16[8192,4,256]
   12.77GiB( 86%);   16.00MiB;  14310686720;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.78GiB( 86%);   16.00MiB;  13169836032;                3; 3×bf16[8192,4,256]
   12.80GiB( 86%);   16.00MiB;  14293909504;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.81GiB( 86%);   16.00MiB;  13186613248;                3; 3×bf16[8192,4,256]
   12.83GiB( 86%);   16.00MiB;  14277132288;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.84GiB( 86%);   16.00MiB;  13203390464;                3; 3×bf16[8192,4,256]
   12.86GiB( 86%);   16.00MiB;  14260355072;                2; bf16[8192,4,128], bf16[8192,4,256]
   12.88GiB( 87%);   16.00MiB;  13220167680;                3; 3×bf16[8192,4,256]
   12.89GiB( 87%);   16.00MiB;  13236944896;                3; 3×bf16[8192,4,256]
   12.91GiB( 87%);   16.00MiB;  14193246208;                3; 3×bf16[8192,4,256]
   12.92GiB( 87%);   16.00MiB;  14159691776;                3; 3×bf16[8192,4,256]
   12.94GiB( 87%);   16.00MiB;  14126137344;                3; 3×bf16[8192,4,256]
   12.95GiB( 87%);   16.00MiB;  14092582912;                3; 3×bf16[8192,4,256]
   12.97GiB( 87%);   16.00MiB;  14008696832;                3; 3×bf16[8192,4,256]
   12.98GiB( 87%);   16.00MiB;  13941587968;                3; 3×bf16[8192,4,256]
   13.00GiB( 87%);   16.00MiB;  13874479104;                3; 3×bf16[8192,4,256]
   13.02GiB( 88%);   16.00MiB;  13807370240;                2; 2×bf16[8192,4,256]
   13.03GiB( 88%);   16.00MiB;  13757038592;                2; 2×bf16[8192,4,256]
   13.05GiB( 88%);   16.00MiB;  13689929728;                2; 2×bf16[8192,4,256]
   13.06GiB( 88%);   16.00MiB;  13622820864;                2; 2×bf16[8192,4,256]
   13.08GiB( 88%);   16.00MiB;  14243577856;                3; bf16[1,8192,288], bf16[8192,4,128], bf16[8192,4,256]
   13.09GiB( 88%);   16.00MiB;  13253722112;               15; 15×bf16[8192,4,256]
   13.11GiB( 88%);   16.00MiB;  13538934784;                1; bf16[8192,4,256]
   13.12GiB( 88%);   16.00MiB;  14226800640;               13; bf16[8192,4,256], 12×bf16[8192,4,128]
   13.14GiB( 88%);   16.00MiB;  13572489216;                1; bf16[8192,4,256]
   13.16GiB( 88%);   16.00MiB;  13589266432;                2; bf16[8192,288], bf16[8192,4,256]
   13.17GiB( 89%);   16.00MiB;  13606043648;                2; bf16[8192,288], bf16[8192,4,256]
   13.19GiB( 89%);   16.00MiB;  13639598080;                2; bf16[8192,288], bf16[8192,4,256]
   13.20GiB( 89%);   16.00MiB;  13656375296;                2; bf16[8192,288], bf16[8192,4,256]
   13.22GiB( 89%);   16.00MiB;  13673152512;                2; bf16[8192,288], bf16[8192,4,256]
   13.23GiB( 89%);   16.00MiB;  13706706944;                1; bf16[8192,4,256]
   13.25GiB( 89%);   16.00MiB;  13723484160;                2; bf16[8192,288], bf16[8192,4,256]
   13.27GiB( 89%);   16.00MiB;  13740261376;                2; bf16[8192,288], bf16[8192,4,256]
   13.28GiB( 89%);   16.00MiB;  13773815808;                2; bf16[8192,288], bf16[8192,4,256]
   13.30GiB( 89%);   16.00MiB;  13790593024;                1; bf16[8192,4,256]
   13.31GiB( 90%);   16.00MiB;  13824147456;                1; bf16[8192,4,256]
   13.33GiB( 90%);   16.00MiB;  13840924672;                1; bf16[8192,4,256]
   13.34GiB( 90%);   16.00MiB;  13857701888;                1; bf16[8192,4,256]
   13.36GiB( 90%);   16.00MiB;  13891256320;                1; bf16[8192,4,256]
   13.38GiB( 90%);   16.00MiB;  13908033536;                1; bf16[8192,4,256]
   13.39GiB( 90%);   16.00MiB;  13924810752;                1; bf16[8192,4,256]
   13.41GiB( 90%);   16.00MiB;  13958365184;                1; bf16[8192,4,256]
   13.42GiB( 90%);   16.00MiB;  13975142400;                1; bf16[8192,4,256]
   13.44GiB( 90%);   16.00MiB;  13991919616;                1; bf16[8192,4,256]
   13.45GiB( 90%);   16.00MiB;  14025474048;                1; bf16[8192,4,256]
   13.47GiB( 91%);   16.00MiB;  14042251264;                1; bf16[8192,4,256]
   13.48GiB( 91%);   16.00MiB;  14059028480;                1; bf16[8192,4,256]
   13.50GiB( 91%);   16.00MiB;  14075805696;                1; bf16[8192,4,256]
   13.52GiB( 91%);   16.00MiB;  14109360128;                2; bf16[8192,288], bf16[8192,4,256]
   13.52GiB( 91%);    8.00MiB;  14428127232;                1; bf16[2,1,8192,1,256]
   13.53GiB( 91%);    8.00MiB;  14461681664;                1; bf16[8192,4,128]
   13.54GiB( 91%);    8.00MiB;  14470070272;                1; bf16[8192,4,128]
   13.55GiB( 91%);    8.00MiB;  14453293056;                1; bf16[2,1,8192,1,256]
   13.55GiB( 91%);    8.00MiB;  14486847488;                1; bf16[8192,4,128]
   13.56GiB( 91%);    8.00MiB;  14495236096;                1; bf16[8192,4,128]
   13.57GiB( 91%);    8.00MiB;  14478458880;                1; bf16[2,1,8192,1,256]
   13.58GiB( 91%);    8.00MiB;  14512013312;                1; bf16[8192,4,128]
   13.59GiB( 91%);    8.00MiB;  14520401920;                1; bf16[8192,4,128]
   13.59GiB( 91%);    8.00MiB;  14503624704;                1; bf16[2,1,8192,1,256]
   13.60GiB( 91%);    8.00MiB;  14537179136;                1; bf16[8192,4,128]
   13.61GiB( 92%);    8.00MiB;  14545567744;                1; bf16[8192,4,128]
   13.62GiB( 92%);    8.00MiB;  14528790528;                1; bf16[2,1,8192,1,256]
   13.62GiB( 92%);    8.00MiB;  14562344960;                1; bf16[8192,4,128]
   13.63GiB( 92%);    8.00MiB;  14570733568;                1; bf16[8192,4,128]
   13.64GiB( 92%);    8.00MiB;  14553956352;                1; bf16[2,1,8192,1,256]
   13.65GiB( 92%);    8.00MiB;  14587510784;                1; bf16[8192,4,128]
   13.66GiB( 92%);    8.00MiB;  14595899392;                1; bf16[8192,4,128]
   13.66GiB( 92%);    8.00MiB;  14579122176;                1; bf16[2,1,8192,1,256]
   13.67GiB( 92%);    8.00MiB;  14612676608;                1; bf16[8192,4,128]
   13.68GiB( 92%);    8.00MiB;  14621065216;                1; bf16[8192,4,128]
   13.69GiB( 92%);    8.00MiB;  14604288000;                1; bf16[2,1,8192,1,256]
   13.70GiB( 92%);    8.00MiB;  14637842432;                1; bf16[8192,4,128]
   13.70GiB( 92%);    8.00MiB;  14646231040;                1; bf16[8192,4,128]
   13.71GiB( 92%);    8.00MiB;  14629453824;                1; bf16[2,1,8192,1,256]
   13.72GiB( 92%);    8.00MiB;  14663008256;                1; bf16[8192,4,128]
   13.73GiB( 92%);    8.00MiB;  14671396864;                1; bf16[8192,4,128]
