Memory Space: default (color=0)
Total bytes: 24880565760 (23.17GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
    8.00GiB( 31%);    8.00GiB;     79429632;               81; bf16[1,32768,640], 3×bf16[1,32768,4,256], 5×bf16[32768,4,256], 20×bf16[32768,2048], 52×bf16[32768,4,32768]
   16.00GiB( 62%);    8.00GiB;   8669364224;               45; pred[32768,32768], 7×bf16[1,32768,640], 37×bf16[32768,4,32768]
   17.00GiB( 66%);    1.00GiB;  17259298816;                2; 2×pred[32768,32768]
   18.00GiB( 70%);    1.00GiB;  18333040640;                9; bf16[1,32768,4,256], bf16[1,32768,640], bf16[32768,4,128], pred[32768,32768], 2×bf16[32768,640], 3×bf16[32768,4,256]
   18.12GiB( 70%);  128.00MiB;   9743106048;               17; bf16[32768,4,256], 16×bf16[32768,2048]
   18.25GiB( 70%);  128.00MiB;    213647360;               22; bf16[1,32768,640], bf16[32768,4,128], 2×bf16[32768,640], 6×bf16[32768,4,256], 12×bf16[32768,2048]
   18.38GiB( 71%);  128.00MiB;  19406782464;               94; bf16[1,32768,1,256], 2×bf16[32768,640,1], 3×bf16[1,32768,4,256], 12×f32[1,32768,4,256], 19×bf16[1,32768,640], 22×bf16[32768,640], 35×bf16[32768,4,256]
   18.44GiB( 71%);   64.00MiB;    146538496;                8; 3×bf16[1,32768,4,256], 5×bf16[32768,4,256]
   18.50GiB( 71%);   64.00MiB;  20883177472;                3; bf16[1,32768,640], 2×bf16[32768,4,256]
   18.56GiB( 72%);   64.00MiB;  18668584960;                7; bf16[1,32768,4,256], bf16[1,32768,640], bf16[32768,4,128], bf16[32768,4,256], 3×bf16[32768,640]
   18.62GiB( 72%);   64.00MiB;  18869911552;                1; bf16[32768,4,256]
   18.69GiB( 72%);   64.00MiB;  19541000192;                2; bf16[1,32768,4,256], bf16[32768,4,256]
   18.75GiB( 72%);   64.00MiB;  18735693824;                2; bf16[1,32768,640], bf16[32768,4,256]
   18.81GiB( 73%);   64.00MiB;  18534367232;                3; 3×bf16[32768,4,256]
   18.88GiB( 73%);   64.00MiB;  18400149504;                5; bf16[1,32768,4,256], bf16[1,32768,640], bf16[32768,4,256], bf16[32768,640], f32[32768,128]
   18.94GiB( 73%);   64.00MiB;  21017395200;                3; bf16[32768,4,256], 2×bf16[1,32768,640]
   19.00GiB( 73%);   64.00MiB;  20950286336;                3; bf16[1,32768,1,128], bf16[1,32768,640], bf16[32768,4,256]
   19.06GiB( 74%);   64.00MiB;  21084504064;                1; bf16[32768,4,256]
   19.12GiB( 74%);   64.00MiB;  20748959744;                7; 2×bf16[1,32768,640], 5×bf16[32768,4,256]
   19.19GiB( 74%);   64.00MiB;  20614742016;                7; bf16[32768,640,1], bf16[32768,640], 2×bf16[1,32768,640], 3×bf16[32768,4,256]
   19.25GiB( 74%);   64.00MiB;  20816068608;                1; bf16[32768,4,256]
   19.31GiB( 75%);   64.00MiB;  20480524288;                4; bf16[1,32768,640], 3×bf16[32768,4,256]
   19.38GiB( 75%);   64.00MiB;  20681850880;                1; bf16[32768,4,256]
   19.44GiB( 75%);   64.00MiB;  20346306560;                4; bf16[1,32768,640], 3×bf16[32768,4,256]
   19.50GiB( 75%);   64.00MiB;  20547633152;                2; bf16[32768,4,128], bf16[32768,4,256]
   19.56GiB( 76%);   64.00MiB;  20279197696;                1; bf16[32768,4,256]
   19.62GiB( 76%);   64.00MiB;  20413415424;                2; bf16[32768,4,256], bf16[32768,640]
   19.69GiB( 76%);   64.00MiB;  20077871104;                3; bf16[1,32768,640], 2×bf16[32768,4,256]
   19.75GiB( 76%);   64.00MiB;  20212088832;                3; 3×bf16[32768,4,256]
   19.81GiB( 77%);   64.00MiB;  20010762240;                2; bf16[1,32768,640], bf16[32768,4,256]
   19.88GiB( 77%);   64.00MiB;  20144979968;                1; bf16[32768,4,256]
   19.94GiB( 77%);   64.00MiB;  19876544512;                3; bf16[32768,4,256], 2×bf16[1,32768,640]
   20.00GiB( 77%);   64.00MiB;  19943653376;                5; bf16[32768,4,128], bf16[32768,640], 3×bf16[32768,4,256]
   20.06GiB( 77%);   64.00MiB;  19809435648;                4; bf16[32768,4,128], 3×bf16[32768,4,256]
   20.12GiB( 78%);   64.00MiB;  19608109056;                2; bf16[32768,4,256], bf16[32768,640]
   20.19GiB( 78%);   64.00MiB;  19675217920;                3; 3×bf16[32768,4,256]
   20.25GiB( 78%);   64.00MiB;  19742326784;                6; bf16[32768,4,256], 5×bf16[1,32768,640]
   20.31GiB( 78%);   64.00MiB;  19473891328;               18; bf16[32768,640,1], 2×bf16[32768,4,128], 2×bf16[32768,640], 3×bf16[1,32768,4,256], 5×bf16[1,32768,640], 5×bf16[32768,4,256]
   20.38GiB( 79%);   64.00MiB;  18467258368;               11; bf16[1,32768,4,256], 3×bf16[32768,4,256], 7×bf16[1,32768,640]
