Memory Space: default (color=0)
Total bytes: 13598713344 (12.66GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  512.00MiB(  4%);  512.00MiB;    295550976;                1; bf16[8192,4,8192]
    1.00GiB(  8%);  512.00MiB;    923123712;                1; bf16[8192,4,8192]
    1.50GiB( 12%);  512.00MiB;   1550680064;                1; bf16[8192,4,8192]
    2.00GiB( 16%);  512.00MiB;   2178236416;                1; bf16[8192,4,8192]
    2.50GiB( 20%);  512.00MiB;   2805792768;                1; bf16[8192,4,8192]
    3.00GiB( 24%);  512.00MiB;   3433218048;                1; bf16[8192,4,8192]
    3.50GiB( 27%);  512.00MiB;   4060577792;                1; bf16[8192,4,8192]
    4.00GiB( 31%);  512.00MiB;   4687872000;                1; bf16[8192,4,8192]
    4.50GiB( 35%);  512.00MiB;   5315166208;                1; bf16[8192,4,8192]
    5.00GiB( 39%);  512.00MiB;   5942460416;                1; bf16[8192,4,8192]
    5.50GiB( 43%);  512.00MiB;   6569754624;                1; bf16[8192,4,8192]
    6.00GiB( 47%);  512.00MiB;   7197016064;                1; bf16[8192,4,8192]
    6.50GiB( 51%);  512.00MiB;   7824146432;                1; bf16[8192,4,8192]
    7.00GiB( 55%);  512.00MiB;   8451407872;                1; bf16[8192,4,8192]
    7.50GiB( 59%);  512.00MiB;   9078669312;                1; bf16[8192,4,8192]
    8.00GiB( 63%);  512.00MiB;   9706455040;                1; bf16[8192,4,8192]
    8.50GiB( 67%);  512.00MiB;  10334502912;                1; bf16[8192,4,8192]
    9.00GiB( 71%);  512.00MiB;  10962485248;                1; bf16[8192,4,8192]
    9.50GiB( 75%);  512.00MiB;  11925536768;                2; bf16[8192,4,8192], f32[1,8192,4,256]
   10.00GiB( 78%);  512.00MiB;  10958553088;               17; 17×bf16[8192,4,8192]
   10.06GiB( 79%);   64.00MiB;    228442112;                1; pred[8192,8192]
   10.12GiB( 79%);   64.00MiB;    161333248;                4; bf16[8192,4,256], pred[8192,8192], 2×f32[1,8192,4,256]
   10.16GiB( 80%);   32.00MiB;  11527012352;                3; bf16[1,8192,640], bf16[8192,2048], bf16[8192,640]
   10.19GiB( 80%);   32.00MiB;  12462407680;                1; f32[1,8192,4,256]
   10.22GiB( 80%);   32.00MiB;  10898964480;                3; bf16[1,8192,640], bf16[8192,2048], bf16[8192,640]
   10.25GiB( 80%);   32.00MiB;  11852070912;                2; bf16[1,8192,640], f32[1,8192,4,256]
   10.28GiB( 81%);   32.00MiB;  11831099392;                2; bf16[1,8192,640], f32[1,8192,4,256]
   10.31GiB( 81%);   32.00MiB;  11810127872;                2; bf16[1,8192,640], f32[1,8192,4,256]
   10.34GiB( 81%);   32.00MiB;  11805933568;                6; 6×f32[1,8192,4,256]
   10.38GiB( 81%);   32.00MiB;  11600412672;                2; bf16[1,8192,640], f32[1,8192,4,256]
   10.41GiB( 82%);   32.00MiB;  11579441152;                5; bf16[1,8192,640], f32[1,8192,4,256], 3×bf16[8192,640]
   10.44GiB( 82%);   32.00MiB;  11684298752;                3; bf16[1,8192,640], bf16[8192,4,256], f32[1,8192,4,256]
   10.47GiB( 82%);   32.00MiB;  11789156352;                3; bf16[1,8192,640], bf16[8192,4,256], f32[1,8192,4,256]
   10.48GiB( 82%);   16.00MiB;    832552960;                1; bf16[8192,4,256]
   10.50GiB( 82%);   16.00MiB;    881065984;                1; bf16[8192,4,256]
   10.52GiB( 83%);   16.00MiB;   1508638720;                1; bf16[8192,4,256]
   10.53GiB( 83%);   16.00MiB;   2136195072;                1; bf16[8192,4,256]
   10.55GiB( 83%);   16.00MiB;   2763751424;                1; bf16[8192,4,256]
   10.56GiB( 83%);   16.00MiB;   3391176704;                1; bf16[8192,4,256]
   10.58GiB( 83%);   16.00MiB;   4018536448;                1; bf16[8192,4,256]
   10.59GiB( 83%);   16.00MiB;   4645830656;                1; bf16[8192,4,256]
   10.61GiB( 83%);   16.00MiB;   5273124864;                1; bf16[8192,4,256]
   10.62GiB( 83%);   16.00MiB;   5900419072;                1; bf16[8192,4,256]
   10.64GiB( 84%);   16.00MiB;   6527713280;                1; bf16[8192,4,256]
   10.66GiB( 84%);   16.00MiB;   7155007488;                1; bf16[8192,4,256]
   10.67GiB( 84%);   16.00MiB;   7782137856;                1; bf16[8192,4,256]
   10.69GiB( 84%);   16.00MiB;   8409399296;                1; bf16[8192,4,256]
   10.70GiB( 84%);   16.00MiB;   9036660736;                1; bf16[8192,4,256]
   10.72GiB( 84%);   16.00MiB;   9632448512;                3; bf16[1,1,8192,1,256], bf16[8192,4,256], bf16[8192,640]
   10.73GiB( 84%);   16.00MiB;  11726241792;                3; bf16[1,1,8192,1,256], bf16[1,8192,640], bf16[8192,4,256]
   10.75GiB( 84%);   16.00MiB;  11705270272;                3; bf16[1,8192,640], bf16[8192,4,256], bf16[8192,640]
   10.77GiB( 84%);   16.00MiB;  11621384192;                3; bf16[1,8192,640], bf16[8192,4,256], bf16[8192,640]
   10.78GiB( 85%);   16.00MiB;   2104459264;                3; bf16[1,1,8192,1,256], bf16[8192,4,256], f32[8192]
   10.80GiB( 85%);   16.00MiB;   1476902912;                3; bf16[8192,4,256], bf16[8192,640], f32[8192]
   10.81GiB( 85%);   16.00MiB;    119111680;                1; bf16[8192,4,256]
   10.83GiB( 85%);   16.00MiB;   1460125696;                1; bf16[8192,4,256]
   10.84GiB( 85%);   16.00MiB;   2087682048;                1; bf16[8192,4,256]
   10.86GiB( 85%);   16.00MiB;  11701075968;                4; bf16[8192,4,256], 3×bf16[8192,640]
   10.88GiB( 85%);   16.00MiB;   2715238400;                1; bf16[8192,4,256]
   10.89GiB( 85%);   16.00MiB;   4614225920;                8; f32[8192], 3×bf16[8192,4,256], 4×bf16[8192,640]
   10.91GiB( 86%);   16.00MiB;   3342794752;                1; bf16[8192,4,256]
   10.92GiB( 86%);   16.00MiB;   3359571968;                2; bf16[8192,4,256], f32[8192]
   10.94GiB( 86%);   16.00MiB;   3970154496;                1; bf16[8192,4,256]
   10.95GiB( 86%);   16.00MiB;   3986931712;                3; f32[8192], 2×bf16[8192,4,256]
   10.97GiB( 86%);   16.00MiB;   4597448704;                1; bf16[8192,4,256]
   10.98GiB( 86%);   16.00MiB;   7123402752;               10; f32[8192], 2×bf16[8192,4,256], 7×bf16[8192,640]
   11.00GiB( 86%);   16.00MiB;   5224742912;                1; bf16[8192,4,256]
   11.02GiB( 86%);   16.00MiB;   5852037120;                1; bf16[8192,4,256]
   11.03GiB( 87%);   16.00MiB;   5868814336;                2; bf16[8192,4,256], f32[8192]
   11.05GiB( 87%);   16.00MiB;   6479331328;                1; bf16[8192,4,256]
   11.06GiB( 87%);   16.00MiB;   6496108544;                2; bf16[8192,4,256], f32[8192]
   11.08GiB( 87%);   16.00MiB;   7106625536;                1; bf16[8192,4,256]
   11.09GiB( 87%);   16.00MiB;   9005187072;                8; bf16[1,8192,640], 3×bf16[8192,4,256], 4×bf16[8192,640]
   11.11GiB( 87%);   16.00MiB;  11747213312;                3; bf16[1,8192,640], 2×bf16[8192,4,256]
   11.12GiB( 87%);   16.00MiB;   7733886976;                1; bf16[8192,4,256]
   11.14GiB( 87%);   16.00MiB;  11768184832;                2; bf16[1,8192,640], bf16[8192,4,256]
   11.16GiB( 88%);   16.00MiB;   8361148416;                1; bf16[8192,4,256]
   11.17GiB( 88%);   16.00MiB;   8988409856;                1; bf16[8192,4,256]
   11.19GiB( 88%);   16.00MiB;  10888478720;                9; 2×bf16[8192,4,256], 7×bf16[8192,640]
   11.20GiB( 88%);   16.00MiB;   9615671296;                1; bf16[8192,4,256]
   11.22GiB( 88%);   16.00MiB;  10260496384;                6; 2×bf16[8192,4,256], 4×bf16[8192,640]
   11.23GiB( 88%);   16.00MiB;  10243457024;                1; bf16[8192,4,256]
   11.25GiB( 88%);   16.00MiB;   9664184320;                2; 2×bf16[8192,4,256]
   11.27GiB( 88%);   16.00MiB;  10871439360;                1; bf16[8192,4,256]
   11.28GiB( 89%);   16.00MiB;  10292232192;                2; 2×bf16[8192,4,256]
   11.30GiB( 89%);   16.00MiB;  11499487232;                1; bf16[8192,4,256]
   11.31GiB( 89%);   16.00MiB;  10920214528;                2; 2×bf16[8192,4,256]
   11.32GiB( 89%);   10.00MiB;    849362944;                1; bf16[8192,640]
   11.33GiB( 89%);   10.00MiB;    108609536;                1; bf16[8192,640]
   11.34GiB( 89%);   10.00MiB;  11537498112;                1; bf16[1,8192,640]
   11.35GiB( 89%);   10.00MiB;  11547983872;                1; bf16[1,8192,640]
   11.36GiB( 89%);   10.00MiB;    859914240;                1; bf16[8192,640]
   11.37GiB( 89%);   10.00MiB;    870432768;                1; bf16[8192,640]
   11.38GiB( 89%);   10.00MiB;   1476935680;                1; bf16[8192,640]
   11.39GiB( 89%);   10.00MiB;  11558469632;                1; bf16[1,8192,640]
   11.40GiB( 89%);   10.00MiB;  11568955392;                1; bf16[1,8192,640]
   11.41GiB( 90%);   10.00MiB;   1487486976;                1; bf16[8192,640]
   11.42GiB( 90%);   10.00MiB;   1498005504;                1; bf16[8192,640]
   11.43GiB( 90%);   10.00MiB;   2104492032;                1; bf16[8192,640]
   11.44GiB( 90%);   10.00MiB;  11589926912;                1; bf16[1,8192,640]
   11.45GiB( 90%);   10.00MiB;   2115043328;                1; bf16[8192,640]
   11.46GiB( 90%);   10.00MiB;   2125561856;                1; bf16[8192,640]
   11.47GiB( 90%);   10.00MiB;   2732048384;                1; bf16[8192,640]
   11.48GiB( 90%);   10.00MiB;  11610898432;                1; bf16[1,8192,640]
   11.49GiB( 90%);   10.00MiB;   2742599680;                1; bf16[8192,640]
   11.50GiB( 90%);   10.00MiB;   2753118208;                1; bf16[8192,640]
   11.51GiB( 90%);   10.00MiB;   3359604736;                1; bf16[8192,640]
   11.52GiB( 90%);   10.00MiB;   3370156032;                1; bf16[8192,640]
   11.53GiB( 90%);   10.00MiB;   3380674560;                1; bf16[8192,640]
   11.54GiB( 91%);   10.00MiB;   3986964480;                1; bf16[8192,640]
   11.55GiB( 91%);   10.00MiB;   3997515776;                1; bf16[8192,640]
   11.56GiB( 91%);   10.00MiB;   4008034304;                1; bf16[8192,640]
