Memory Space: default (color=0)
Total bytes: 14404810240 (13.42GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  320.00MiB(  1%);  320.00MiB;    825376768;                2; 2×bf16[16384,10240]
  640.00MiB(  2%);  320.00MiB;   1194475520;                2; 2×bf16[16384,10240]
  960.00MiB(  3%);  320.00MiB;   1563574272;                2; 2×bf16[16384,10240]
    1.25GiB(  4%);  320.00MiB;   1932673024;                2; 2×bf16[16384,10240]
    1.56GiB(  4%);  320.00MiB;   2301771776;                2; 2×bf16[16384,10240]
    1.88GiB(  5%);  320.00MiB;   2670870528;                2; 2×bf16[16384,10240]
    2.19GiB(  6%);  320.00MiB;   3039969280;                2; 2×bf16[16384,10240]
    2.50GiB(  7%);  320.00MiB;   3409068032;                2; 2×bf16[16384,10240]
    2.81GiB(  8%);  320.00MiB;   3778166784;                2; 2×bf16[16384,10240]
    3.12GiB(  9%);  320.00MiB;   4147265536;                2; 2×bf16[16384,10240]
    3.44GiB( 10%);  320.00MiB;   4516364288;                2; 2×bf16[16384,10240]
    3.75GiB( 11%);  320.00MiB;   4885463040;                2; 2×bf16[16384,10240]
    4.06GiB( 11%);  320.00MiB;   5254561792;                2; 2×bf16[16384,10240]
    4.38GiB( 12%);  320.00MiB;   5623660544;                2; 2×bf16[16384,10240]
    4.69GiB( 13%);  320.00MiB;   5992759296;                2; 2×bf16[16384,10240]
    5.00GiB( 14%);  320.00MiB;   6361858048;                2; 2×bf16[16384,10240]
    5.31GiB( 15%);  320.00MiB;   6730956800;                2; 2×bf16[16384,10240]
    5.62GiB( 16%);  320.00MiB;   7100055552;                2; 2×bf16[16384,10240]
    5.94GiB( 17%);  320.00MiB;   7469154304;                2; 2×bf16[16384,10240]
    6.25GiB( 18%);  320.00MiB;   7838253056;                2; 2×bf16[16384,10240]
    6.56GiB( 18%);  320.00MiB;   8207351808;                2; 2×bf16[16384,10240]
    6.88GiB( 19%);  320.00MiB;   8576450560;                2; 2×bf16[16384,10240]
    7.19GiB( 20%);  320.00MiB;   8945549312;                2; 2×bf16[16384,10240]
    7.50GiB( 21%);  320.00MiB;   9314648064;                2; 2×bf16[16384,10240]
    7.81GiB( 22%);  320.00MiB;   9683746816;                2; 2×bf16[16384,10240]
    8.12GiB( 23%);  320.00MiB;  10052845568;                2; 2×bf16[16384,10240]
    8.44GiB( 24%);  320.00MiB;  10421944320;                2; 2×bf16[16384,10240]
    8.75GiB( 25%);  320.00MiB;  10791043072;                2; 2×bf16[16384,10240]
    9.06GiB( 25%);  320.00MiB;  11160141824;                2; 2×bf16[16384,10240]
    9.38GiB( 26%);  320.00MiB;  11529240576;                2; 2×bf16[16384,10240]
    9.69GiB( 27%);  320.00MiB;  11898339328;                2; 2×bf16[16384,10240]
   10.00GiB( 28%);  320.00MiB;  12267438080;                2; 2×bf16[16384,10240]
   10.31GiB( 29%);  320.00MiB;  12636536832;                2; 2×bf16[16384,10240]
   10.62GiB( 30%);  320.00MiB;  13005635584;                2; 2×bf16[16384,10240]
   10.94GiB( 31%);  320.00MiB;  12670091264;                2; 2×bf16[16384,10240]
   11.25GiB( 32%);  320.00MiB;  12300992512;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   11.56GiB( 33%);  320.00MiB;  11931893760;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   11.88GiB( 33%);  320.00MiB;  11562795008;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   12.19GiB( 34%);  320.00MiB;  11193696256;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   12.50GiB( 35%);  320.00MiB;  10824597504;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   12.81GiB( 36%);  320.00MiB;  10455498752;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   13.12GiB( 37%);  320.00MiB;  10086400000;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   13.44GiB( 38%);  320.00MiB;   9717301248;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   13.75GiB( 39%);  320.00MiB;   9348202496;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   14.06GiB( 40%);  320.00MiB;   8979103744;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   14.38GiB( 40%);  320.00MiB;   8610004992;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   14.69GiB( 41%);  320.00MiB;   8240906240;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   15.00GiB( 42%);  320.00MiB;   7871807488;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   15.31GiB( 43%);  320.00MiB;   7502708736;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   15.62GiB( 44%);  320.00MiB;   7133609984;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   15.94GiB( 45%);  320.00MiB;   6764511232;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   16.25GiB( 46%);  320.00MiB;   6395412480;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   16.56GiB( 47%);  320.00MiB;   6026313728;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   16.88GiB( 47%);  320.00MiB;   5657214976;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   17.19GiB( 48%);  320.00MiB;   5288116224;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   17.50GiB( 49%);  320.00MiB;   4919017472;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   17.81GiB( 50%);  320.00MiB;   4549918720;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   18.12GiB( 51%);  320.00MiB;   4180819968;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   18.44GiB( 52%);  320.00MiB;   3811721216;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   18.75GiB( 53%);  320.00MiB;   3442622464;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   19.06GiB( 54%);  320.00MiB;   3073523712;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   19.38GiB( 54%);  320.00MiB;   2704424960;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   19.69GiB( 55%);  320.00MiB;   2335326208;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   20.00GiB( 56%);  320.00MiB;   1966227456;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   20.31GiB( 57%);  320.00MiB;   1597128704;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   20.62GiB( 58%);  320.00MiB;   1228029952;                6; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   20.94GiB( 59%);  320.00MiB;    858931200;                8; bf16[1,1,16384,4,256], f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,4,2,256], 2×bf16[16384,8,256]
   21.25GiB( 60%);  320.00MiB;    489832448;                5; f32[1,16384,4,256], 2×bf16[16384,10240], 2×bf16[16384,8,256]
   21.38GiB( 60%);  128.00MiB;    131842048;                2; bf16[16384,160], bf16[262144,160]
   21.50GiB( 60%);  128.00MiB;  12535873536;                6; bf16[16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   21.62GiB( 61%);  128.00MiB;  12166774784;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   21.75GiB( 61%);  128.00MiB;  11797676032;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   21.88GiB( 61%);  128.00MiB;  11428577280;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.00GiB( 62%);  128.00MiB;  11059478528;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.12GiB( 62%);  128.00MiB;  10690379776;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.25GiB( 63%);  128.00MiB;  10321281024;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.38GiB( 63%);  128.00MiB;   9952182272;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.50GiB( 63%);  128.00MiB;   9583083520;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.62GiB( 64%);  128.00MiB;   9213984768;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.75GiB( 64%);  128.00MiB;   8844886016;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   22.88GiB( 64%);  128.00MiB;   8475787264;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.00GiB( 65%);  128.00MiB;   8106688512;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.12GiB( 65%);  128.00MiB;   7737589760;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.25GiB( 65%);  128.00MiB;   7368491008;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.38GiB( 66%);  128.00MiB;   6999392256;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.50GiB( 66%);  128.00MiB;   6630293504;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.62GiB( 66%);  128.00MiB;   6261194752;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.75GiB( 67%);  128.00MiB;   5892096000;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   23.88GiB( 67%);  128.00MiB;   5522997248;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.00GiB( 67%);  128.00MiB;   5153898496;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.12GiB( 68%);  128.00MiB;   4784799744;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.25GiB( 68%);  128.00MiB;   4415700992;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.38GiB( 69%);  128.00MiB;   4046602240;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.50GiB( 69%);  128.00MiB;   3677503488;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
   24.62GiB( 69%);  128.00MiB;   3308404736;                6; bf16[1,16384,160], bf16[4,16384,256], f32[1,4,2,16384,256], f32[4,2,16384,128], 2×bf16[16384,4,2,256]
