Memory Space: default (color=0)
Total bytes: 13300966912 (12.39GiB)
  cumulative_size;       size;       offset; used_by_n_values; shapes_list
  ------------------------------------------------------------
  512.00MiB( 38%);  512.00MiB;    219234304;                2; bf16[262144,960], bf16[512,960]
  768.00MiB( 57%);  256.00MiB;    772276224;                3; bf16[1,511,262144], bf16[1,512,960], bf16[512,960]
  776.00MiB( 57%);    8.00MiB;    255655936;                1; bf16[8,512,512,2]
  784.00MiB( 58%);    8.00MiB;    440074240;                1; bf16[8,512,512,2]
  792.00MiB( 59%);    8.00MiB;    458817536;                1; bf16[8,512,512,2]
  800.00MiB( 59%);    8.00MiB;    477560832;                1; bf16[8,512,512,2]
  808.00MiB( 60%);    8.00MiB;    496304128;                1; bf16[8,512,512,2]
  816.00MiB( 60%);    8.00MiB;    515047424;                1; bf16[8,512,512,2]
  824.00MiB( 61%);    8.00MiB;    226541568;                1; bf16[8,512,512,2]
  828.00MiB( 61%);    4.00MiB;    747339776;                1; bf16[8,256,512,2]
  832.00MiB( 61%);    4.00MiB;    791904256;                1; bf16[512,16,256]
  836.00MiB( 62%);    4.00MiB;    757694464;                1; bf16[8,256,512,2]
  840.00MiB( 62%);    4.00MiB;    785612800;                1; bf16[512,16,256]
  844.00MiB( 62%);    4.00MiB;    764968960;                1; bf16[8,256,512,2]
  848.00MiB( 63%);    4.00MiB;    776241152;                1; bf16[512,16,256]
  850.00MiB( 63%);    2.00MiB;    708067328;                1; bf16[1,512,16,128]
  852.00MiB( 63%);    2.00MiB;    705970176;                1; bf16[1,512,16,128]
  854.00MiB( 63%);    2.00MiB;    687357952;                1; bf16[1,512,16,128]
  856.00MiB( 63%);    2.00MiB;    685260800;                1; bf16[1,512,16,128]
  858.00MiB( 63%);    2.00MiB;    656293888;                1; bf16[1,512,16,128]
  860.00MiB( 64%);    2.00MiB;    654196736;                1; bf16[1,512,16,128]
  862.00MiB( 64%);    2.00MiB;    594132992;                1; bf16[1,512,16,128]
  864.00MiB( 64%);    2.00MiB;    592035840;                1; bf16[1,512,16,128]
  866.00MiB( 64%);    2.00MiB;    583712768;                1; bf16[1,512,16,128]
  868.00MiB( 64%);    2.00MiB;    581615616;                1; bf16[1,512,16,128]
  870.00MiB( 64%);    2.00MiB;    573292544;                1; bf16[1,512,16,128]
  872.00MiB( 64%);    2.00MiB;    571195392;                1; bf16[1,512,16,128]
  874.00MiB( 65%);    2.00MiB;    562872320;                1; bf16[1,512,16,128]
  876.00MiB( 65%);    2.00MiB;    560775168;                1; bf16[1,512,16,128]
  878.00MiB( 65%);    2.00MiB;    552452096;                1; bf16[1,512,16,128]
  880.00MiB( 65%);    2.00MiB;    550354944;                1; bf16[1,512,16,128]
  882.00MiB( 65%);    2.00MiB;    542048256;                1; bf16[1,512,16,128]
  884.00MiB( 65%);    2.00MiB;    539951104;                1; bf16[1,512,16,128]
  886.00MiB( 65%);    2.00MiB;    531693568;                1; bf16[1,512,16,128]
  888.00MiB( 66%);    2.00MiB;    529596416;                1; bf16[1,512,16,128]
  890.00MiB( 66%);    2.00MiB;    512950272;                1; bf16[1,512,16,128]
  892.00MiB( 66%);    2.00MiB;    510853120;                1; bf16[1,512,16,128]
  894.00MiB( 66%);    2.00MiB;    494206976;                1; bf16[1,512,16,128]
  896.00MiB( 66%);    2.00MiB;    492109824;                1; bf16[1,512,16,128]
  898.00MiB( 66%);    2.00MiB;    475463680;                1; bf16[1,512,16,128]
  900.00MiB( 66%);    2.00MiB;    473366528;                1; bf16[1,512,16,128]
  902.00MiB( 67%);    2.00MiB;    456720384;                1; bf16[1,512,16,128]
  904.00MiB( 67%);    2.00MiB;    454623232;                1; bf16[1,512,16,128]
  906.00MiB( 67%);    2.00MiB;    437977088;                1; bf16[1,512,16,128]
  908.00MiB( 67%);    2.00MiB;    435879936;                1; bf16[1,512,16,128]
  910.00MiB( 67%);    2.00MiB;    427622400;                1; bf16[1,512,16,128]
  912.00MiB( 67%);    2.00MiB;    425525248;                1; bf16[1,512,16,128]
  914.00MiB( 68%);    2.00MiB;    417267712;                1; bf16[1,512,16,128]
  916.00MiB( 68%);    2.00MiB;    415170560;                1; bf16[1,512,16,128]
  918.00MiB( 68%);    2.00MiB;    406913024;                1; bf16[1,512,16,128]
  920.00MiB( 68%);    2.00MiB;    404815872;                1; bf16[1,512,16,128]
  922.00MiB( 68%);    2.00MiB;    396558336;                1; bf16[1,512,16,128]
  924.00MiB( 68%);    2.00MiB;    394461184;                1; bf16[1,512,16,128]
  926.00MiB( 68%);    2.00MiB;    386203648;                1; bf16[1,512,16,128]
  928.00MiB( 69%);    2.00MiB;    384106496;                1; bf16[1,512,16,128]
  930.00MiB( 69%);    2.00MiB;    375848960;                1; bf16[1,512,16,128]
  932.00MiB( 69%);    2.00MiB;    373751808;                1; bf16[1,512,16,128]
  934.00MiB( 69%);    2.00MiB;    365494272;                1; bf16[1,512,16,128]
  936.00MiB( 69%);    2.00MiB;    363397120;                1; bf16[1,512,16,128]
  938.00MiB( 69%);    2.00MiB;    355139584;                1; bf16[1,512,16,128]
  940.00MiB( 69%);    2.00MiB;    353042432;                1; bf16[1,512,16,128]
  942.00MiB( 70%);    2.00MiB;    344784896;                1; bf16[1,512,16,128]
  944.00MiB( 70%);    2.00MiB;    342687744;                1; bf16[1,512,16,128]
  946.00MiB( 70%);    2.00MiB;    334430208;                1; bf16[1,512,16,128]
  948.00MiB( 70%);    2.00MiB;    332333056;                1; bf16[1,512,16,128]
  950.00MiB( 70%);    2.00MiB;    324075520;                1; bf16[1,512,16,128]
  952.00MiB( 70%);    2.00MiB;    321978368;                1; bf16[1,512,16,128]
  954.00MiB( 70%);    2.00MiB;    313720832;                1; bf16[1,512,16,128]
  956.00MiB( 71%);    2.00MiB;    311623680;                1; bf16[1,512,16,128]
  958.00MiB( 71%);    2.00MiB;    303366144;                1; bf16[1,512,16,128]
  960.00MiB( 71%);    2.00MiB;    301268992;                1; bf16[1,512,16,128]
  962.00MiB( 71%);    2.00MiB;    293011456;                1; bf16[1,512,16,128]
  964.00MiB( 71%);    2.00MiB;    290914304;                1; bf16[1,512,16,128]
  966.00MiB( 71%);    2.00MiB;    282656768;                1; bf16[1,512,16,128]
  968.00MiB( 72%);    2.00MiB;    280559616;                1; bf16[1,512,16,128]
  970.00MiB( 72%);    2.00MiB;    272302080;                1; bf16[1,512,16,128]
  972.00MiB( 72%);    2.00MiB;    270204928;                1; bf16[1,512,16,128]
  974.00MiB( 72%);    2.00MiB;    253558784;                1; bf16[1,512,16,128]
  976.00MiB( 72%);    2.00MiB;    251461632;                1; bf16[1,512,16,128]
  978.00MiB( 72%);    2.00MiB;    243204096;                1; bf16[1,512,16,128]
  980.00MiB( 72%);    2.00MiB;    241106944;                1; bf16[1,512,16,128]
  982.00MiB( 73%);    2.00MiB;    222347264;                1; bf16[1,512,16,128]
  984.00MiB( 73%);    2.00MiB;    220250112;                1; bf16[1,512,16,128]
  986.00MiB( 73%);    2.00MiB;    652099584;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  988.00MiB( 73%);    2.00MiB;    625229824;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  990.00MiB( 73%);    2.00MiB;    623132672;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  992.00MiB( 73%);    2.00MiB;    621035520;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  994.00MiB( 73%);    2.00MiB;    604520448;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  996.00MiB( 74%);    2.00MiB;    602423296;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  998.00MiB( 74%);    2.00MiB;    600326144;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  1000.00MiB( 74%);    2.00MiB;    614875136;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1002.00MiB( 74%);    2.00MiB;    612777984;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1004.00MiB( 74%);    2.00MiB;    610680832;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  1006.00MiB( 74%);    2.00MiB;    635584512;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1008.00MiB( 74%);    2.00MiB;    633487360;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1010.00MiB( 75%);    2.00MiB;    631390208;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  1012.00MiB( 75%);    2.00MiB;    645939200;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1014.00MiB( 75%);    2.00MiB;    643842048;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1016.00MiB( 75%);    2.00MiB;    641744896;                2; bf16[1,1,512,8,256], bf16[512,8,128]
  1018.00MiB( 75%);    2.00MiB;    666648576;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1020.00MiB( 75%);    2.00MiB;    664551424;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
  1022.00MiB( 76%);    2.00MiB;    662454272;                2; bf16[1,1,512,8,256], bf16[512,8,128]
    1.00GiB( 76%);    2.00MiB;    677003264;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.00GiB( 76%);    2.00MiB;    674906112;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.00GiB( 76%);    2.00MiB;    672808960;                2; bf16[1,1,512,8,256], bf16[512,8,128]
    1.01GiB( 76%);    2.00MiB;    697712640;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.01GiB( 76%);    2.00MiB;    695615488;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.01GiB( 76%);    2.00MiB;    693518336;                2; bf16[1,1,512,8,256], bf16[512,8,128]
    1.01GiB( 77%);    2.00MiB;    718422016;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.01GiB( 77%);    2.00MiB;    716324864;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.02GiB( 77%);    2.00MiB;    714227712;                2; bf16[1,1,512,8,256], bf16[512,8,128]
    1.02GiB( 77%);    2.00MiB;    728727552;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.02GiB( 77%);    2.00MiB;    726630400;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.02GiB( 77%);    2.00MiB;    724533248;                2; bf16[1,1,512,8,256], bf16[512,8,128]
    1.02GiB( 77%);    2.00MiB;    739082240;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.03GiB( 78%);    2.00MiB;    736985088;                2; bf16[1,1,512,8,256], bf16[1,512,16,128]
    1.03GiB( 78%);    2.00MiB;    734887936;                2; bf16[1,1,512,8,256], bf16[512,8,128]
