model_size,model_id,tpu,chips,mesh_fsdp,mesh_tp,variant,batch_size,max_length,status,xla_train_step_gib_per_chip,mean_step_time_sec_excl_first,first_step_time_sec,second_step_time_sec,requested_autopatch,autopatch_effective,cce_installed,gemma3_tiled_mlp_installed,gemma3_activation_policy_installed,gemma3_splash_attention_installed,failure_type,oom_used_gib,oom_limit_gib,source_run
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,default,1,512,ok,12.39,0.34832758599998215,88.77675922599997,0.34832758599998215,False,False,False,False,False,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,cce,1,512,ok,12.23,0.36139929699993445,87.61790352600002,0.36139929699993445,True,True,True,False,False,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,tiled_mlp,1,512,ok,11.78,0.28464297200002875,56.57209265999995,0.28464297200002875,True,True,False,True,False,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,split_offload,1,512,ok,12.04,90.37575394400005,98.01404665899997,90.37575394400005,True,True,False,False,True,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,splash,1,512,ok,12.46,0.36483853100003216,87.16470756700005,0.36483853100003216,True,True,False,False,False,True,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,stacked,1,512,ok,11.74,68.29025245899993,76.44017498500011,68.29025245899993,True,True,True,True,True,True,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,default,1,1024,failed,17.42,,,,False,False,,,,,compile_oom,17.42,15.75,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,cce,1,1024,failed,16.5,,,,True,False,,,,,compile_oom,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,tiled_mlp,1,1024,ok,14.13,0.4352304340000046,60.45841997100001,0.4352304340000046,True,True,False,True,False,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,split_offload,1,1024,ok,12.58,94.53482271999997,100.43549501500001,94.53482271999997,True,True,False,False,True,False,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,splash,1,1024,failed,16.52,,,,True,False,,,,,compile_oom,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,stacked,1,1024,ok,11.74,68.75833797900032,76.21218440899975,68.75833797900032,True,True,True,True,True,True,,,,12b_corrected
12b,google/gemma-3-12b-it,v5litepod-4,4,4,1,default,1,2048,failed,26.51,,,,False,False,,,,,compile_oom,26.51,15.75,12b_corrected
