autopatch_effective,batch_size,cce_installed,chips,default_ce,failure_type,final_loss,first_step_time_sec,gemma3_activation_policy_installed,gemma3_splash_attention_installed,gemma3_tiled_mlp_installed,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model_id,model_size,oom_exceeded_gib,oom_limit_gib,oom_used_gib,requested_autopatch,run_dir,runtime_hbm_headroom_gb_aggregate,runtime_hbm_limit_gb_aggregate,runtime_peak_hbm_gb_aggregate,second_step_time_sec,status,steps_recorded,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip
False,1,False,8,True,,0.9018334746360779,123.42136552400007,False,False,False,16,24.22973854987992,512,2,1.6664001643657684,1.0317899199999374,8,1,google/gemma-3-27b-it,27b,,,,False,/tmp/gemma3-large-patch-sweep-corrected/27b/default_b1_l512,21.197340672,135.27465984,114.077319168,1.0317899199999374,ok,2,v5litepod-8,60.0897516037022,default,181.81816927799997,/tmp/gemma3-large-patch-sweep-corrected/27b/default_b1_l512/xla/module_0674.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.52
True,1,True,8,False,,0.85294109582901,126.20965716299997,False,False,False,16,47.49623240410577,512,2,1.6426762640476227,0.5263575390000597,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/cce_b1_l512,21.19972864,135.27465984,114.0749312,0.5263575390000597,ok,2,v5litepod-8,117.7906563621823,cce,188.776325908,/tmp/gemma3-large-patch-sweep-corrected/27b/cce_b1_l512/xla/module_0674.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.26
True,1,False,8,False,,1.3703296184539795,87.28371311399997,False,False,True,16,57.772938048883105,512,2,1.9040662050247192,0.4327285550000397,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/tiled_mlp_b1_l512,25.769664512,135.27465984,109.504995328,0.4327285550000397,ok,2,v5litepod-8,143.2768863612301,tiled_mlp,142.21159748399998,/tmp/gemma3-large-patch-sweep-corrected/27b/tiled_mlp_b1_l512/xla/module_0632.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.58
True,1,False,8,False,,0.9027807712554932,138.58028259999992,True,False,False,16,0.18820907868498554,512,2,1.666059970855713,132.83099930499998,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/split_offload_b1_l512,19.931701248,135.27465984,115.342958592,132.83099930499998,ok,2,v5litepod-8,0.46675851513876415,split_offload,327.575376516,/tmp/gemma3-large-patch-sweep-corrected/27b/split_offload_b1_l512/xla/module_1041.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.83
True,1,False,8,False,,1.0981603860855103,120.15638578099993,False,True,False,16,46.19251523015133,512,2,1.7678200602531433,0.541213222000124,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/splash_b1_l512,21.244432384,135.27465984,114.030227456,0.541213222000124,ok,2,v5litepod-8,114.5574377707753,splash,170.18315695799993,/tmp/gemma3-large-patch-sweep-corrected/27b/splash_b1_l512/xla/module_0674.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.38
True,1,True,8,False,,1.4012789726257324,110.81326853099995,True,True,True,16,0.2495443609191528,512,2,1.9235563278198242,100.18258841000011,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/stacked_b1_l512,25.062547456,135.27465984,110.212112384,100.18258841000011,ok,2,v5litepod-8,0.6188700150794989,stacked,262.49574486000006,/tmp/gemma3-large-patch-sweep-corrected/27b/stacked_b1_l512/xla/module_0987.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.29
,1,,8,,compile_oom,,,,,,16,,1024,2,,,8,1,google/gemma-3-27b-it,27b,8.91,15.75,24.66,False,/tmp/gemma3-large-patch-sweep-corrected/27b/default_b1_l1024,,,,,failed,,v5litepod-8,,default,,/tmp/gemma3-large-patch-sweep-corrected/27b/default_b1_l1024/xla/module_0674.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,24.66
,1,,8,,compile_oom,,,,,,16,,1024,2,,,8,1,google/gemma-3-27b-it,27b,8.07,15.75,23.81,True,/tmp/gemma3-large-patch-sweep-corrected/27b/cce_b1_l1024,,,,,failed,,v5litepod-8,,cce,,/tmp/gemma3-large-patch-sweep-corrected/27b/cce_b1_l1024/xla/module_0674.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,23.82
,1,,8,,compile_oom,,,,,,16,,1024,2,,,8,1,google/gemma-3-27b-it,27b,3.27,15.75,19.01,True,/tmp/gemma3-large-patch-sweep-corrected/27b/tiled_mlp_b1_l1024,,,,,failed,,v5litepod-8,,tiled_mlp,,/tmp/gemma3-large-patch-sweep-corrected/27b/tiled_mlp_b1_l1024/xla/module_0632.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,19.01
True,1,False,8,False,,1.3140270709991455,154.85450630700007,True,False,False,16,0.16568390136571987,1024,2,1.8835645914077759,150.88973517600016,8,1,google/gemma-3-27b-it,27b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/27b/split_offload_b1_l1024,19.80602368,135.27465984,115.46863616,150.88973517600016,ok,2,v5litepod-8,0.41089607538698525,split_offload,361.2575583500002,/tmp/gemma3-large-patch-sweep-corrected/27b/split_offload_b1_l1024/xla/module_1072.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.53
