variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,2.4760615825653076,73.41960273500081,5.90625,38,12,512,0.07421875,0.0234375,38,12,73.41960273500081
unpacked,2,1.4727636575698853,0.23661485299999185,2.65625,62,25,512,0.12109375,0.048828125,100,37,73.6562175880008
unpacked,3,2.500741958618164,0.12259523099965008,7.53125,35,13,512,0.068359375,0.025390625,135,50,73.77881281900045
unpacked,4,1.291341781616211,0.12298967199967592,3.921875,41,16,512,0.080078125,0.03125,176,66,73.90180249100013
unpacked,5,8.0557861328125,0.12404497200077458,12.6875,24,4,512,0.046875,0.0078125,200,70,74.0258474630009
unpacked,6,1.293212890625,0.12480550100008259,4.90625,22,4,512,0.04296875,0.0078125,222,74,74.15065296400098
unpacked,7,3.292371988296509,0.1273698009990767,6.0,35,9,512,0.068359375,0.017578125,257,83,74.27802276500006
unpacked,8,4.188281536102295,0.1262604809999175,7.09375,27,5,512,0.052734375,0.009765625,284,88,74.40428324599998
unpacked,9,1.1034955978393555,0.12606436100031715,1.0625,199,108,512,0.388671875,0.2109375,483,196,74.5303476070003
unpacked,10,1.39501953125,0.12753549100125383,2.859375,23,4,512,0.044921875,0.0078125,506,200,74.65788309800155
unpacked,11,1.3599964380264282,0.12684217099922535,3.5625,36,11,512,0.0703125,0.021484375,542,211,74.78472526900077
unpacked,12,2.064019203186035,0.12743186000079731,3.609375,43,18,512,0.083984375,0.03515625,585,229,74.91215712900157
unpacked,13,0.44038087129592896,0.12637365099908493,1.453125,34,10,512,0.06640625,0.01953125,619,239,75.03853078000066
unpacked,14,2.201953172683716,0.12770639100017434,4.0625,23,5,512,0.044921875,0.009765625,642,244,75.16623717100083
unpacked,15,0.7957357168197632,0.12579556200034858,2.046875,25,6,512,0.048828125,0.01171875,667,250,75.29203273300118
unpacked,16,2.5412189960479736,0.12629725100123324,2.96875,36,9,512,0.0703125,0.017578125,703,259,75.41832998400241
unpacked,17,2.6839752197265625,0.1289027000002534,2.09375,37,16,512,0.072265625,0.03125,740,275,75.54723268400267
unpacked,18,0.5802873969078064,0.125693339999998,2.484375,28,7,512,0.0546875,0.013671875,768,282,75.67292602400266
unpacked,19,1.619110107421875,0.126866730999609,2.171875,34,9,512,0.06640625,0.017578125,802,291,75.79979275500227
unpacked,20,2.925567626953125,0.12821812099900853,3.25,37,12,512,0.072265625,0.0234375,839,303,75.92801087600128
unpacked,21,0.9065755605697632,0.125272921000942,3.609375,20,3,512,0.0390625,0.005859375,859,306,76.05328379700222
unpacked,22,1.4265950918197632,0.12734321100106172,3.1875,26,6,512,0.05078125,0.01171875,885,312,76.18062700800328
unpacked,23,2.02362060546875,0.12653370100088068,3.65625,22,4,512,0.04296875,0.0078125,907,316,76.30716070900417
unpacked,24,1.0170440673828125,0.12699952100047085,3.046875,32,12,512,0.0625,0.0234375,939,328,76.43416023000464
unpacked,25,0.3748372495174408,0.12633428099979938,1.59375,25,6,512,0.048828125,0.01171875,964,334,76.56049451100444
unpacked,26,4.45751953125,0.1266743910000514,3.328125,38,18,512,0.07421875,0.03515625,1002,352,76.68716890200449
unpacked,27,3.5710227489471436,0.12720197099952202,3.828125,32,11,512,0.0625,0.021484375,1034,363,76.81437087300401
unpacked,28,1.450037956237793,0.12732735100144055,1.2578125,106,58,512,0.20703125,0.11328125,1140,421,76.94169822400545
unpacked,29,1.358642578125,0.1270007009989058,2.03125,24,5,512,0.046875,0.009765625,1164,426,77.06869892500436
unpacked,30,0.8706709146499634,0.1275365609999426,2.0625,27,7,512,0.052734375,0.013671875,1191,433,77.1962354860043
unpacked,31,0.4375,0.12660617099936644,1.8515625,20,3,512,0.0390625,0.005859375,1211,436,77.32284165700366
unpacked,32,2.331298828125,0.12698601100055384,2.765625,27,4,512,0.052734375,0.0078125,1238,440,77.44982766800422
unpacked,33,1.5816879272460938,0.12797972099906474,2.015625,30,8,512,0.05859375,0.015625,1268,448,77.57780738900328
unpacked,34,1.0908726453781128,0.1263723209995078,3.53125,26,7,512,0.05078125,0.013671875,1294,455,77.70417971000279
unpacked,35,1.5987956523895264,0.12643790999936755,4.28125,20,3,512,0.0390625,0.005859375,1314,458,77.83061762000216
unpacked,36,1.645349144935608,0.1270064820000698,4.3125,29,10,512,0.056640625,0.01953125,1343,468,77.95762410200223
unpacked,37,0.2364044189453125,0.126663921000727,0.8984375,26,6,512,0.05078125,0.01171875,1369,474,78.08428802300296
unpacked,38,0.24095916748046875,0.12791385099990293,1.265625,22,4,512,0.04296875,0.0078125,1391,478,78.21220187400286
unpacked,39,0.9965834021568298,0.125732111000616,1.1875,56,23,512,0.109375,0.044921875,1447,501,78.33793398500347
unpacked,40,0.8152656555175781,0.12580329100092058,1.5,44,16,512,0.0859375,0.03125,1491,517,78.4637372760044
unpacked,41,0.8931801319122314,0.12676220100001956,1.234375,73,33,512,0.142578125,0.064453125,1564,550,78.59049947700441
unpacked,42,5.423242092132568,0.12737393099996552,5.03125,37,5,512,0.072265625,0.009765625,1601,555,78.71787340800438
unpacked,43,4.214154243469238,0.128898520999428,5.375,24,5,512,0.046875,0.009765625,1625,560,78.84677192900381
