variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,2.4760615825653076,92.63965713799917,47.25,38,12,512,0.07421875,0.0234375,38,12,92.63965713799917
unpacked,2,1.50927734375,0.29966130899993004,24.625,62,25,512,0.12109375,0.048828125,100,37,92.9393184469991
unpacked,3,2.9666748046875,0.11767690200031211,79.0,35,13,512,0.068359375,0.025390625,135,50,93.05699534899941
unpacked,4,1.3380584716796875,0.12801917999968282,23.75,41,16,512,0.080078125,0.03125,176,66,93.18501452899909
unpacked,5,7.54638671875,0.12676635199932207,110.5,24,4,512,0.046875,0.0078125,200,70,93.31178088099841
unpacked,6,0.7183837890625,0.12894256000072346,23.125,22,4,512,0.04296875,0.0078125,222,74,93.44072344099914
unpacked,7,2.53515625,0.13258377100100915,39.25,35,9,512,0.068359375,0.017578125,257,83,93.57330721200015
unpacked,8,3.4961915016174316,0.12801380099881499,42.0,27,5,512,0.052734375,0.009765625,284,88,93.70132101299896
unpacked,9,1.0372357368469238,0.13360877000013716,7.84375,199,108,512,0.388671875,0.2109375,483,196,93.8349297829991
unpacked,10,1.25537109375,0.12952602100085642,16.75,23,4,512,0.044921875,0.0078125,506,200,93.96445580399995
unpacked,11,1.040727138519287,0.13064260099963576,22.75,36,11,512,0.0703125,0.021484375,542,211,94.09509840499959
unpacked,12,1.5783623456954956,0.1317139299990231,28.875,43,18,512,0.083984375,0.03515625,585,229,94.22681233499861
unpacked,13,0.45541688799858093,0.1309381109986134,13.0625,34,10,512,0.06640625,0.01953125,619,239,94.35775044599723
unpacked,14,1.3623046875,0.13332062999870686,24.125,23,5,512,0.044921875,0.009765625,642,244,94.49107107599593
unpacked,15,0.5215047597885132,0.13111080099952233,13.1875,25,6,512,0.048828125,0.01171875,667,250,94.62218187699546
unpacked,16,2.4975552558898926,0.1313945509991754,27.0,36,9,512,0.0703125,0.017578125,703,259,94.75357642799463
unpacked,17,2.5076961517333984,0.13060176100043464,17.375,37,16,512,0.072265625,0.03125,740,275,94.88417818899507
unpacked,18,0.2504664957523346,0.13414122100039094,8.9375,28,7,512,0.0546875,0.013671875,768,282,95.01831940999546
unpacked,19,1.3717447519302368,0.13060093100102677,18.875,34,9,512,0.06640625,0.017578125,802,291,95.14892034099648
unpacked,20,2.6738383769989014,0.13181278099909832,26.75,37,12,512,0.072265625,0.0234375,839,303,95.28073312199558
unpacked,21,0.7152506709098816,0.13095954100026574,32.0,20,3,512,0.0390625,0.005859375,859,306,95.41169266299585
unpacked,22,1.2449544668197632,0.13104956099959963,26.875,26,6,512,0.05078125,0.01171875,885,312,95.54274222399545
unpacked,23,2.117889404296875,0.1300493809994805,30.375,22,4,512,0.04296875,0.0078125,907,316,95.67279160499493
unpacked,24,0.8150914907455444,0.13095249100115325,19.875,32,12,512,0.0625,0.0234375,939,328,95.80374409599608
unpacked,25,0.2790120542049408,0.13112900000123773,9.5,25,6,512,0.048828125,0.01171875,964,334,95.93487309599732
unpacked,26,4.333577632904053,0.1314596510001138,26.5,38,18,512,0.07421875,0.03515625,1002,352,96.06633274699743
unpacked,27,3.7424540519714355,0.1332231709984626,34.25,32,11,512,0.0625,0.021484375,1034,363,96.1995559179959
unpacked,28,1.6213899850845337,0.13635199000054854,9.0625,106,58,512,0.20703125,0.11328125,1140,421,96.33590790799644
unpacked,29,1.4757813215255737,0.12554873100089026,15.6875,24,5,512,0.046875,0.009765625,1164,426,96.46145663899733
unpacked,30,0.8318220376968384,0.13085783099995751,14.4375,27,7,512,0.052734375,0.013671875,1191,433,96.59231446999729
unpacked,31,0.5631510615348816,0.12979586999972526,17.25,20,3,512,0.0390625,0.005859375,1211,436,96.72211033999702
unpacked,32,2.70703125,0.1314887610005826,24.875,27,4,512,0.052734375,0.0078125,1238,440,96.8535991009976
unpacked,33,2.172821044921875,0.1371398200008116,18.5,30,8,512,0.05859375,0.015625,1268,448,96.99073892099841
unpacked,34,0.8766392469406128,0.12732752099873323,20.75,26,7,512,0.05078125,0.013671875,1294,455,97.11806644199714
unpacked,35,3.116943359375,0.13620083999921917,37.0,20,3,512,0.0390625,0.005859375,1314,458,97.25426728199636
unpacked,36,1.7322235107421875,0.12797266199959267,28.0,29,10,512,0.056640625,0.01953125,1343,468,97.38223994399596
unpacked,37,0.2180328369140625,0.13339289000032295,5.65625,26,6,512,0.05078125,0.01171875,1369,474,97.51563283399628
unpacked,38,0.15734100341796875,0.13078911999946286,9.875,22,4,512,0.04296875,0.0078125,1391,478,97.64642195399574
unpacked,39,1.001728892326355,0.13112016999912157,10.875,56,23,512,0.109375,0.044921875,1447,501,97.77754212399486
unpacked,40,0.8659515380859375,0.1374296600006346,12.6875,44,16,512,0.0859375,0.03125,1491,517,97.9149717839955
unpacked,41,0.7937520146369934,0.12565197100047953,8.5625,73,33,512,0.142578125,0.064453125,1564,550,98.04062375499598
unpacked,42,5.745947360992432,0.1313894810009515,42.75,37,5,512,0.072265625,0.009765625,1601,555,98.17201323599693
unpacked,43,4.760156154632568,0.1312975800010463,50.75,24,5,512,0.046875,0.009765625,1625,560,98.30331081599797
