variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,4.370315074920654,35.0685544629996,110.0,284,88,4096,0.0693359375,0.021484375,284,88,35.0685544629996
unpacked,2,2.8155784606933594,0.2820551899999373,32.25,419,171,4096,0.102294921875,0.041748046875,703,259,35.35060965299954
unpacked,3,3.8707520961761475,0.21100984499980768,54.25,236,69,4096,0.0576171875,0.016845703125,939,328,35.561619497999345
unpacked,4,3.1923747062683105,0.21641820499962705,52.5,299,112,4096,0.072998046875,0.02734375,1238,440,35.77803770299897
unpacked,5,2.106295347213745,0.2164130840001235,25.125,253,77,4096,0.061767578125,0.018798828125,1491,517,35.994450786999096
unpacked,6,2.308664083480835,0.21895213400011926,25.75,313,102,4096,0.076416015625,0.02490234375,1804,619,36.213402920999215
unpacked,7,2.5787930488586426,0.22068112500028292,21.0,263,80,4096,0.064208984375,0.01953125,2067,699,36.4340840459995
unpacked,8,1.742470145225525,0.2210022639997078,19.5,269,88,4096,0.065673828125,0.021484375,2336,787,36.655086309999206
unpacked,9,1.0295110940933228,0.2147506040000735,10.625,391,149,4096,0.095458984375,0.036376953125,2727,936,36.86983691399928
unpacked,10,2.5272321701049805,0.21795699499989496,23.75,264,88,4096,0.064453125,0.021484375,2991,1024,37.087793908999174
unpacked,11,1.0524219274520874,0.21574420400020244,11.8125,289,92,4096,0.070556640625,0.0224609375,3280,1116,37.30353811299938
unpacked,12,2.0254201889038086,0.2225443450001876,25.5,236,63,4096,0.0576171875,0.015380859375,3516,1179,37.526082457999564
unpacked,13,2.457775592803955,0.2136486539998259,29.625,211,52,4096,0.051513671875,0.0126953125,3727,1231,37.73973111199939
unpacked,14,1.6333863735198975,0.2169067949998862,22.125,228,62,4096,0.0556640625,0.01513671875,3955,1293,37.956637906999276
unpacked,15,1.7280322313308716,0.21614174400019692,13.6875,263,75,4096,0.064208984375,0.018310546875,4218,1368,38.17277965099947
unpacked,16,1.6302516460418701,0.21805979400005526,14.4375,224,58,4096,0.0546875,0.01416015625,4442,1426,38.39083944499953
unpacked,17,1.4903059005737305,0.21966801400003533,14.8125,235,67,4096,0.057373046875,0.016357421875,4677,1493,38.610507458999564
unpacked,18,2.028700828552246,0.21415920500021457,17.375,203,47,4096,0.049560546875,0.011474609375,4880,1540,38.82466666399978
unpacked,19,1.9743320941925049,0.22037324400025682,13.75,437,170,4096,0.106689453125,0.04150390625,5317,1710,39.045039908000035
unpacked,20,1.587146520614624,0.21524970499967822,15.3125,330,118,4096,0.08056640625,0.02880859375,5647,1828,39.26028961299971
unpacked,21,2.035454034805298,0.21727256399981343,24.125,236,65,4096,0.0576171875,0.015869140625,5883,1893,39.47756217699953
unpacked,22,1.4599885940551758,0.2170962039999722,11.625,336,128,4096,0.08203125,0.03125,6219,2021,39.6946583809995
unpacked,23,1.2824519872665405,0.22483798499979457,14.75,296,96,4096,0.072265625,0.0234375,6515,2117,39.919496365999294
unpacked,24,1.1285494565963745,0.2146953740002573,7.0,260,78,4096,0.0634765625,0.01904296875,6775,2195,40.13419173999955
unpacked,25,1.3150256872177124,0.2154059349995805,9.5,221,59,4096,0.053955078125,0.014404296875,6996,2254,40.34959767499913
unpacked,26,2.439197063446045,0.21742440400021223,15.8125,259,74,4096,0.063232421875,0.01806640625,7255,2328,40.567022078999344
unpacked,27,1.2200125455856323,0.21728609399997367,6.53125,308,109,4096,0.0751953125,0.026611328125,7563,2437,40.78430817299932
unpacked,28,1.6559057235717773,0.22208834499997465,11.4375,278,92,4096,0.06787109375,0.0224609375,7841,2529,41.00639651799929
unpacked,29,0.8429313898086548,0.21260160500014536,6.4375,382,147,4096,0.09326171875,0.035888671875,8223,2676,41.21899812299944
unpacked,30,1.8195228576660156,0.21738495399995372,14.3125,211,49,4096,0.051513671875,0.011962890625,8434,2725,41.43638307699939
unpacked,31,1.3526502847671509,0.21737688500024888,8.9375,238,65,4096,0.05810546875,0.015869140625,8672,2790,41.65375996199964
unpacked,32,1.3214430809020996,0.21776136400012547,8.25,240,65,4096,0.05859375,0.015869140625,8912,2855,41.871521325999765
unpacked,33,0.8382946252822876,0.22101907400019627,7.09375,248,80,4096,0.060546875,0.01953125,9160,2935,42.09254039999996
unpacked,34,2.069622755050659,0.21338509499992142,13.8125,290,90,4096,0.07080078125,0.02197265625,9450,3025,42.30592549499988
unpacked,35,1.815699577331543,0.21799406399986765,13.6875,316,125,4096,0.0771484375,0.030517578125,9766,3150,42.52391955899975
unpacked,36,1.0773899555206299,0.21877388500024608,8.75,314,107,4096,0.07666015625,0.026123046875,10080,3257,42.742693444
unpacked,37,1.6545238494873047,0.21490777500002878,12.0625,260,81,4096,0.0634765625,0.019775390625,10340,3338,42.957601219000026
unpacked,38,1.1320321559906006,0.21740982399978748,9.6875,220,58,4096,0.0537109375,0.01416015625,10560,3396,43.17501104299981
unpacked,39,1.5883291959762573,0.21768089400029567,9.875,220,60,4096,0.0537109375,0.0146484375,10780,3456,43.39269193700011
