variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,5.249347686767578,54.09848706999992,27.625,703,259,8192,0.0858154296875,0.0316162109375,703,259,54.09848706999992
unpacked,2,4.575660228729248,0.25111191900009544,6.25,535,181,8192,0.0653076171875,0.0220947265625,1238,440,54.349598989000015
unpacked,3,3.495303153991699,0.10585587099990335,4.9375,566,179,8192,0.069091796875,0.0218505859375,1804,619,54.45545485999992
unpacked,4,3.3187787532806396,0.10919650000005277,3.046875,532,168,8192,0.06494140625,0.0205078125,2336,787,54.56465135999997
unpacked,5,2.5764408111572266,0.10929852000003848,1.9296875,655,237,8192,0.0799560546875,0.0289306640625,2991,1024,54.67394988000001
unpacked,6,2.032855987548828,0.10808951099988917,7.40625,525,155,8192,0.0640869140625,0.0189208984375,3516,1179,54.7820393909999
unpacked,7,3.018352746963501,0.10772735099999409,3.671875,439,114,8192,0.0535888671875,0.013916015625,3955,1293,54.88976674199989
unpacked,8,2.1701183319091797,0.10828744100012955,2.171875,487,133,8192,0.0594482421875,0.0162353515625,4442,1426,54.99805418300002
unpacked,9,2.078382730484009,0.10832759100003386,2.28125,438,114,8192,0.053466796875,0.013916015625,4880,1540,55.106381774000056
unpacked,10,2.364410877227783,0.10869460999992953,1.515625,767,288,8192,0.0936279296875,0.03515625,5647,1828,55.215076383999985
unpacked,11,2.4541735649108887,0.10862293099989984,1.7109375,572,193,8192,0.06982421875,0.0235595703125,6219,2021,55.323699314999885
unpacked,12,1.8599730730056763,0.10862513100005344,1.7109375,556,174,8192,0.06787109375,0.021240234375,6775,2195,55.43232444599994
unpacked,13,2.7306995391845703,0.10858904999986407,2.109375,480,133,8192,0.05859375,0.0162353515625,7255,2328,55.5409134959998
unpacked,14,1.7685270309448242,0.10832564999986971,1.328125,586,201,8192,0.071533203125,0.0245361328125,7841,2529,55.64923914599967
unpacked,15,1.5826081037521362,0.10847579100004623,1.3984375,593,196,8192,0.0723876953125,0.02392578125,8434,2725,55.75771493699972
unpacked,16,2.0293376445770264,0.10846288099992307,1.9453125,478,130,8192,0.058349609375,0.015869140625,8912,2855,55.86617781799964
unpacked,17,1.91571044921875,0.10855457100001331,1.609375,538,170,8192,0.065673828125,0.020751953125,9450,3025,55.974732388999655
unpacked,18,2.1651880741119385,0.10843355099996188,1.3359375,630,232,8192,0.076904296875,0.0283203125,10080,3257,56.08316593999962
unpacked,19,2.099034309387207,0.10864946099991357,1.7734375,480,139,8192,0.05859375,0.0169677734375,10560,3396,56.19181540099953
unpacked,20,2.187417984008789,0.10853498100004799,1.4375,621,227,8192,0.0758056640625,0.0277099609375,11181,3623,56.30035038199958
unpacked,21,1.9587576389312744,0.10839765099990473,1.734375,556,170,8192,0.06787109375,0.020751953125,11737,3793,56.40874803299948
unpacked,22,2.0414464473724365,0.10832598999991205,1.5390625,505,140,8192,0.0616455078125,0.01708984375,12242,3933,56.517074022999395
unpacked,23,2.463672161102295,0.10873244100002921,1.4375,600,189,8192,0.0732421875,0.0230712890625,12842,4122,56.625806463999425
unpacked,24,2.0996429920196533,0.10844687100006922,1.796875,484,135,8192,0.05908203125,0.0164794921875,13326,4257,56.734253334999494
unpacked,25,2.093329429626465,0.10858802099983222,1.265625,516,151,8192,0.06298828125,0.0184326171875,13842,4408,56.842841355999326
unpacked,26,1.8549613952636719,0.10838259100000869,1.21875,499,148,8192,0.0609130859375,0.01806640625,14341,4556,56.951223946999335
unpacked,27,1.8430594205856323,0.10845534999998563,1.5859375,493,140,8192,0.0601806640625,0.01708984375,14834,4696,57.05967929699932
unpacked,28,2.740842819213867,0.10871726100003798,1.9375,473,127,8192,0.0577392578125,0.0155029296875,15307,4823,57.16839655799936
unpacked,29,2.3258564472198486,0.10848770100005822,1.5546875,602,215,8192,0.073486328125,0.0262451171875,15909,5038,57.27688425899942
unpacked,30,1.8422240018844604,0.10866256099984639,1.3125,595,198,8192,0.0726318359375,0.024169921875,16504,5236,57.38554681999926
unpacked,31,1.5575753450393677,0.10838659000000916,1.3203125,527,153,8192,0.0643310546875,0.0186767578125,17031,5389,57.49393340999927
unpacked,32,1.7636555433273315,0.10848458100008429,1.1171875,622,219,8192,0.075927734375,0.0267333984375,17653,5608,57.602417990999356
unpacked,33,2.150479316711426,0.10858214100016994,1.5234375,498,152,8192,0.060791015625,0.0185546875,18151,5760,57.711000131999526
unpacked,34,2.165062427520752,0.10836403100006464,1.4765625,455,125,8192,0.0555419921875,0.0152587890625,18606,5885,57.81936416299959
unpacked,35,2.390597343444824,0.10863091999999597,1.4453125,544,174,8192,0.06640625,0.021240234375,19150,6059,57.92799508299959
unpacked,36,2.382518768310547,0.10845254100013335,1.5078125,483,146,8192,0.0589599609375,0.017822265625,19633,6205,58.03644762399972
unpacked,37,1.6667399406433105,0.10855853099997148,1.40625,509,157,8192,0.0621337890625,0.0191650390625,20142,6362,58.14500615499969
unpacked,38,2.090265989303589,0.1087685509999119,1.453125,545,176,8192,0.0665283203125,0.021484375,20687,6538,58.253774705999604
unpacked,39,2.073500871658325,0.10835610100002668,1.265625,483,116,8192,0.0589599609375,0.01416015625,21170,6654,58.36213080699963
unpacked,40,2.1116273403167725,0.10856700999988789,1.265625,468,130,8192,0.05712890625,0.015869140625,21638,6784,58.47069781699952
unpacked,41,1.9435718059539795,0.10840330099995299,1.1640625,670,247,8192,0.081787109375,0.0301513671875,22308,7031,58.57910111799947
unpacked,42,2.1651837825775146,0.10856312099986098,1.6328125,510,155,8192,0.062255859375,0.0189208984375,22818,7186,58.68766423899933
unpacked,43,2.1586668491363525,0.1085206399998242,1.4453125,465,128,8192,0.0567626953125,0.015625,23283,7314,58.796184878999156
unpacked,44,2.211263656616211,0.10847977100002026,1.4296875,521,152,8192,0.0635986328125,0.0185546875,23804,7466,58.90466464999918
unpacked,45,1.838906168937683,0.1085500609999599,1.3984375,491,132,8192,0.0599365234375,0.01611328125,24295,7598,59.01321471099914
unpacked,46,1.8075332641601562,0.10839371099996242,1.3515625,421,109,8192,0.0513916015625,0.0133056640625,24716,7707,59.1216084219991
unpacked,47,2.298238515853882,0.10850989100003972,1.1171875,559,184,8192,0.0682373046875,0.0224609375,25275,7891,59.23011831299914
unpacked,48,1.6869608163833618,0.10843527099996209,1.234375,486,141,8192,0.059326171875,0.0172119140625,25761,8032,59.3385535839991
unpacked,49,2.4863650798797607,0.1086593410000205,1.3046875,596,211,8192,0.07275390625,0.0257568359375,26357,8243,59.44721292499912
unpacked,50,2.315126419067383,0.10928962100001627,1.3828125,522,171,8192,0.063720703125,0.0208740234375,26879,8414,59.55650254599914
