variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,5.249347686767578,31.543402104999927,221.0,703,259,8192,0.0858154296875,0.0316162109375,703,259,31.543402104999927
unpacked,2,4.567827224731445,0.15013616700002785,48.0,535,181,8192,0.0653076171875,0.0220947265625,1238,440,31.693538271999955
unpacked,3,3.459585666656494,0.10526105099995675,39.25,566,179,8192,0.069091796875,0.0218505859375,1804,619,31.798799322999912
unpacked,4,3.2852020263671875,0.10662829099999271,23.375,532,168,8192,0.06494140625,0.0205078125,2336,787,31.905427613999905
unpacked,5,2.525136947631836,0.10627982100004374,42.75,655,237,8192,0.0799560546875,0.0289306640625,2991,1024,32.01170743499995
unpacked,6,1.952715277671814,0.10646340000005239,26.75,525,155,8192,0.0640869140625,0.0189208984375,3516,1179,32.118170835
unpacked,7,2.9735004901885986,0.1061281610000151,28.0,439,114,8192,0.0535888671875,0.013916015625,3955,1293,32.224298996000016
unpacked,8,2.1678085327148438,0.10619740099991759,17.375,487,133,8192,0.0594482421875,0.0162353515625,4442,1426,32.33049639699993
unpacked,9,2.006077766418457,0.1058478610000293,17.5,438,114,8192,0.053466796875,0.013916015625,4880,1540,32.43634425799996
unpacked,10,2.3627090454101562,0.10605385999997452,13.3125,767,288,8192,0.0936279296875,0.03515625,5647,1828,32.54239811799994
unpacked,11,2.4169278144836426,0.10619049100000666,14.75,572,193,8192,0.06982421875,0.0235595703125,6219,2021,32.648588608999944
unpacked,12,1.826081395149231,0.10597555100002864,12.75,556,174,8192,0.06787109375,0.021240234375,6775,2195,32.75456415999997
unpacked,13,2.7886157035827637,0.10622631100000035,19.5,480,133,8192,0.05859375,0.0162353515625,7255,2328,32.86079047099997
unpacked,14,1.8227248191833496,0.1060457309999947,11.25,586,201,8192,0.071533203125,0.0245361328125,7841,2529,32.96683620199997
unpacked,15,1.469678521156311,0.10616807999997491,10.6875,593,196,8192,0.0723876953125,0.02392578125,8434,2725,33.07300428199994
unpacked,16,2.0086002349853516,0.10616374100004577,15.5625,478,130,8192,0.058349609375,0.015869140625,8912,2855,33.17916802299999
unpacked,17,1.8644309043884277,0.10610314099994866,20.0,538,170,8192,0.065673828125,0.020751953125,9450,3025,33.28527116399994
unpacked,18,2.1536529064178467,0.10616215000004559,11.375,630,232,8192,0.076904296875,0.0283203125,10080,3257,33.39143331399998
